description,variable,unit,lower,median,upper,distribution
Winter wheat,share_winter_wheat,,0.169,0.211,0.253,tnorm_0_1
Summer wheat (weizen),share_summer_wheat,,0.0008,0.001,0.0012,tnorm_0_1
Rye (rogge),share_rye,,0.0008,0.001,0.0012,tnorm_0_1
Winter barley (gerste),share_winter_barley,,0.057,0.071,0.085,tnorm_0_1
Summer barley,share_summer_barley,,0.002,0.003,0.004,tnorm_0_1
Common oat (hafer),share_oat,,0.0008,0.001,0.0012,tnorm_0_1
Triticale,share_triticale,,0.011,0.014,0.017,tnorm_0_1
Corn mais 2,share_corn,,0.033,0.041,0.049,tnorm_0_1
Fodder peas (erbsen),share_fodder_peas,,0.005,0.006,0.007,tnorm_0_1
Beans (ackerbohnen),share_beans,,0.012,0.015,0.018,tnorm_0_1
winter koolzaad (raps),share_oilseed_rape,,0.018,0.022,0.026,tnorm_0_1
Potato 3,share_potato,,0.095,0.119,0.143,tnorm_0_1
Sugar beet 4,share_sugar_beet,,0.057,0.071,0.085,tnorm_0_1
Mais silage 5,share_mais_silage,,0.264,0.33,0.396,tnorm_0_1
total share of arable land,share_crop_land,,0.906,0.906,0.906,const
arable land in ha,arable_land,,49585,49585,49585,const
Winter wheat,yield_winter_wheat,,70.13,82.5,94.88,posnorm
Summer wheat (weizen),yield_summer_wheat,,57.04,67.1,77.17,posnorm
Rye (rogge),yield_rye,,42.67,50.2,57.73,posnorm
Winter barley (gerste),yield_winter_barley,,58.74,69.1,79.47,posnorm
Summer barley,yield_summer_barley,,52.87,62.2,71.53,posnorm
Common oat (hafer),yield_oat,,49.98,58.8,67.62,posnorm
Triticale,yield_triticale,,59.5,70,80.5,posnorm
Corn mais 2,yield_corn,,62.05,73,83.95,posnorm
Fodder peas (erbsen),yield_fodder_peas,,42.84,50.4,57.96,posnorm
Beans (ackerbohnen),yield_beans,,35.7,42,48.3,posnorm
winter koolzaad (raps),yield_oilseed_rape,,33.83,39.8,45.77,posnorm
Potato 3,yield_potato,,514.25,605,695.75,posnorm
Sugar beet 4,yield_sugar_beet,,576.3,678,779.7,posnorm
Mais silage 5,yield_mais_silage,,351.05,413,474.95,posnorm
Winter wheat,dm_winter_wheat,,0.82,0.86,0.9,tnorm_0_1
Summer wheat,dm_summer_wheat,,0.82,0.86,0.9,tnorm_0_1
Rye,dm_rye,,0.82,0.86,0.9,tnorm_0_1
Winter barley,dm_winter_barley,,0.82,0.86,0.9,tnorm_0_1
Summer barley,dm_summer_barley,,0.82,0.86,0.9,tnorm_0_1
Oat,dm_oat,,0.82,0.86,0.9,tnorm_0_1
Triticale,dm_triticale,,0.82,0.86,0.9,tnorm_0_1
Corn,dm_corn,,0.82,0.86,0.9,tnorm_0_1
Fodder peas,dm_fodder_peas,,0.82,0.86,0.9,tnorm_0_1
Beans,dm_beans,,0.82,0.86,0.9,tnorm_0_1
Oilseed rape,dm_oilseed_rape,,0.86,0.91,0.96,tnorm_0_1
Potato,dm_potato,,0.21,0.22,0.23,tnorm_0_1
Sugar beet,dm_sugar_beet,,0.22,0.23,0.24,tnorm_0_1
