"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"LLU_total_adjust",1,139305.012290922,NA,NA,NA,NA,NA,NA,NA,NA,97619.590136742,NA,NA,NA,NA,NA,NA,NA,NA,72552.2398714756,NA,NA,NA,NA,NA,NA,NA,NA,97619.590136742,NA,NA,NA,NA,NA,NA,NA,NA
"LLU_total_adjust",2,138803.052375023,NA,NA,NA,NA,NA,NA,NA,NA,103898.318519484,NA,NA,NA,NA,NA,NA,NA,NA,43075.209427764,NA,NA,NA,NA,NA,NA,NA,NA,103898.318519484,NA,NA,NA,NA,NA,NA,NA,NA
"LLU_total_adjust",3,142418.950658379,NA,NA,NA,NA,NA,NA,NA,NA,92485.9976609679,NA,NA,NA,NA,NA,NA,NA,NA,73140.9048471711,NA,NA,NA,NA,NA,NA,NA,NA,92485.9976609679,NA,NA,NA,NA,NA,NA,NA,NA
"LLU_total_adjust",4,134288.370739216,NA,NA,NA,NA,NA,NA,NA,NA,57908.3421438343,NA,NA,NA,NA,NA,NA,NA,NA,77783.8584527872,NA,NA,NA,NA,NA,NA,NA,NA,57908.3421438343,NA,NA,NA,NA,NA,NA,NA,NA
"LLU_total_adjust",5,131474.964508936,NA,NA,NA,NA,NA,NA,NA,NA,94626.5532597419,NA,NA,NA,NA,NA,NA,NA,NA,61487.2984367081,NA,NA,NA,NA,NA,NA,NA,NA,94626.5532597419,NA,NA,NA,NA,NA,NA,NA,NA
"LLU_total_adjust",6,134255.663359981,NA,NA,NA,NA,NA,NA,NA,NA,91204.6769273505,NA,NA,NA,NA,NA,NA,NA,NA,60991.6126475442,NA,NA,NA,NA,NA,NA,NA,NA,91204.6769273505,NA,NA,NA,NA,NA,NA,NA,NA
"LLU_total_adjust",7,130516.941000909,NA,NA,NA,NA,NA,NA,NA,NA,93832.4320970187,NA,NA,NA,NA,NA,NA,NA,NA,77544.9010733659,NA,NA,NA,NA,NA,NA,NA,NA,93832.4320970187,NA,NA,NA,NA,NA,NA,NA,NA
"LLU_total_adjust",8,141768.535268055,NA,NA,NA,NA,NA,NA,NA,NA,106783.637512124,NA,NA,NA,NA,NA,NA,NA,NA,87705.5148850905,NA,NA,NA,NA,NA,NA,NA,NA,106783.637512124,NA,NA,NA,NA,NA,NA,NA,NA
"LLU_total_adjust",9,143504.722405415,NA,NA,NA,NA,NA,NA,NA,NA,112030.741099235,NA,NA,NA,NA,NA,NA,NA,NA,73795.9282764133,NA,NA,NA,NA,NA,NA,NA,NA,112030.741099235,NA,NA,NA,NA,NA,NA,NA,NA
"LLU_total_adjust",10,134474.373427003,NA,NA,NA,NA,NA,NA,NA,NA,76068.5899265302,NA,NA,NA,NA,NA,NA,NA,NA,55795.5626804518,NA,NA,NA,NA,NA,NA,NA,NA,76068.5899265302,NA,NA,NA,NA,NA,NA,NA,NA
"LLU_total_adjust",11,141226.016343048,NA,NA,NA,NA,NA,NA,NA,NA,103867.767181062,NA,NA,NA,NA,NA,NA,NA,NA,65606.0114071073,NA,NA,NA,NA,NA,NA,NA,NA,103867.767181062,NA,NA,NA,NA,NA,NA,NA,NA
"LLU_total_adjust",12,136029.848033817,NA,NA,NA,NA,NA,NA,NA,NA,76548.9645764853,NA,NA,NA,NA,NA,NA,NA,NA,74813.1133797027,NA,NA,NA,NA,NA,NA,NA,NA,76548.9645764853,NA,NA,NA,NA,NA,NA,NA,NA
"LLU_total_adjust",13,138782.12564607,NA,NA,NA,NA,NA,NA,NA,NA,86008.3933893556,NA,NA,NA,NA,NA,NA,NA,NA,59243.4520300438,NA,NA,NA,NA,NA,NA,NA,NA,86008.3933893556,NA,NA,NA,NA,NA,NA,NA,NA
