"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"animal_housing_and_storage_losses",1,NA,NA,NA,0,2417096.9926916,0,NA,NA,NA,NA,NA,NA,0,1693808.52753912,0,NA,NA,NA,NA,NA,NA,0,1258862.1035412,0,NA,NA,NA,NA,NA,NA,0,1693808.52753912,0,NA,NA,NA
"animal_housing_and_storage_losses",2,NA,NA,NA,0,2412055.86686545,0,NA,NA,NA,NA,NA,NA,0,1805497.38967752,0,NA,NA,NA,NA,NA,NA,0,748541.259279915,0,NA,NA,NA,NA,NA,NA,0,1805497.38967752,0,NA,NA,NA
"animal_housing_and_storage_losses",3,NA,NA,NA,0,2084996.41967989,0,NA,NA,NA,NA,NA,NA,0,1353983.95439797,0,NA,NA,NA,NA,NA,NA,0,1070774.10719236,0,NA,NA,NA,NA,NA,NA,0,1353983.95439797,0,NA,NA,NA
"animal_housing_and_storage_losses",4,NA,NA,NA,0,2206418.42783726,0,NA,NA,NA,NA,NA,NA,0,951460.148993742,0,NA,NA,NA,NA,NA,NA,0,1278023.83582271,0,NA,NA,NA,NA,NA,NA,0,951460.148993742,0,NA,NA,NA
"animal_housing_and_storage_losses",5,NA,NA,NA,0,1913661.86905145,0,NA,NA,NA,NA,NA,NA,0,1377320.97855502,0,NA,NA,NA,NA,NA,NA,0,894968.094410991,0,NA,NA,NA,NA,NA,NA,0,1377320.97855502,0,NA,NA,NA
"animal_housing_and_storage_losses",6,NA,NA,NA,0,2446043.16820284,0,NA,NA,NA,NA,NA,NA,0,1661684.66434163,0,NA,NA,NA,NA,NA,NA,0,1111224.01618306,0,NA,NA,NA,NA,NA,NA,0,1661684.66434163,0,NA,NA,NA
"animal_housing_and_storage_losses",7,NA,NA,NA,0,2320295.83921275,0,NA,NA,NA,NA,NA,NA,0,1668128.29130288,0,NA,NA,NA,NA,NA,NA,0,1378572.8498758,0,NA,NA,NA,NA,NA,NA,0,1668128.29130288,0,NA,NA,NA
"animal_housing_and_storage_losses",8,NA,NA,NA,0,2218280.63857016,0,NA,NA,NA,NA,NA,NA,0,1670864.9430662,0,NA,NA,NA,NA,NA,NA,0,1372345.74087655,0,NA,NA,NA,NA,NA,NA,0,1670864.9430662,0,NA,NA,NA
"animal_housing_and_storage_losses",9,NA,NA,NA,0,2466784.27299437,0,NA,NA,NA,NA,NA,NA,0,1925760.11160639,0,NA,NA,NA,NA,NA,NA,0,1268520.17293898,0,NA,NA,NA,NA,NA,NA,0,1925760.11160639,0,NA,NA,NA
"animal_housing_and_storage_losses",10,NA,NA,NA,0,2453574.6338271,0,NA,NA,NA,NA,NA,NA,0,1387922.15883456,0,NA,NA,NA,NA,NA,NA,0,1018027.25518688,0,NA,NA,NA,NA,NA,NA,0,1387922.15883456,0,NA,NA,NA
"animal_housing_and_storage_losses",11,NA,NA,NA,0,2472564.73672268,0,NA,NA,NA,NA,NA,NA,0,1818501.89550191,0,NA,NA,NA,NA,NA,NA,0,1148620.59075721,0,NA,NA,NA,NA,NA,NA,0,1818501.89550191,0,NA,NA,NA
"animal_housing_and_storage_losses",12,NA,NA,NA,0,2539953.92040155,0,NA,NA,NA,NA,NA,NA,0,1429324.85398637,0,NA,NA,NA,NA,NA,NA,0,1396912.98176693,0,NA,NA,NA,NA,NA,NA,0,1429324.85398637,0,NA,NA,NA
