"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"compost_to_consumption",1,NA,NA,NA,52642.1826741876,102109.695860954,17354.7302448389,NA,NA,NA,NA,NA,NA,52642.1826741876,102109.695860954,17354.7302448389,NA,NA,NA,NA,NA,NA,52642.1826741876,102109.695860954,17354.7302448389,NA,NA,NA,NA,NA,NA,52642.1826741876,102109.695860954,17354.7302448389,NA,NA,NA
"compost_to_consumption",2,NA,NA,NA,41714.5381991074,82994.9255118862,15064.7531491893,NA,NA,NA,NA,NA,NA,41714.5381991074,82994.9255118862,15064.7531491893,NA,NA,NA,NA,NA,NA,41714.5381991074,82994.9255118862,15064.7531491893,NA,NA,NA,NA,NA,NA,41714.5381991074,82994.9255118862,15064.7531491893,NA,NA,NA
"compost_to_consumption",3,NA,NA,NA,45683.1815007029,82603.9711038177,15111.8997763442,NA,NA,NA,NA,NA,NA,45683.1815007029,82603.9711038177,15111.8997763442,NA,NA,NA,NA,NA,NA,45683.1815007029,82603.9711038177,15111.8997763442,NA,NA,NA,NA,NA,NA,45683.1815007029,82603.9711038177,15111.8997763442,NA,NA,NA
"compost_to_consumption",4,NA,NA,NA,49333.6611194954,94080.5555663854,15726.1231403358,NA,NA,NA,NA,NA,NA,49333.6611194954,94080.5555663854,15726.1231403358,NA,NA,NA,NA,NA,NA,49333.6611194954,94080.5555663854,15726.1231403358,NA,NA,NA,NA,NA,NA,49333.6611194954,94080.5555663854,15726.1231403358,NA,NA,NA
"compost_to_consumption",5,NA,NA,NA,46044.892332325,90228.8109411675,15727.3693847021,NA,NA,NA,NA,NA,NA,46044.892332325,90228.8109411675,15727.3693847021,NA,NA,NA,NA,NA,NA,46044.892332325,90228.8109411675,15727.3693847021,NA,NA,NA,NA,NA,NA,46044.892332325,90228.8109411675,15727.3693847021,NA,NA,NA
"compost_to_consumption",6,NA,NA,NA,50018.7612543192,89399.142719912,16263.4501580258,NA,NA,NA,NA,NA,NA,50018.7612543192,89399.142719912,16263.4501580258,NA,NA,NA,NA,NA,NA,50018.7612543192,89399.142719912,16263.4501580258,NA,NA,NA,NA,NA,NA,50018.7612543192,89399.142719912,16263.4501580258,NA,NA,NA
"compost_to_consumption",7,NA,NA,NA,47047.7450122215,91057.2472578083,15196.6431069806,NA,NA,NA,NA,NA,NA,47047.7450122215,91057.2472578083,15196.6431069806,NA,NA,NA,NA,NA,NA,47047.7450122215,91057.2472578083,15196.6431069806,NA,NA,NA,NA,NA,NA,47047.7450122215,91057.2472578083,15196.6431069806,NA,NA,NA
"compost_to_consumption",8,NA,NA,NA,49609.1121936255,88317.3833638632,15694.8902263653,NA,NA,NA,NA,NA,NA,49609.1121936255,88317.3833638632,15694.8902263653,NA,NA,NA,NA,NA,NA,49609.1121936255,88317.3833638632,15694.8902263653,NA,NA,NA,NA,NA,NA,49609.1121936255,88317.3833638632,15694.8902263653,NA,NA,NA
"compost_to_consumption",9,NA,NA,NA,36700.7422884383,74339.67543296,12520.143330086,NA,NA,NA,NA,NA,NA,36700.7422884383,74339.67543296,12520.143330086,NA,NA,NA,NA,NA,NA,36700.7422884383,74339.67543296,12520.143330086,NA,NA,NA,NA,NA,NA,36700.7422884383,74339.67543296,12520.143330086,NA,NA,NA
"compost_to_consumption",10,NA,NA,NA,44309.2169778169,85344.4253042098,14750.0919332328,NA,NA,NA,NA,NA,NA,44309.2169778169,85344.4253042098,14750.0919332328,NA,NA,NA,NA,NA,NA,44309.2169778169,85344.4253042098,14750.0919332328,NA,NA,NA,NA,NA,NA,44309.2169778169,85344.4253042098,14750.0919332328,NA,NA,NA
"compost_to_consumption",11,NA,NA,NA,34655.3006962724,65363.5749566556,11997.079698924,NA,NA,NA,NA,NA,NA,34655.3006962724,65363.5749566556,11997.079698924,NA,NA,NA,NA,NA,NA,34655.3006962724,65363.5749566556,11997.079698924,NA,NA,NA,NA,NA,NA,34655.3006962724,65363.5749566556,11997.079698924,NA,NA,NA
"compost_to_consumption",12,NA,NA,NA,45318.4770130539,92640.6433458632,16347.5909795329,NA,NA,NA,NA,NA,NA,45318.4770130539,92640.6433458632,16347.5909795329,NA,NA,NA,NA,NA,NA,45318.4770130539,92640.6433458632,16347.5909795329,NA,NA,NA,NA,NA,NA,45318.4770130539,92640.6433458632,16347.5909795329,NA,NA,NA
"compost_to_consumption",13,NA,NA,NA,33744.8326814353,67169.357487732,11123.2822459837,NA,NA,NA,NA,NA,NA,33744.8326814353,67169.357487732,11123.2822459837,NA,NA,NA,NA,NA,NA,33744.8326814353,67169.357487732,11123.2822459837,NA,NA,NA,NA,NA,NA,33744.8326814353,67169.357487732,11123.2822459837,NA,NA,NA
