"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"crop_cultivation_losses",1,NA,NA,NA,2522115.5214496,3054115.35430494,577766.530647537,NA,NA,NA,NA,NA,NA,2462497.19236561,3440663.53989958,467999.753173832,NA,NA,NA,NA,NA,NA,2224575.80918146,2919568.40080781,435290.189654868,NA,NA,NA,NA,NA,NA,2976063.93205836,3387171.91126308,496990.850499263,NA,NA,NA
"crop_cultivation_losses",2,NA,NA,NA,2448952.91684555,2690146.88792164,831814.122561594,NA,NA,NA,NA,NA,NA,1942194.91094017,2789382.76751024,423188.317653005,NA,NA,NA,NA,NA,NA,1433928.87015414,1998677.43533136,256719.47291217,NA,NA,NA,NA,NA,NA,2698636.37231083,2681199.47761865,571375.865939181,NA,NA,NA
"crop_cultivation_losses",3,NA,NA,NA,1000469.05855933,4621771.36104483,493593.514813417,NA,NA,NA,NA,NA,NA,674080.418766361,4484161.78688198,325175.083072662,NA,NA,NA,NA,NA,NA,523098.273465331,4342653.38612409,301031.112576786,NA,NA,NA,NA,NA,NA,1154043.65017385,4461626.22679876,372588.227583438,NA,NA,NA
"crop_cultivation_losses",4,NA,NA,NA,3220798.34747221,2534565.65352459,459863.173907408,NA,NA,NA,NA,NA,NA,2628689.00992475,2197990.96727992,275263.668680974,NA,NA,NA,NA,NA,NA,2921816.94724271,2476518.98783315,310582.57096941,NA,NA,NA,NA,NA,NA,2656934.07142002,663429.548666652,321536.063354433,NA,NA,NA
"crop_cultivation_losses",5,NA,NA,NA,1324338.54180879,2355931.08327174,35712.9841410033,NA,NA,NA,NA,NA,NA,1115535.18872215,2501847.69837274,0,NA,NA,NA,NA,NA,NA,844770.373919114,2167836.90706695,0,NA,NA,NA,NA,NA,NA,1771817.37382938,2473694.55721005,0,NA,NA,NA
"crop_cultivation_losses",6,NA,NA,NA,1446798.38879131,3795132.90125662,457436.289335027,NA,NA,NA,NA,NA,NA,1063803.2381288,3658351.81489942,275855.601763853,NA,NA,NA,NA,NA,NA,868103.950236595,3238192.43334435,237834.422732018,NA,NA,NA,NA,NA,NA,1649335.67948716,3572288.97457798,326464.638635925,NA,NA,NA
"crop_cultivation_losses",7,NA,NA,NA,3085856.88347654,1637353.83407704,242407.679813771,NA,NA,NA,NA,NA,NA,3357553.71476774,2122989.97231767,196815.099071349,NA,NA,NA,NA,NA,NA,3080994.1170249,1858280.63029906,177575.596309691,NA,NA,NA,NA,NA,NA,3781117.59815321,2036419.30173177,228824.367303275,NA,NA,NA
"crop_cultivation_losses",8,NA,NA,NA,1886204.49706738,1021072.44380924,313951.173960284,NA,NA,NA,NA,NA,NA,1788212.78479541,1119729.86168127,211854.806440001,NA,NA,NA,NA,NA,NA,1612165.98220208,884917.027997967,173360.450755845,NA,NA,NA,NA,NA,NA,2278185.02171214,1089089.38276544,260527.684878489,NA,NA,NA
"crop_cultivation_losses",9,NA,NA,NA,3895048.9920699,3521184.46600746,909030.409989157,NA,NA,NA,NA,NA,NA,3720546.23241501,3759526.70490752,742823.94317043,NA,NA,NA,NA,NA,NA,3451469.61465672,3203246.48064705,686915.43507001,NA,NA,NA,NA,NA,NA,4235144.18776824,3685743.01205912,781462.069410504,NA,NA,NA
"crop_cultivation_losses",10,NA,NA,NA,2433715.44701597,3230410.02118168,918344.98579363,NA,NA,NA,NA,NA,NA,2162223.01179898,3286004.8500981,772298.237233494,NA,NA,NA,NA,NA,NA,1893938.40462769,3018117.77136304,676051.744298893,NA,NA,NA,NA,NA,NA,2657264.60949735,3238148.50252154,838665.951444952,NA,NA,NA
