"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"digestate",1,NA,NA,NA,883909.286490059,1292166.97565304,409607.254626377,NA,NA,NA,NA,NA,NA,1171408.27581793,2175812.31353097,178271.878914484,NA,NA,NA,NA,NA,NA,1727719.63183688,1693123.76303258,394536.448306418,NA,NA,NA,NA,NA,NA,1291015.93374001,1879730.32509306,414637.705389789,NA,NA,NA
"digestate",2,NA,NA,NA,1022899.64985044,1460077.7269873,475245.60679336,NA,NA,NA,NA,NA,NA,1182283.62596177,2555030.40367897,260157.283956253,NA,NA,NA,NA,NA,NA,1542693.2942691,1475856.30127318,379652.202201062,NA,NA,NA,NA,NA,NA,1690149.54366295,1843450.23304635,1000543.22423715,NA,NA,NA
"digestate",3,NA,NA,NA,1062433.96252706,1340586.58711473,508166.201944844,NA,NA,NA,NA,NA,NA,2194186.41298653,1933318.82717957,546304.082682415,NA,NA,NA,NA,NA,NA,2132502.93831315,1587100.87025157,583970.859679159,NA,NA,NA,NA,NA,NA,2351809.70779607,1655216.31055661,875225.619725112,NA,NA,NA
"digestate",4,NA,NA,NA,956815.102936432,1316448.36576747,465082.694237417,NA,NA,NA,NA,NA,NA,1712538.9811451,1419257.62410745,682015.382812685,NA,NA,NA,NA,NA,NA,1880192.57663757,1795191.8503892,639073.543101088,NA,NA,NA,NA,NA,NA,2164358.56707902,1935240.81374939,992750.936523948,NA,NA,NA
"digestate",5,NA,NA,NA,1132029.7680791,1440669.61296076,444551.477367165,NA,NA,NA,NA,NA,NA,1623388.65595062,1772459.21290688,390172.953503275,NA,NA,NA,NA,NA,NA,1911854.04754233,1250134.6904217,447671.40450309,NA,NA,NA,NA,NA,NA,1933732.16711047,1514791.04715481,884521.66188136,NA,NA,NA
"digestate",6,NA,NA,NA,943288.586563494,1339010.21674219,444631.566760355,NA,NA,NA,NA,NA,NA,2139104.12693249,2446570.06765196,460284.40992021,NA,NA,NA,NA,NA,NA,1984186.22258673,1821590.91158472,512980.49187367,NA,NA,NA,NA,NA,NA,2405160.71137667,1886634.91685411,852799.061174664,NA,NA,NA
"digestate",7,NA,NA,NA,1016929.89280824,1502691.17168624,505602.133659306,NA,NA,NA,NA,NA,NA,10121.3994394054,2562469.10464328,766380.78798366,NA,NA,NA,NA,NA,NA,310856.508437473,2245834.79479895,902334.939926375,NA,NA,NA,NA,NA,NA,101354.929841428,1930600.43613604,968562.721181964,NA,NA,NA
"digestate",8,NA,NA,NA,1009609.52747617,1204565.61082115,444131.35171423,NA,NA,NA,NA,NA,NA,1025415.47097155,1590044.17437943,481208.124111719,NA,NA,NA,NA,NA,NA,1153017.62393416,1345029.3093863,496002.805605625,NA,NA,NA,NA,NA,NA,1182591.59720912,1408247.96948278,781013.240965101,NA,NA,NA
"digestate",9,NA,NA,NA,1093907.92832989,1444456.16966758,454980.309028049,NA,NA,NA,NA,NA,NA,2311045.21828405,3408916.39919107,301937.520243771,NA,NA,NA,NA,NA,NA,2895753.26873255,2420962.03973337,568348.547722317,NA,NA,NA,NA,NA,NA,2435492.42034316,2894777.06024502,538440.499787811,NA,NA,NA
"digestate",10,NA,NA,NA,870701.050349148,1131525.12173047,398145.937924582,NA,NA,NA,NA,NA,NA,673456.393050693,1175547.82604993,198196.212917274,NA,NA,NA,NA,NA,NA,918451.082628796,1019429.38885514,228762.407277355,NA,NA,NA,NA,NA,NA,944346.979673477,762913.492505506,516821.314238919,NA,NA,NA
"digestate",11,NA,NA,NA,1193109.00373063,1239792.04283336,500333.11262026,NA,NA,NA,NA,NA,NA,6404253.98169762,5628976.69024017,1309605.80670757,NA,NA,NA,NA,NA,NA,5553107.65085567,3782099.54230472,1306433.77285415,NA,NA,NA,NA,NA,NA,6681310.71813753,5013648.79194498,1658164.16601923,NA,NA,NA
