"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"egg_and_dairy",1,NA,NA,NA,572688.138662814,1956859.6750473,342316.567682841,NA,NA,NA,NA,NA,NA,401317.802231591,1371291.93193922,239882.273327166,NA,NA,NA,NA,NA,NA,298264.983610507,1019163.27491758,178283.848671855,NA,NA,NA,NA,NA,NA,401317.802231591,1371291.93193922,239882.273327166,NA,NA,NA
"egg_and_dairy",2,NA,NA,NA,509095.203397139,1724130.85104147,301057.836248211,NA,NA,NA,NA,NA,NA,381073.288333647,1290564.53201609,225350.973397843,NA,NA,NA,NA,NA,NA,157989.194976435,535055.218301844,93428.2721047329,NA,NA,NA,NA,NA,NA,381073.288333647,1290564.53201609,225350.973397843,NA,NA,NA
"egg_and_dairy",3,NA,NA,NA,605536.091304672,2069413.00189473,358204.726157636,NA,NA,NA,NA,NA,NA,393231.44332366,1343864.17796256,232615.963763342,NA,NA,NA,NA,NA,NA,310980.086785502,1062771.0621471,183960.19399516,NA,NA,NA,NA,NA,NA,393231.44332366,1343864.17796256,232615.963763342,NA,NA,NA
"egg_and_dairy",4,NA,NA,NA,560114.614779262,1909242.94270432,331372.539913936,NA,NA,NA,NA,NA,NA,241534.755197737,823311.005660568,142895.727401984,NA,NA,NA,NA,NA,NA,324435.211131835,1105890.86746532,191940.929791019,NA,NA,NA,NA,NA,NA,241534.755197737,823311.005660568,142895.727401984,NA,NA,NA
"egg_and_dairy",5,NA,NA,NA,586619.262780016,1987965.14732837,346116.898962838,NA,NA,NA,NA,NA,NA,422207.825801473,1430799.3205763,249110.918539762,NA,NA,NA,NA,NA,NA,274346.02332085,929717.735632062,161869.547864145,NA,NA,NA,NA,NA,NA,422207.825801473,1430799.3205763,249110.918539762,NA,NA,NA
"egg_and_dairy",6,NA,NA,NA,584292.174842145,1967516.156916,340997.310571444,NA,NA,NA,NA,NA,NA,396930.585302531,1336604.13981728,231651.676848624,NA,NA,NA,NA,NA,NA,265440.735303729,893831.815486568,154913.210807816,NA,NA,NA,NA,NA,NA,396930.585302531,1336604.13981728,231651.676848624,NA,NA,NA
"egg_and_dairy",7,NA,NA,NA,565135.03399553,1953287.16492178,340403.846581802,NA,NA,NA,NA,NA,NA,406292.043748272,1404275.06086911,244726.244539615,NA,NA,NA,NA,NA,NA,335767.448794034,1160519.53723525,202246.408824394,NA,NA,NA,NA,NA,NA,406292.043748272,1404275.06086911,244726.244539615,NA,NA,NA
"egg_and_dairy",8,NA,NA,NA,556050.104109644,1875654.26787288,327778.519701231,NA,NA,NA,NA,NA,NA,418830.967277422,1412790.1163675,246891.050724734,NA,NA,NA,NA,NA,NA,344002.007149421,1160378.94444746,202781.130413125,NA,NA,NA,NA,NA,NA,418830.967277422,1412790.1163675,246891.050724734,NA,NA,NA
"egg_and_dairy",9,NA,NA,NA,658631.65797504,2230693.61327542,388718.350871805,NA,NA,NA,NA,NA,NA,514178.150499505,1741449.72006262,303463.218471738,NA,NA,NA,NA,NA,NA,338695.018378483,1147112.81365967,199894.686807735,NA,NA,NA,NA,NA,NA,514178.150499505,1741449.72006262,303463.218471738,NA,NA,NA
"egg_and_dairy",10,NA,NA,NA,583704.360277432,1998457.34809041,342914.312992426,NA,NA,NA,NA,NA,NA,330186.090395686,1130474.36937917,193977.540777452,NA,NA,NA,NA,NA,NA,242188.250376132,829191.83326864,142280.618656157,NA,NA,NA,NA,NA,NA,330186.090395686,1130474.36937917,193977.540777452,NA,NA,NA
"egg_and_dairy",11,NA,NA,NA,587499.936114337,2012841.37224544,348141.776966645,NA,NA,NA,NA,NA,NA,432089.696809018,1480388.27716385,256048.495683231,NA,NA,NA,NA,NA,NA,272920.871865188,935057.841661848,161727.944909837,NA,NA,NA,NA,NA,NA,432089.696809018,1480388.27716385,256048.495683231,NA,NA,NA
