"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"export_dairy_egg",1,NA,NA,NA,512920.041877089,1382152.64243827,257572.413434884,NA,NA,NA,NA,NA,NA,341549.705445865,796584.899330187,155138.11907921,NA,NA,NA,NA,NA,NA,238496.886824782,444456.242308541,93539.6944238983,NA,NA,NA,NA,NA,NA,341549.705445865,796584.899330187,155138.11907921,NA,NA,NA
"export_dairy_egg",2,NA,NA,NA,449243.939445313,1192712.5952329,223028.562251624,NA,NA,NA,NA,NA,NA,321222.024381821,759146.276207512,147321.699401256,NA,NA,NA,NA,NA,NA,98137.9310246092,3636.96249327016,15398.9981081455,NA,NA,NA,NA,NA,NA,321222.024381821,759146.276207512,147321.699401256,NA,NA,NA
"export_dairy_egg",3,NA,NA,NA,549182.933076944,1564249.44289787,284420.477207914,NA,NA,NA,NA,NA,NA,336878.285095931,838700.618965692,158831.71481362,NA,NA,NA,NA,NA,NA,254626.928557773,557607.503150236,110175.945045438,NA,NA,NA,NA,NA,NA,336878.285095931,838700.618965692,158831.71481362,NA,NA,NA
"export_dairy_egg",4,NA,NA,NA,503478.66373446,1389562.75217962,254844.27554598,NA,NA,NA,NA,NA,NA,184898.804152935,303630.815135868,66367.4630340278,NA,NA,NA,NA,NA,NA,267799.260087033,586210.676940622,115412.665423063,NA,NA,NA,NA,NA,NA,184898.804152935,303630.815135868,66367.4630340278,NA,NA,NA
"export_dairy_egg",5,NA,NA,NA,526318.666051936,1432910.43080899,264059.535011811,NA,NA,NA,NA,NA,NA,361907.229073394,875744.604056913,167053.554588735,NA,NA,NA,NA,NA,NA,214045.426592771,374663.019112677,79812.1839131179,NA,NA,NA,NA,NA,NA,361907.229073394,875744.604056913,167053.554588735,NA,NA,NA
"export_dairy_egg",6,NA,NA,NA,524997.837456265,1410160.92376743,258633.53489933,NA,NA,NA,NA,NA,NA,337636.247916651,779248.906668711,149287.90117651,NA,NA,NA,NA,NA,NA,206146.397917849,336476.582337998,72549.4351357012,NA,NA,NA,NA,NA,NA,337636.247916651,779248.906668711,149287.90117651,NA,NA,NA
"export_dairy_egg",7,NA,NA,NA,501441.678961773,1385399.36867171,257323.21295846,NA,NA,NA,NA,NA,NA,342598.688714515,836387.264619043,161645.610916273,NA,NA,NA,NA,NA,NA,272074.093760278,592631.740985182,119165.775201052,NA,NA,NA,NA,NA,NA,342598.688714515,836387.264619043,161645.610916273,NA,NA,NA
"export_dairy_egg",8,NA,NA,NA,499018.334468715,1363656.22544211,252854.735093371,NA,NA,NA,NA,NA,NA,361799.197636492,900792.073936727,171967.266116874,NA,NA,NA,NA,NA,NA,286970.237508492,648380.902016689,127857.345805265,NA,NA,NA,NA,NA,NA,361799.197636492,900792.073936727,171967.266116874,NA,NA,NA
"export_dairy_egg",9,NA,NA,NA,604418.270875387,1716546.52083405,313277.480790481,NA,NA,NA,NA,NA,NA,459964.763399852,1227302.62762125,228022.348390413,NA,NA,NA,NA,NA,NA,284481.63127883,632965.721218304,124453.81672641,NA,NA,NA,NA,NA,NA,459964.763399852,1227302.62762125,228022.348390413,NA,NA,NA
"export_dairy_egg",10,NA,NA,NA,527579.211335549,1469978.37947316,265342.837141614,NA,NA,NA,NA,NA,NA,274060.941453803,601995.400761919,116406.064926639,NA,NA,NA,NA,NA,NA,186063.101434249,300712.864651383,64709.1428053442,NA,NA,NA,NA,NA,NA,274060.941453803,601995.400761919,116406.064926639,NA,NA,NA
