"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"export_meat",1,NA,NA,NA,89486.0899936833,1041703.09786176,326018.934214383,NA,NA,NA,NA,NA,NA,15977.5372462422,209929.335127543,168548.974025543,NA,NA,NA,NA,NA,NA,0,0,112603.889498423,NA,NA,NA,NA,NA,NA,15977.5372462422,209929.335127543,168548.974025543,NA,NA,NA
"export_meat",2,NA,NA,NA,116746.735966825,1453182.27600879,503312.739623532,NA,NA,NA,NA,NA,NA,39699.270469026,551635.391034121,298606.5378095,NA,NA,NA,NA,NA,NA,0,0,94915.8204749053,NA,NA,NA,NA,NA,NA,39699.270469026,551635.391034121,298606.5378095,NA,NA,NA
"export_meat",3,NA,NA,NA,108192.259868405,1709303.65831842,497167.053881496,NA,NA,NA,NA,NA,NA,19715.6826625001,496744.559023726,250911.419698461,NA,NA,NA,NA,NA,NA,0,185969.061464057,187968.484470961,NA,NA,NA,NA,NA,NA,19715.6826625001,496744.559023726,250911.419698461,NA,NA,NA
"export_meat",4,NA,NA,NA,63702.2194543034,1164035.15443947,356425.625881393,NA,NA,NA,NA,NA,NA,0,0,94691.9900789414,NA,NA,NA,NA,NA,NA,0,67958.8084911925,145082.328461752,NA,NA,NA,NA,NA,NA,0,0,94691.9900789414,NA,NA,NA
"export_meat",5,NA,NA,NA,111237.923306273,1737590.95126603,410904.081913059,NA,NA,NA,NA,NA,NA,29834.3788444044,635051.652623822,224704.479911563,NA,NA,NA,NA,NA,NA,0,57509.3097518185,127307.014185932,NA,NA,NA,NA,NA,NA,29834.3788444044,635051.652623822,224704.479911563,NA,NA,NA
"export_meat",6,NA,NA,NA,132056.954434419,1844032.89691349,533930.725657206,NA,NA,NA,NA,NA,NA,36030.5190149813,614078.107630671,271399.802136076,NA,NA,NA,NA,NA,NA,0,111986.329862527,164589.894736444,NA,NA,NA,NA,NA,NA,36030.5190149813,614078.107630671,271399.802136076,NA,NA,NA
"export_meat",7,NA,NA,NA,126935.958172181,1680276.15284663,510743.051147249,NA,NA,NA,NA,NA,NA,43724.7706469344,673165.278536152,290446.161039282,NA,NA,NA,NA,NA,NA,21371.9506636408,402691.811331392,231428.733527377,NA,NA,NA,NA,NA,NA,43724.7706469344,673165.278536152,290446.161039282,NA,NA,NA
"export_meat",8,NA,NA,NA,86565.1532958459,1440306.46943034,440973.312841065,NA,NA,NA,NA,NA,NA,19920.7357493321,489294.028570358,245877.827570371,NA,NA,NA,NA,NA,NA,1837.49059460679,231961.448733798,193161.96004567,NA,NA,NA,NA,NA,NA,19920.7357493321,489294.028570358,245877.827570371,NA,NA,NA
"export_meat",9,NA,NA,NA,103961.519156735,1432589.54885807,437012.260727979,NA,NA,NA,NA,NA,NA,35733.6951049347,582060.217583309,266063.749853419,NA,NA,NA,NA,NA,NA,0,40412.8183219454,157789.115561884,NA,NA,NA,NA,NA,NA,35733.6951049347,582060.217583309,266063.749853419,NA,NA,NA
"export_meat",10,NA,NA,NA,122242.799978831,2012087.20795625,432621.106681448,NA,NA,NA,NA,NA,NA,10244.9238294838,403396.752531735,170860.0717937,NA,NA,NA,NA,NA,NA,0,38847.9637160618,111629.105483775,NA,NA,NA,NA,NA,NA,10244.9238294838,403396.752531735,170860.0717937,NA,NA,NA
