"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"export_vegetable",1,NA,NA,NA,87445.2912414274,503110.6220537,140298.507374378,NA,NA,NA,NA,NA,NA,657709.545752987,1344764.98961011,342601.558982427,NA,NA,NA,NA,NA,NA,657709.545752987,1344764.98961011,342601.558982427,NA,NA,NA,NA,NA,NA,4442.06326472788,0,65937.4310022623,NA,NA,NA
"export_vegetable",2,NA,NA,NA,60808.4471268633,514697.491569472,160746.915076979,NA,NA,NA,NA,NA,NA,1718637.12862588,4365143.11617376,973960.862134624,NA,NA,NA,NA,NA,NA,1718637.12862588,4365143.11617376,973960.862134624,NA,NA,NA,NA,NA,NA,446467.126496948,0,250196.760500867,NA,NA,NA
"export_vegetable",3,NA,NA,NA,88834.9819230268,542549.584134707,146488.610507014,NA,NA,NA,NA,NA,NA,669178.210296053,1374841.28118902,366564.260482363,NA,NA,NA,NA,NA,NA,669178.210296053,1374841.28118902,366564.260482363,NA,NA,NA,NA,NA,NA,31125.8110861045,0,72770.8176125188,NA,NA,NA
"export_vegetable",4,NA,NA,NA,103534.906724917,524054.753658145,162383.035500798,NA,NA,NA,NA,NA,NA,604585.310109851,1141557.80906007,359789.256381385,NA,NA,NA,NA,NA,NA,604585.310109851,1141557.80906007,359789.256381385,NA,NA,NA,NA,NA,NA,397148.821402535,2510179.13192728,79025.9215365405,NA,NA,NA
"export_vegetable",5,NA,NA,NA,2492.47255311057,534516.247245565,149406.344116227,NA,NA,NA,NA,NA,NA,1099831.63049896,3245516.14779475,685084.349302673,NA,NA,NA,NA,NA,NA,1099831.63049896,3245516.14779475,685084.349302673,NA,NA,NA,NA,NA,NA,168463.346034092,0,140585.954586132,NA,NA,NA
"export_vegetable",6,NA,NA,NA,76095.0062659694,584024.909451479,165497.692303434,NA,NA,NA,NA,NA,NA,1086182.66027298,2246938.3919015,557869.925020217,NA,NA,NA,NA,NA,NA,1086182.66027298,2246938.3919015,557869.925020217,NA,NA,NA,NA,NA,NA,181993.577324231,0,123706.266071508,NA,NA,NA
"export_vegetable",7,NA,NA,NA,54966.9068342651,522851.139916577,143557.290452043,NA,NA,NA,NA,NA,NA,472936.901186708,443385.358460966,238058.899344197,NA,NA,NA,NA,NA,NA,472936.901186708,443385.358460966,238058.899344197,NA,NA,NA,NA,NA,NA,0,0,57915.6588345558,NA,NA,NA
"export_vegetable",8,NA,NA,NA,121993.581846666,539715.940093168,143432.578057874,NA,NA,NA,NA,NA,NA,696622.516308674,1619205.95069955,393098.187760427,NA,NA,NA,NA,NA,NA,696622.516308674,1619205.95069955,393098.187760427,NA,NA,NA,NA,NA,NA,52188.0385448577,0,72050.9139003285,NA,NA,NA
"export_vegetable",9,NA,NA,NA,92154.0044499804,582695.441712886,157994.183011292,NA,NA,NA,NA,NA,NA,628824.36287486,993506.074250964,323178.129572733,NA,NA,NA,NA,NA,NA,628824.36287486,993506.074250964,323178.129572733,NA,NA,NA,NA,NA,NA,0,0,65730.556540821,NA,NA,NA
"export_vegetable",10,NA,NA,NA,114053.039962231,571724.641635255,155092.199176397,NA,NA,NA,NA,NA,NA,1049187.53404009,2040986.57629796,515867.899326369,NA,NA,NA,NA,NA,NA,1049187.53404009,2040986.57629796,515867.899326369,NA,NA,NA,NA,NA,NA,215445.855494542,370691.545609842,133496.666306915,NA,NA,NA
"export_vegetable",11,NA,NA,NA,114220.717809617,569702.949143218,169677.536027612,NA,NA,NA,NA,NA,NA,870170.134997183,1482527.82291008,439438.274041073,NA,NA,NA,NA,NA,NA,870170.134997183,1482527.82291008,439438.274041073,NA,NA,NA,NA,NA,NA,129989.625083931,0,107937.226402111,NA,NA,NA
"export_vegetable",12,NA,NA,NA,93144.0534606929,544881.120525067,165535.473895342,NA,NA,NA,NA,NA,NA,681982.081455051,1206977.2735271,381154.612653659,NA,NA,NA,NA,NA,NA,681982.081455051,1206977.2735271,381154.612653659,NA,NA,NA,NA,NA,NA,34194.7304785773,855169.270367256,82095.1382772803,NA,NA,NA
"export_vegetable",13,NA,NA,NA,120791.741560562,548236.311818845,163323.116592003,NA,NA,NA,NA,NA,NA,1189467.78469269,2836227.31379241,657264.646231879,NA,NA,NA,NA,NA,NA,1189467.78469269,2836227.31379241,657264.646231879,NA,NA,NA,NA,NA,NA,269147.16391199,281410.713571296,161064.595555358,NA,NA,NA
"export_vegetable",14,NA,NA,NA,74845.9888400412,542910.297713285,157460.923620036,NA,NA,NA,NA,NA,NA,590217.400084926,2026301.00485116,438087.533064397,NA,NA,NA,NA,NA,NA,590217.400084926,2026301.00485116,438087.533064397,NA,NA,NA,NA,NA,NA,0,893750.927947648,69343.8525950713,NA,NA,NA
"export_vegetable",15,NA,NA,NA,76397.9733370655,519014.154217978,153435.010374864,NA,NA,NA,NA,NA,NA,375752.108885018,273567.387078208,230382.00848938,NA,NA,NA,NA,NA,NA,375752.108885018,273567.387078208,230382.00848938,NA,NA,NA,NA,NA,NA,0,396080.757334795,35783.434779372,NA,NA,NA
"export_vegetable",16,NA,NA,NA,93057.4782828566,531017.54972156,152368.643668477,NA,NA,NA,NA,NA,NA,1150679.84717058,2934649.13089331,633340.26009933,NA,NA,NA,NA,NA,NA,1150679.84717058,2934649.13089331,633340.26009933,NA,NA,NA,NA,NA,NA,223983.673133238,536061.761630493,136603.428220703,NA,NA,NA
"export_vegetable",17,NA,NA,NA,87562.5951553915,538331.466910164,152292.608498479,NA,NA,NA,NA,NA,NA,718020.974748979,1288554.17775188,375936.306033859,NA,NA,NA,NA,NA,NA,718020.974748979,1288554.17775188,375936.306033859,NA,NA,NA,NA,NA,NA,46781.2030566229,0,83116.4714130368,NA,NA,NA
"export_vegetable",18,NA,NA,NA,63459.8243112427,511503.728749422,139563.619147198,NA,NA,NA,NA,NA,NA,482468.687130944,908121.045205728,258720.1030411,NA,NA,NA,NA,NA,NA,482468.687130944,908121.045205728,258720.1030411,NA,NA,NA,NA,NA,NA,0,0,32150.9252635614,NA,NA,NA
"export_vegetable",19,NA,NA,NA,139125.696166322,574152.582211548,168627.884910469,NA,NA,NA,NA,NA,NA,1065688.14311896,2000933.99563371,538683.219363064,NA,NA,NA,NA,NA,NA,1065688.14311896,2000933.99563371,538683.219363064,NA,NA,NA,NA,NA,NA,235487.164558895,0,135287.022682184,NA,NA,NA
"export_vegetable",20,NA,NA,NA,86069.7254756489,548565.765210145,159600.220180715,NA,NA,NA,NA,NA,NA,900255.423640114,1586132.36686948,445592.091712332,NA,NA,NA,NA,NA,NA,900255.423640114,1586132.36686948,445592.091712332,NA,NA,NA,NA,NA,NA,137324.252222074,0,113239.631766534,NA,NA,NA
"export_vegetable",21,NA,NA,NA,66420.9725575016,558982.998054629,159071.861740348,NA,NA,NA,NA,NA,NA,1618717.73044616,3173094.19773491,758283.352340663,NA,NA,NA,NA,NA,NA,1618717.73044616,3173094.19773491,758283.352340663,NA,NA,NA,NA,NA,NA,441681.180372367,0,207141.715776645,NA,NA,NA
"export_vegetable",22,NA,NA,NA,73690.9477939113,522902.170506541,148491.392244024,NA,NA,NA,NA,NA,NA,1010809.60670821,2346456.80060206,559638.078454803,NA,NA,NA,NA,NA,NA,1010809.60670821,2346456.80060206,559638.078454803,NA,NA,NA,NA,NA,NA,176151.480409827,400194.016209505,131319.236327354,NA,NA,NA
"export_vegetable",23,NA,NA,NA,75366.3229881503,536714.893302541,159493.402540412,NA,NA,NA,NA,NA,NA,723945.555266395,897583.194383391,346322.119663626,NA,NA,NA,NA,NA,NA,723945.555266395,897583.194383391,346322.119663626,NA,NA,NA,NA,NA,NA,134508.340945691,0,113449.085587371,NA,NA,NA
"export_vegetable",24,NA,NA,NA,79321.8344501941,552538.450568912,151859.382505649,NA,NA,NA,NA,NA,NA,1003736.35525395,2845821.35613064,652767.025953491,NA,NA,NA,NA,NA,NA,1003736.35525395,2845821.35613064,652767.025953491,NA,NA,NA,NA,NA,NA,175562.85862612,0,129055.812791069,NA,NA,NA
