"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"feed_crops",1,NA,NA,NA,595709.226623941,4409767.83396213,392929.440818043,NA,NA,NA,NA,NA,NA,595709.226623941,4409767.83396213,392929.440818043,NA,NA,NA,NA,NA,NA,595709.226623941,4409767.83396213,392929.440818043,NA,NA,NA,NA,NA,NA,595709.226623941,4409767.83396213,392929.440818043,NA,NA,NA
"feed_crops",2,NA,NA,NA,701510.572486348,4451289.3343717,404894.383812016,NA,NA,NA,NA,NA,NA,0,1423970.66621839,0,NA,NA,NA,NA,NA,NA,0,1423970.66621839,0,NA,NA,NA,NA,NA,NA,0,1423970.66621839,0,NA,NA,NA
"feed_crops",3,NA,NA,NA,651886.27795365,4481642.4319647,394755.898905327,NA,NA,NA,NA,NA,NA,651886.27795365,4481642.4319647,394755.898905327,NA,NA,NA,NA,NA,NA,651886.27795365,4481642.4319647,394755.898905327,NA,NA,NA,NA,NA,NA,651886.27795365,4481642.4319647,394755.898905327,NA,NA,NA
"feed_crops",4,NA,NA,NA,663117.062386956,4530860.88588261,385134.226495298,NA,NA,NA,NA,NA,NA,663117.062386956,4530860.88588261,385134.226495298,NA,NA,NA,NA,NA,NA,663117.062386956,4530860.88588261,385134.226495298,NA,NA,NA,NA,NA,NA,663117.062386956,4530860.88588261,385134.226495298,NA,NA,NA
"feed_crops",5,NA,NA,NA,681065.326974998,4446175.41500388,437928.743827351,NA,NA,NA,NA,NA,NA,456700.300922917,3556361.50622463,256022.351391552,NA,NA,NA,NA,NA,NA,456700.300922917,3556361.50622463,256022.351391552,NA,NA,NA,NA,NA,NA,456700.300922917,3556361.50622463,256022.351391552,NA,NA,NA
"feed_crops",6,NA,NA,NA,587879.924289526,4449334.04291311,343269.098531957,NA,NA,NA,NA,NA,NA,419241.651197057,3805704.76834665,217594.210018412,NA,NA,NA,NA,NA,NA,419241.651197057,3805704.76834665,217594.210018412,NA,NA,NA,NA,NA,NA,419241.651197057,3805704.76834665,217594.210018412,NA,NA,NA
"feed_crops",7,NA,NA,NA,663519.519253063,4492717.70563077,405860.408968661,NA,NA,NA,NA,NA,NA,663519.519253063,4492717.70563077,405860.408968661,NA,NA,NA,NA,NA,NA,663519.519253063,4492717.70563077,405860.408968661,NA,NA,NA,NA,NA,NA,663519.519253063,4492717.70563077,405860.408968661,NA,NA,NA
"feed_crops",8,NA,NA,NA,695454.173055304,4425075.02798928,380948.680640576,NA,NA,NA,NA,NA,NA,695454.173055304,4425075.02798928,380948.680640576,NA,NA,NA,NA,NA,NA,695454.173055304,4425075.02798928,380948.680640576,NA,NA,NA,NA,NA,NA,695454.173055304,4425075.02798928,380948.680640576,NA,NA,NA
"feed_crops",9,NA,NA,NA,601243.473891239,4451249.26225519,419892.474309836,NA,NA,NA,NA,NA,NA,601243.473891239,4451249.26225519,419892.474309836,NA,NA,NA,NA,NA,NA,601243.473891239,4451249.26225519,419892.474309836,NA,NA,NA,NA,NA,NA,601243.473891239,4451249.26225519,419892.474309836,NA,NA,NA
"feed_crops",10,NA,NA,NA,633897.224388637,4440304.66732836,376446.516954394,NA,NA,NA,NA,NA,NA,437620.038922764,3697606.92448495,223764.701141168,NA,NA,NA,NA,NA,NA,437620.038922764,3697606.92448495,223764.701141168,NA,NA,NA,NA,NA,NA,437620.038922764,3697606.92448495,223764.701141168,NA,NA,NA
