"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"feed_from_processed_crops",1,NA,NA,NA,128218.385933986,461562.556562706,93826.7647704492,NA,NA,NA,NA,NA,NA,200498.003809181,721755.858567201,146719.044256525,NA,NA,NA,NA,NA,NA,200498.003809181,721755.858567201,146719.044256525,NA,NA,NA,NA,NA,NA,200498.003809181,3089391.63950667,146719.044256525,NA,NA,NA
"feed_from_processed_crops",2,NA,NA,NA,120545.861233971,461841.357172532,94943.7274621968,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,6189472.29429645,4.65661287307739e-10,NA,NA,NA
"feed_from_processed_crops",3,NA,NA,NA,120552.270887903,462651.20252498,94422.1345235164,NA,NA,NA,NA,NA,NA,165183.099693537,633933.804375038,129379.071380394,NA,NA,NA,NA,NA,NA,165183.099693537,633933.804375038,129379.071380394,NA,NA,NA,NA,NA,NA,165183.099693537,2878427.85177069,129379.071380394,NA,NA,NA
"feed_from_processed_crops",4,NA,NA,NA,121168.102251514,461314.937166532,95216.2579129764,NA,NA,NA,NA,NA,NA,218977.794099261,833699.013590883,172077.021367308,NA,NA,NA,NA,NA,NA,218977.794099261,833699.013590883,172077.021367308,NA,NA,NA,NA,NA,NA,0,0,121279.516359232,NA,NA,NA
"feed_from_processed_crops",5,NA,NA,NA,116152.044503998,460649.801581877,94171.5371666709,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,4006233.62123092,8.73114913702011e-11,NA,NA,NA
"feed_from_processed_crops",6,NA,NA,NA,119386.960103722,455655.416265553,88971.1607327673,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,1.74622982740402e-10,3672254.17534993,4.36557456851006e-10,NA,NA,NA
"feed_from_processed_crops",7,NA,NA,NA,124473.905233492,465122.078100597,92485.3323253758,NA,NA,NA,NA,NA,NA,263011.747838027,982796.920284764,195420.308044878,NA,NA,NA,NA,NA,NA,263011.747838027,982796.920284764,195420.308044878,NA,NA,NA,NA,NA,NA,263011.747838026,3014511.55682179,195420.308044877,NA,NA,NA
"feed_from_processed_crops",8,NA,NA,NA,121733.141083243,463530.123729893,88033.65175471,NA,NA,NA,NA,NA,NA,153299.740441935,583728.038416584,110861.642475193,NA,NA,NA,NA,NA,NA,153299.740441935,583728.038416584,110861.642475193,NA,NA,NA,NA,NA,NA,153299.740441934,2639242.55331475,110861.642475193,NA,NA,NA
"feed_from_processed_crops",9,NA,NA,NA,120991.845572678,458929.555473009,92195.3851930558,NA,NA,NA,NA,NA,NA,225215.008470782,854254.460159138,171613.089782555,NA,NA,NA,NA,NA,NA,225215.008470782,854254.460159138,171613.089782555,NA,NA,NA,NA,NA,NA,225215.008470784,3214172.88847339,171613.089782556,NA,NA,NA
"feed_from_processed_crops",10,NA,NA,NA,122427.006174334,463254.355991178,95234.5916460292,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,2692029.00581189,0,NA,NA,NA
