"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"food_and_feed_crops",1,NA,NA,NA,374497.806306207,1357854.04250389,267698.769872143,NA,NA,NA,NA,NA,NA,1017041.67869296,2459701.7120648,522894.100966268,NA,NA,NA,NA,NA,NA,1017041.67869296,2459701.7120648,522894.100966268,NA,NA,NA,NA,NA,NA,363774.196204703,3089391.63950667,246229.972986103,NA,NA,NA
"food_and_feed_crops",2,NA,NA,NA,348728.355140484,1358180.56292117,290448.763131764,NA,NA,NA,NA,NA,NA,1886011.17540553,4746784.83035292,1008718.98272721,NA,NA,NA,NA,NA,NA,1886011.17540553,4746784.83035292,1008718.98272721,NA,NA,NA,NA,NA,NA,613841.173276597,6189472.29429645,284954.881093457,NA,NA,NA
"food_and_feed_crops",3,NA,NA,NA,346338.506970151,1365048.01600872,271533.021443195,NA,NA,NA,NA,NA,NA,971312.56414881,2368622.31491309,526565.608275422,NA,NA,NA,NA,NA,NA,971312.56414881,2368622.31491309,526565.608275422,NA,NA,NA,NA,NA,NA,333260.164938863,2878427.85177069,232772.165405578,NA,NA,NA
"food_and_feed_crops",4,NA,NA,NA,357858.456734362,1365304.6008793,289664.51321863,NA,NA,NA,NA,NA,NA,956718.551967043,2355191.73270558,563931.497553548,NA,NA,NA,NA,NA,NA,956718.551967043,2355191.73270558,563931.497553548,NA,NA,NA,NA,NA,NA,530304.269160465,2890114.0419819,232370.657700628,NA,NA,NA
"food_and_feed_crops",5,NA,NA,NA,335374.55749261,1357114.80648452,277817.599819458,NA,NA,NA,NA,NA,NA,1316561.67093446,3607464.90545183,719324.067839232,NA,NA,NA,NA,NA,NA,1316561.67093446,3607464.90545183,719324.067839232,NA,NA,NA,NA,NA,NA,385193.386469594,4177296.69717914,174825.673122692,NA,NA,NA
"food_and_feed_crops",6,NA,NA,NA,369554.015124282,1367538.41618678,281026.438928615,NA,NA,NA,NA,NA,NA,1260254.70902757,2574796.48237125,584427.51091263,NA,NA,NA,NA,NA,NA,1260254.70902757,2574796.48237125,584427.51091263,NA,NA,NA,NA,NA,NA,356065.626078821,3672254.17534993,150263.851963922,NA,NA,NA
"food_and_feed_crops",7,NA,NA,NA,346633.536971365,1354037.00542882,269933.352498419,NA,NA,NA,NA,NA,NA,903141.373928343,1792246.06615737,467369.937110074,NA,NA,NA,NA,NA,NA,903141.373928343,1792246.06615737,467369.937110074,NA,NA,NA,NA,NA,NA,386294.481358048,3060027.1643068,287226.696600433,NA,NA,NA
"food_and_feed_crops",8,NA,NA,NA,353786.774758973,1352331.7481048,261347.007673958,NA,NA,NA,NA,NA,NA,959982.308579673,2552019.67339787,533840.608096995,NA,NA,NA,NA,NA,NA,959982.308579673,2552019.67339787,533840.608096995,NA,NA,NA,NA,NA,NA,315547.830815856,2928832.06308944,212793.334236896,NA,NA,NA
"food_and_feed_crops",9,NA,NA,NA,339750.602545239,1369676.62034948,281110.715742908,NA,NA,NA,NA,NA,NA,980644.123868223,2175812.15757369,525712.36689385,NA,NA,NA,NA,NA,NA,980644.123868223,2175812.15757369,525712.36689385,NA,NA,NA,NA,NA,NA,350645.900988612,3214172.88847339,268264.793861938,NA,NA,NA
"food_and_feed_crops",10,NA,NA,NA,354648.910064186,1369122.80623857,280714.284051424,NA,NA,NA,NA,NA,NA,1167356.39796771,2375130.3849101,546255.392555368,NA,NA,NA,NA,NA,NA,1167356.39796771,2375130.3849101,546255.392555368,NA,NA,NA,NA,NA,NA,333614.719422163,3396864.36003388,163884.159535914,NA,NA,NA
"food_and_feed_crops",11,NA,NA,NA,362501.285593512,1359286.90660385,294168.763595395,NA,NA,NA,NA,NA,NA,995189.35177122,1811909.51582744,468725.485094313,NA,NA,NA,NA,NA,NA,995189.35177122,1811909.51582744,468725.485094313,NA,NA,NA,NA,NA,NA,255008.841857968,3195008.52882705,137224.43745535,NA,NA,NA
"food_and_feed_crops",12,NA,NA,NA,354600.046629358,1362012.16465062,288639.264642741,NA,NA,NA,NA,NA,NA,981206.125139289,2161974.51384236,531633.33138368,NA,NA,NA,NA,NA,NA,981206.125139289,2161974.51384236,531633.33138368,NA,NA,NA,NA,NA,NA,333418.774162815,2034879.95739324,232573.857007301,NA,NA,NA
"food_and_feed_crops",13,NA,NA,NA,348015.140635174,1360846.55345578,286143.012767231,NA,NA,NA,NA,NA,NA,1297586.90161597,3186708.13533336,687459.0836997,NA,NA,NA,NA,NA,NA,1297586.90161597,3186708.13533336,687459.0836997,NA,NA,NA,NA,NA,NA,377266.280835265,4000570.83139266,191259.033023179,NA,NA,NA
"food_and_feed_crops",14,NA,NA,NA,349991.955478454,1361772.87424596,278510.455792192,NA,NA,NA,NA,NA,NA,938331.786179582,3120113.27689699,614377.3303317,NA,NA,NA,NA,NA,NA,938331.786179582,3120113.27689699,614377.3303317,NA,NA,NA,NA,NA,NA,339284.709549778,3146792.2497491,245633.649862374,NA,NA,NA
"food_and_feed_crops",15,NA,NA,NA,361722.886920372,1355781.79221239,278475.866551693,NA,NA,NA,NA,NA,NA,954752.039888842,2208152.1145555,572538.470096322,NA,NA,NA,NA,NA,NA,954752.039888842,2208152.1145555,572538.470096322,NA,NA,NA,NA,NA,NA,461824.72286506,770727.783855151,377939.896386314,NA,NA,NA
"food_and_feed_crops",16,NA,NA,NA,350601.233940669,1354295.20214272,273577.532577237,NA,NA,NA,NA,NA,NA,1287335.97473512,3294429.74481269,664752.001686559,NA,NA,NA,NA,NA,NA,1287335.97473512,3294429.74481269,664752.001686559,NA,NA,NA,NA,NA,NA,360639.800697775,3859824.50359551,168015.169807932,NA,NA,NA
"food_and_feed_crops",17,NA,NA,NA,344049.027211386,1351905.77213413,274820.14631617,NA,NA,NA,NA,NA,NA,945068.068291027,1987185.136639,474756.401334039,NA,NA,NA,NA,NA,NA,945068.068291027,1987185.136639,474756.401334039,NA,NA,NA,NA,NA,NA,273828.296598671,2954472.22526253,181936.566713218,NA,NA,NA
"food_and_feed_crops",18,NA,NA,NA,348764.416198846,1349292.02981108,265236.944127396,NA,NA,NA,NA,NA,NA,1026739.9507101,2749559.86688755,589337.173595159,NA,NA,NA,NA,NA,NA,1026739.9507101,2749559.86688755,589337.173595159,NA,NA,NA,NA,NA,NA,446774.960048005,3232417.7262286,362767.995817622,NA,NA,NA
"food_and_feed_crops",19,NA,NA,NA,370491.98571535,1361769.29176127,293442.006558898,NA,NA,NA,NA,NA,NA,1172510.18797868,2326070.09870719,565860.392470643,NA,NA,NA,NA,NA,NA,1172510.18797868,2326070.09870719,565860.392470643,NA,NA,NA,NA,NA,NA,342309.209418617,3899520.04317803,162464.195789764,NA,NA,NA
