"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"fresh_compost_crop",1,NA,NA,NA,40780.068213994,69295.7613258781,11554.7859386684,NA,NA,NA,NA,NA,NA,40780.068213994,69295.7613258781,11554.7859386684,NA,NA,NA,NA,NA,NA,40780.068213994,69295.7613258781,11554.7859386684,NA,NA,NA,NA,NA,NA,40780.068213994,69295.7613258781,11554.7859386684,NA,NA,NA
"fresh_compost_crop",2,NA,NA,NA,45853.7255762492,78072.8019814365,11674.2933911334,NA,NA,NA,NA,NA,NA,45853.7255762492,78072.8019814365,11674.2933911334,NA,NA,NA,NA,NA,NA,45853.7255762492,78072.8019814365,11674.2933911334,NA,NA,NA,NA,NA,NA,45853.7255762492,78072.8019814365,11674.2933911334,NA,NA,NA
"fresh_compost_crop",3,NA,NA,NA,49520.391480455,80824.1174773438,11954.400485324,NA,NA,NA,NA,NA,NA,49520.391480455,80824.1174773438,11954.400485324,NA,NA,NA,NA,NA,NA,49520.391480455,80824.1174773438,11954.400485324,NA,NA,NA,NA,NA,NA,49520.391480455,80824.1174773438,11954.400485324,NA,NA,NA
"fresh_compost_crop",4,NA,NA,NA,45680.3738108303,74207.7488128081,13201.84169949,NA,NA,NA,NA,NA,NA,45680.3738108303,74207.7488128081,13201.84169949,NA,NA,NA,NA,NA,NA,45680.3738108303,74207.7488128081,13201.84169949,NA,NA,NA,NA,NA,NA,45680.3738108303,74207.7488128081,13201.84169949,NA,NA,NA
"fresh_compost_crop",5,NA,NA,NA,54620.8777384333,89086.0296742915,13947.6355449291,NA,NA,NA,NA,NA,NA,54620.8777384333,89086.0296742915,13947.6355449291,NA,NA,NA,NA,NA,NA,54620.8777384333,89086.0296742915,13947.6355449291,NA,NA,NA,NA,NA,NA,54620.8777384333,89086.0296742915,13947.6355449291,NA,NA,NA
"fresh_compost_crop",6,NA,NA,NA,52003.8641916056,88398.7523982191,14142.3833878884,NA,NA,NA,NA,NA,NA,52003.8641916056,88398.7523982191,14142.3833878884,NA,NA,NA,NA,NA,NA,52003.8641916056,88398.7523982191,14142.3833878884,NA,NA,NA,NA,NA,NA,52003.8641916056,88398.7523982191,14142.3833878884,NA,NA,NA
"fresh_compost_crop",7,NA,NA,NA,37025.6835110748,65665.749088968,10575.4033655701,NA,NA,NA,NA,NA,NA,37025.6835110748,65665.749088968,10575.4033655701,NA,NA,NA,NA,NA,NA,37025.6835110748,65665.749088968,10575.4033655701,NA,NA,NA,NA,NA,NA,37025.6835110748,65665.749088968,10575.4033655701,NA,NA,NA
"fresh_compost_crop",8,NA,NA,NA,38698.8385549897,68895.731364214,10738.7932039538,NA,NA,NA,NA,NA,NA,38698.8385549897,68895.731364214,10738.7932039538,NA,NA,NA,NA,NA,NA,38698.8385549897,68895.731364214,10738.7932039538,NA,NA,NA,NA,NA,NA,38698.8385549897,68895.731364214,10738.7932039538,NA,NA,NA
"fresh_compost_crop",9,NA,NA,NA,50803.7249500579,80539.8491897514,12818.7683088059,NA,NA,NA,NA,NA,NA,50803.7249500579,80539.8491897514,12818.7683088059,NA,NA,NA,NA,NA,NA,50803.7249500579,80539.8491897514,12818.7683088059,NA,NA,NA,NA,NA,NA,50803.7249500579,80539.8491897514,12818.7683088059,NA,NA,NA
"fresh_compost_crop",10,NA,NA,NA,47500.1625467104,84932.5930153259,12199.2107157706,NA,NA,NA,NA,NA,NA,47500.1625467104,84932.5930153259,12199.2107157706,NA,NA,NA,NA,NA,NA,47500.1625467104,84932.5930153259,12199.2107157706,NA,NA,NA,NA,NA,NA,47500.1625467104,84932.5930153259,12199.2107157706,NA,NA,NA
