"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"fresh_compost_export",1,NA,NA,NA,94847.211982457,161169.660861575,26874.3844562947,NA,NA,NA,NA,NA,NA,94847.211982457,161169.660861575,26874.3844562947,NA,NA,NA,NA,NA,NA,94847.211982457,161169.660861575,26874.3844562947,NA,NA,NA,NA,NA,NA,94847.211982457,161169.660861575,26874.3844562947,NA,NA,NA
"fresh_compost_export",2,NA,NA,NA,103995.958467815,177068.619186157,26477.2232874847,NA,NA,NA,NA,NA,NA,103995.958467815,177068.619186157,26477.2232874847,NA,NA,NA,NA,NA,NA,103995.958467815,177068.619186157,26477.2232874847,NA,NA,NA,NA,NA,NA,103995.958467815,177068.619186157,26477.2232874847,NA,NA,NA
"fresh_compost_export",3,NA,NA,NA,110003.862977403,179541.495502037,26555.327889191,NA,NA,NA,NA,NA,NA,110003.862977403,179541.495502037,26555.327889191,NA,NA,NA,NA,NA,NA,110003.862977403,179541.495502037,26555.327889191,NA,NA,NA,NA,NA,NA,110003.862977403,179541.495502037,26555.327889191,NA,NA,NA
"fresh_compost_export",4,NA,NA,NA,103011.346065112,167341.890093218,29770.7608443554,NA,NA,NA,NA,NA,NA,103011.346065112,167341.890093218,29770.7608443554,NA,NA,NA,NA,NA,NA,103011.346065112,167341.890093218,29770.7608443554,NA,NA,NA,NA,NA,NA,103011.346065112,167341.890093218,29770.7608443554,NA,NA,NA
"fresh_compost_export",5,NA,NA,NA,120682.672418565,196832.064613422,30816.7499530647,NA,NA,NA,NA,NA,NA,120682.672418565,196832.064613422,30816.7499530647,NA,NA,NA,NA,NA,NA,120682.672418565,196832.064613422,30816.7499530647,NA,NA,NA,NA,NA,NA,120682.672418565,196832.064613422,30816.7499530647,NA,NA,NA
"fresh_compost_export",6,NA,NA,NA,120808.11620852,205355.638824549,32853.6104450726,NA,NA,NA,NA,NA,NA,120808.11620852,205355.638824549,32853.6104450726,NA,NA,NA,NA,NA,NA,120808.11620852,205355.638824549,32853.6104450726,NA,NA,NA,NA,NA,NA,120808.11620852,205355.638824549,32853.6104450726,NA,NA,NA
"fresh_compost_export",7,NA,NA,NA,81536.843832657,144607.132695339,23288.8344229466,NA,NA,NA,NA,NA,NA,81536.843832657,144607.132695339,23288.8344229466,NA,NA,NA,NA,NA,NA,81536.843832657,144607.132695339,23288.8344229466,NA,NA,NA,NA,NA,NA,81536.843832657,144607.132695339,23288.8344229466,NA,NA,NA
"fresh_compost_export",8,NA,NA,NA,87209.5231451802,155259.540166144,24200.3395823042,NA,NA,NA,NA,NA,NA,87209.5231451802,155259.540166144,24200.3395823042,NA,NA,NA,NA,NA,NA,87209.5231451802,155259.540166144,24200.3395823042,NA,NA,NA,NA,NA,NA,87209.5231451802,155259.540166144,24200.3395823042,NA,NA,NA
"fresh_compost_export",9,NA,NA,NA,119413.223207936,189307.437552732,30130.279675654,NA,NA,NA,NA,NA,NA,119413.223207936,189307.437552732,30130.279675654,NA,NA,NA,NA,NA,NA,119413.223207936,189307.437552732,30130.279675654,NA,NA,NA,NA,NA,NA,119413.223207936,189307.437552732,30130.279675654,NA,NA,NA
"fresh_compost_export",10,NA,NA,NA,104898.404890569,187563.432478077,26940.4919141041,NA,NA,NA,NA,NA,NA,104898.404890569,187563.432478077,26940.4919141041,NA,NA,NA,NA,NA,NA,104898.404890569,187563.432478077,26940.4919141041,NA,NA,NA,NA,NA,NA,104898.404890569,187563.432478077,26940.4919141041,NA,NA,NA
"fresh_compost_export",11,NA,NA,NA,99056.3575551644,177768.088258471,27412.2526603452,NA,NA,NA,NA,NA,NA,99056.3575551644,177768.088258471,27412.2526603452,NA,NA,NA,NA,NA,NA,99056.3575551644,177768.088258471,27412.2526603452,NA,NA,NA,NA,NA,NA,99056.3575551644,177768.088258471,27412.2526603452,NA,NA,NA
"fresh_compost_export",12,NA,NA,NA,118624.512769048,204351.751107042,30949.4504774245,NA,NA,NA,NA,NA,NA,118624.512769048,204351.751107042,30949.4504774245,NA,NA,NA,NA,NA,NA,118624.512769048,204351.751107042,30949.4504774245,NA,NA,NA,NA,NA,NA,118624.512769048,204351.751107042,30949.4504774245,NA,NA,NA
"fresh_compost_export",13,NA,NA,NA,102117.358985248,170230.529419662,27194.931576799,NA,NA,NA,NA,NA,NA,102117.358985248,170230.529419662,27194.931576799,NA,NA,NA,NA,NA,NA,102117.358985248,170230.529419662,27194.931576799,NA,NA,NA,NA,NA,NA,102117.358985248,170230.529419662,27194.931576799,NA,NA,NA
"fresh_compost_export",14,NA,NA,NA,100319.733982112,168111.303417236,25562.6709999102,NA,NA,NA,NA,NA,NA,100319.733982112,168111.303417236,25562.6709999102,NA,NA,NA,NA,NA,NA,100319.733982112,168111.303417236,25562.6709999102,NA,NA,NA,NA,NA,NA,100319.733982112,168111.303417236,25562.6709999102,NA,NA,NA
"fresh_compost_export",15,NA,NA,NA,95763.5821683957,166155.896980219,28969.493411363,NA,NA,NA,NA,NA,NA,95763.5821683957,166155.896980219,28969.493411363,NA,NA,NA,NA,NA,NA,95763.5821683957,166155.896980219,28969.493411363,NA,NA,NA,NA,NA,NA,95763.5821683957,166155.896980219,28969.493411363,NA,NA,NA
"fresh_compost_export",16,NA,NA,NA,114756.488106329,182124.413827483,30947.3851257177,NA,NA,NA,NA,NA,NA,114756.488106329,182124.413827483,30947.3851257177,NA,NA,NA,NA,NA,NA,114756.488106329,182124.413827483,30947.3851257177,NA,NA,NA,NA,NA,NA,114756.488106329,182124.413827483,30947.3851257177,NA,NA,NA
"fresh_compost_export",17,NA,NA,NA,94118.4293833314,161224.494269699,25856.4793008163,NA,NA,NA,NA,NA,NA,94118.4293833314,161224.494269699,25856.4793008163,NA,NA,NA,NA,NA,NA,94118.4293833314,161224.494269699,25856.4793008163,NA,NA,NA,NA,NA,NA,94118.4293833314,161224.494269699,25856.4793008163,NA,NA,NA
"fresh_compost_export",18,NA,NA,NA,121319.509768402,202528.73438929,33086.6886205339,NA,NA,NA,NA,NA,NA,121319.509768402,202528.73438929,33086.6886205339,NA,NA,NA,NA,NA,NA,121319.509768402,202528.73438929,33086.6886205339,NA,NA,NA,NA,NA,NA,121319.509768402,202528.73438929,33086.6886205339,NA,NA,NA
"fresh_compost_export",19,NA,NA,NA,109317.225744017,186346.122439161,28734.162133134,NA,NA,NA,NA,NA,NA,109317.225744017,186346.122439161,28734.162133134,NA,NA,NA,NA,NA,NA,109317.225744017,186346.122439161,28734.162133134,NA,NA,NA,NA,NA,NA,109317.225744017,186346.122439161,28734.162133134,NA,NA,NA
"fresh_compost_export",20,NA,NA,NA,119878.644117162,199940.989731651,31554.7697902972,NA,NA,NA,NA,NA,NA,119878.644117162,199940.989731651,31554.7697902972,NA,NA,NA,NA,NA,NA,119878.644117162,199940.989731651,31554.7697902972,NA,NA,NA,NA,NA,NA,119878.644117162,199940.989731651,31554.7697902972,NA,NA,NA
"fresh_compost_export",21,NA,NA,NA,91693.1016874496,150814.394966997,24329.7722864333,NA,NA,NA,NA,NA,NA,91693.1016874496,150814.394966997,24329.7722864333,NA,NA,NA,NA,NA,NA,91693.1016874496,150814.394966997,24329.7722864333,NA,NA,NA,NA,NA,NA,91693.1016874496,150814.394966997,24329.7722864333,NA,NA,NA
"fresh_compost_export",22,NA,NA,NA,115612.765590902,197519.862184222,32398.0103088372,NA,NA,NA,NA,NA,NA,115612.765590902,197519.862184222,32398.0103088372,NA,NA,NA,NA,NA,NA,115612.765590902,197519.862184222,32398.0103088372,NA,NA,NA,NA,NA,NA,115612.765590902,197519.862184222,32398.0103088372,NA,NA,NA
"fresh_compost_export",23,NA,NA,NA,108659.073781886,185465.757151599,29904.3254080076,NA,NA,NA,NA,NA,NA,108659.073781886,185465.757151599,29904.3254080076,NA,NA,NA,NA,NA,NA,108659.073781886,185465.757151599,29904.3254080076,NA,NA,NA,NA,NA,NA,108659.073781886,185465.757151599,29904.3254080076,NA,NA,NA
"fresh_compost_export",24,NA,NA,NA,118331.475168005,200086.644604911,31974.0827344695,NA,NA,NA,NA,NA,NA,118331.475168005,200086.644604911,31974.0827344695,NA,NA,NA,NA,NA,NA,118331.475168005,200086.644604911,31974.0827344695,NA,NA,NA,NA,NA,NA,118331.475168005,200086.644604911,31974.0827344695,NA,NA,NA
"fresh_compost_export",25,NA,NA,NA,89624.1718342464,155206.003172362,26346.7201409301,NA,NA,NA,NA,NA,NA,89624.1718342464,155206.003172362,26346.7201409301,NA,NA,NA,NA,NA,NA,89624.1718342464,155206.003172362,26346.7201409301,NA,NA,NA,NA,NA,NA,89624.1718342464,155206.003172362,26346.7201409301,NA,NA,NA
"fresh_compost_export",26,NA,NA,NA,76828.2518252245,133590.681651446,21294.9232016589,NA,NA,NA,NA,NA,NA,76828.2518252245,133590.681651446,21294.9232016589,NA,NA,NA,NA,NA,NA,76828.2518252245,133590.681651446,21294.9232016589,NA,NA,NA,NA,NA,NA,76828.2518252245,133590.681651446,21294.9232016589,NA,NA,NA
"fresh_compost_export",27,NA,NA,NA,118743.364309598,188867.69007318,33615.5334144364,NA,NA,NA,NA,NA,NA,118743.364309598,188867.69007318,33615.5334144364,NA,NA,NA,NA,NA,NA,118743.364309598,188867.69007318,33615.5334144364,NA,NA,NA,NA,NA,NA,118743.364309598,188867.69007318,33615.5334144364,NA,NA,NA
"fresh_compost_export",28,NA,NA,NA,105208.447694008,165596.81899431,25609.6995508087,NA,NA,NA,NA,NA,NA,105208.447694008,165596.81899431,25609.6995508087,NA,NA,NA,NA,NA,NA,105208.447694008,165596.81899431,25609.6995508087,NA,NA,NA,NA,NA,NA,105208.447694008,165596.81899431,25609.6995508087,NA,NA,NA
"fresh_compost_export",29,NA,NA,NA,110684.264761416,185257.494877474,30737.1986212973,NA,NA,NA,NA,NA,NA,110684.264761416,185257.494877474,30737.1986212973,NA,NA,NA,NA,NA,NA,110684.264761416,185257.494877474,30737.1986212973,NA,NA,NA,NA,NA,NA,110684.264761416,185257.494877474,30737.1986212973,NA,NA,NA
"fresh_compost_export",30,NA,NA,NA,98938.0586850486,175420.264404773,27434.4612360138,NA,NA,NA,NA,NA,NA,98938.0586850486,175420.264404773,27434.4612360138,NA,NA,NA,NA,NA,NA,98938.0586850486,175420.264404773,27434.4612360138,NA,NA,NA,NA,NA,NA,98938.0586850486,175420.264404773,27434.4612360138,NA,NA,NA
"fresh_compost_export",31,NA,NA,NA,98398.3275638659,167385.225052249,27033.1753509654,NA,NA,NA,NA,NA,NA,98398.3275638659,167385.225052249,27033.1753509654,NA,NA,NA,NA,NA,NA,98398.3275638659,167385.225052249,27033.1753509654,NA,NA,NA,NA,NA,NA,98398.3275638659,167385.225052249,27033.1753509654,NA,NA,NA
"fresh_compost_export",32,NA,NA,NA,110746.71699597,188567.164812556,30258.0728292095,NA,NA,NA,NA,NA,NA,110746.71699597,188567.164812556,30258.0728292095,NA,NA,NA,NA,NA,NA,110746.71699597,188567.164812556,30258.0728292095,NA,NA,NA,NA,NA,NA,110746.71699597,188567.164812556,30258.0728292095,NA,NA,NA
"fresh_compost_export",33,NA,NA,NA,87711.279181842,161356.455398805,26023.6990451578,NA,NA,NA,NA,NA,NA,87711.279181842,161356.455398805,26023.6990451578,NA,NA,NA,NA,NA,NA,87711.279181842,161356.455398805,26023.6990451578,NA,NA,NA,NA,NA,NA,87711.279181842,161356.455398805,26023.6990451578,NA,NA,NA
"fresh_compost_export",34,NA,NA,NA,102429.883269431,177447.963726289,28647.8329077374,NA,NA,NA,NA,NA,NA,102429.883269431,177447.963726289,28647.8329077374,NA,NA,NA,NA,NA,NA,102429.883269431,177447.963726289,28647.8329077374,NA,NA,NA,NA,NA,NA,102429.883269431,177447.963726289,28647.8329077374,NA,NA,NA
"fresh_compost_export",35,NA,NA,NA,123455.805326026,207155.249625171,34764.338848629,NA,NA,NA,NA,NA,NA,123455.805326026,207155.249625171,34764.338848629,NA,NA,NA,NA,NA,NA,123455.805326026,207155.249625171,34764.338848629,NA,NA,NA,NA,NA,NA,123455.805326026,207155.249625171,34764.338848629,NA,NA,NA
"fresh_compost_export",36,NA,NA,NA,128645.434717321,197008.714221846,31029.4517667342,NA,NA,NA,NA,NA,NA,128645.434717321,197008.714221846,31029.4517667342,NA,NA,NA,NA,NA,NA,128645.434717321,197008.714221846,31029.4517667342,NA,NA,NA,NA,NA,NA,128645.434717321,197008.714221846,31029.4517667342,NA,NA,NA
"fresh_compost_export",37,NA,NA,NA,85686.3268147589,147110.681288928,24780.2730426315,NA,NA,NA,NA,NA,NA,85686.3268147589,147110.681288928,24780.2730426315,NA,NA,NA,NA,NA,NA,85686.3268147589,147110.681288928,24780.2730426315,NA,NA,NA,NA,NA,NA,85686.3268147589,147110.681288928,24780.2730426315,NA,NA,NA
"fresh_compost_export",38,NA,NA,NA,90086.6548017522,153329.610294404,24413.7099069762,NA,NA,NA,NA,NA,NA,90086.6548017522,153329.610294404,24413.7099069762,NA,NA,NA,NA,NA,NA,90086.6548017522,153329.610294404,24413.7099069762,NA,NA,NA,NA,NA,NA,90086.6548017522,153329.610294404,24413.7099069762,NA,NA,NA
"fresh_compost_export",39,NA,NA,NA,91664.2645796694,161497.803180746,26268.3007486809,NA,NA,NA,NA,NA,NA,91664.2645796694,161497.803180746,26268.3007486809,NA,NA,NA,NA,NA,NA,91664.2645796694,161497.803180746,26268.3007486809,NA,NA,NA,NA,NA,NA,91664.2645796694,161497.803180746,26268.3007486809,NA,NA,NA
"fresh_compost_export",40,NA,NA,NA,138563.98157128,226223.5873256,35619.8134122877,NA,NA,NA,NA,NA,NA,138563.98157128,226223.5873256,35619.8134122877,NA,NA,NA,NA,NA,NA,138563.98157128,226223.5873256,35619.8134122877,NA,NA,NA,NA,NA,NA,138563.98157128,226223.5873256,35619.8134122877,NA,NA,NA
