"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"fruit_and_vegetable",1,NA,NA,NA,203152.750041664,177826.625846376,29053.0577695747,NA,NA,NA,NA,NA,NA,203152.750041664,177826.625846376,29053.0577695747,NA,NA,NA,NA,NA,NA,203152.750041664,177826.625846376,29053.0577695747,NA,NA,NA,NA,NA,NA,203152.750041664,177826.625846376,29053.0577695747,NA,NA,NA
"fruit_and_vegetable",2,NA,NA,NA,203529.709107664,177964.941193073,28856.3934873033,NA,NA,NA,NA,NA,NA,203529.709107664,177964.941193073,28856.3934873033,NA,NA,NA,NA,NA,NA,203529.709107664,177964.941193073,28856.3934873033,NA,NA,NA,NA,NA,NA,203529.709107664,177964.941193073,28856.3934873033,NA,NA,NA
"fruit_and_vegetable",3,NA,NA,NA,202917.512042404,178419.378737343,29070.062930228,NA,NA,NA,NA,NA,NA,202917.512042404,178419.378737343,29070.062930228,NA,NA,NA,NA,NA,NA,202917.512042404,178419.378737343,29070.062930228,NA,NA,NA,NA,NA,NA,202917.512042404,178419.378737343,29070.062930228,NA,NA,NA
"fruit_and_vegetable",4,NA,NA,NA,203751.018681935,178427.699148017,29066.8355739805,NA,NA,NA,NA,NA,NA,203751.018681935,178427.699148017,29066.8355739805,NA,NA,NA,NA,NA,NA,203751.018681935,178427.699148017,29066.8355739805,NA,NA,NA,NA,NA,NA,203751.018681935,178427.699148017,29066.8355739805,NA,NA,NA
"fruit_and_vegetable",5,NA,NA,NA,204787.114849417,178731.861550268,29084.7853420652,NA,NA,NA,NA,NA,NA,204787.114849417,178731.861550268,29084.7853420652,NA,NA,NA,NA,NA,NA,204787.114849417,178731.861550268,29084.7853420652,NA,NA,NA,NA,NA,NA,204787.114849417,178731.861550268,29084.7853420652,NA,NA,NA
"fruit_and_vegetable",6,NA,NA,NA,204651.118555188,178965.305628781,29107.1692066369,NA,NA,NA,NA,NA,NA,204651.118555188,178965.305628781,29107.1692066369,NA,NA,NA,NA,NA,NA,204651.118555188,178965.305628781,29107.1692066369,NA,NA,NA,NA,NA,NA,204651.118555188,178965.305628781,29107.1692066369,NA,NA,NA
"fruit_and_vegetable",7,NA,NA,NA,203889.068097778,178647.105266278,29021.5849674995,NA,NA,NA,NA,NA,NA,203889.068097778,178647.105266278,29021.5849674995,NA,NA,NA,NA,NA,NA,203889.068097778,178647.105266278,29021.5849674995,NA,NA,NA,NA,NA,NA,203889.068097778,178647.105266278,29021.5849674995,NA,NA,NA
"fruit_and_vegetable",8,NA,NA,NA,202596.625321882,177888.640058897,29080.8692346227,NA,NA,NA,NA,NA,NA,202596.625321882,177888.640058897,29080.8692346227,NA,NA,NA,NA,NA,NA,202596.625321882,177888.640058897,29080.8692346227,NA,NA,NA,NA,NA,NA,202596.625321882,177888.640058897,29080.8692346227,NA,NA,NA
"fruit_and_vegetable",9,NA,NA,NA,204161.6580816,178291.771494408,29161.6912543647,NA,NA,NA,NA,NA,NA,204161.6580816,178291.771494408,29161.6912543647,NA,NA,NA,NA,NA,NA,204161.6580816,178291.771494408,29161.6912543647,NA,NA,NA,NA,NA,NA,204161.6580816,178291.771494408,29161.6912543647,NA,NA,NA
"fruit_and_vegetable",10,NA,NA,NA,203524.137923313,178558.563571013,28951.026656899,NA,NA,NA,NA,NA,NA,203524.137923313,178558.563571013,28951.026656899,NA,NA,NA,NA,NA,NA,203524.137923313,178558.563571013,28951.026656899,NA,NA,NA,NA,NA,NA,203524.137923313,178558.563571013,28951.026656899,NA,NA,NA
"fruit_and_vegetable",11,NA,NA,NA,204429.562376279,178368.4183633,29109.7977286581,NA,NA,NA,NA,NA,NA,204429.562376279,178368.4183633,29109.7977286581,NA,NA,NA,NA,NA,NA,204429.562376279,178368.4183633,29109.7977286581,NA,NA,NA,NA,NA,NA,204429.562376279,178368.4183633,29109.7977286581,NA,NA,NA
"fruit_and_vegetable",12,NA,NA,NA,205084.749009094,179300.269825678,29306.4790469862,NA,NA,NA,NA,NA,NA,205084.749009094,179300.269825678,29306.4790469862,NA,NA,NA,NA,NA,NA,205084.749009094,179300.269825678,29306.4790469862,NA,NA,NA,NA,NA,NA,205084.749009094,179300.269825678,29306.4790469862,NA,NA,NA
"fruit_and_vegetable",13,NA,NA,NA,203964.866784574,177408.852393103,29001.3305283845,NA,NA,NA,NA,NA,NA,203964.866784574,177408.852393103,29001.3305283845,NA,NA,NA,NA,NA,NA,203964.866784574,177408.852393103,29001.3305283845,NA,NA,NA,NA,NA,NA,203964.866784574,177408.852393103,29001.3305283845,NA,NA,NA
