"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"grassbased_feed",1,NA,NA,NA,3871503.23341788,3731027.91237712,671066.774900781,NA,NA,NA,NA,NA,NA,3871503.23341788,3731027.91237712,671066.774900781,NA,NA,NA,NA,NA,NA,3871503.23341788,3731027.91237712,671066.774900781,NA,NA,NA,NA,NA,NA,3871503.23341788,3731027.91237712,671066.774900781,NA,NA,NA
"grassbased_feed",2,NA,NA,NA,3819106.48449782,3863086.1430303,589902.896936074,NA,NA,NA,NA,NA,NA,3819106.48449782,3863086.1430303,589902.896936074,NA,NA,NA,NA,NA,NA,3819106.48449782,3863086.1430303,589902.896936074,NA,NA,NA,NA,NA,NA,3819106.48449782,3863086.1430303,589902.896936074,NA,NA,NA
"grassbased_feed",3,NA,NA,NA,3684765.04887364,3922331.52047977,662673.552760648,NA,NA,NA,NA,NA,NA,3684765.04887364,3922331.52047977,662673.552760648,NA,NA,NA,NA,NA,NA,3684765.04887364,3922331.52047977,662673.552760648,NA,NA,NA,NA,NA,NA,3684765.04887364,3922331.52047977,662673.552760648,NA,NA,NA
"grassbased_feed",4,NA,NA,NA,3618571.32428011,4087098.87780414,659852.035041245,NA,NA,NA,NA,NA,NA,3618571.32428011,4087098.87780414,659852.035041245,NA,NA,NA,NA,NA,NA,3618571.32428011,4087098.87780414,659852.035041245,NA,NA,NA,NA,NA,NA,3618571.32428011,4087098.87780414,659852.035041245,NA,NA,NA
"grassbased_feed",5,NA,NA,NA,3599232.37188346,3785190.84574474,599845.775242415,NA,NA,NA,NA,NA,NA,3599232.37188346,3785190.84574474,599845.775242415,NA,NA,NA,NA,NA,NA,3599232.37188346,3785190.84574474,599845.775242415,NA,NA,NA,NA,NA,NA,3599232.37188346,3785190.84574474,599845.775242415,NA,NA,NA
"grassbased_feed",6,NA,NA,NA,3502191.07880798,4130908.81421759,684047.629523136,NA,NA,NA,NA,NA,NA,3502191.07880798,4130908.81421759,684047.629523136,NA,NA,NA,NA,NA,NA,3502191.07880798,4130908.81421759,684047.629523136,NA,NA,NA,NA,NA,NA,3502191.07880798,4130908.81421759,684047.629523136,NA,NA,NA
"grassbased_feed",7,NA,NA,NA,3730895.62894214,4105176.89201317,656167.621591757,NA,NA,NA,NA,NA,NA,3730895.62894214,4105176.89201317,656167.621591757,NA,NA,NA,NA,NA,NA,3730895.62894214,4105176.89201317,656167.621591757,NA,NA,NA,NA,NA,NA,3730895.62894214,4105176.89201317,656167.621591757,NA,NA,NA
"grassbased_feed",8,NA,NA,NA,3591506.36617468,4349659.56028585,762106.938702964,NA,NA,NA,NA,NA,NA,3591506.36617468,4349659.56028585,762106.938702964,NA,NA,NA,NA,NA,NA,3591506.36617468,4349659.56028585,762106.938702964,NA,NA,NA,NA,NA,NA,3591506.36617468,4349659.56028585,762106.938702964,NA,NA,NA
"grassbased_feed",9,NA,NA,NA,4081918.30188163,4238539.21556244,663996.492778358,NA,NA,NA,NA,NA,NA,4081918.30188163,4238539.21556244,663996.492778358,NA,NA,NA,NA,NA,NA,4081918.30188163,4238539.21556244,663996.492778358,NA,NA,NA,NA,NA,NA,4081918.30188163,4238539.21556244,663996.492778358,NA,NA,NA
"grassbased_feed",10,NA,NA,NA,3622872.08688718,3619021.11044688,662221.795456663,NA,NA,NA,NA,NA,NA,3622872.08688718,3619021.11044688,662221.795456663,NA,NA,NA,NA,NA,NA,3622872.08688718,3619021.11044688,662221.795456663,NA,NA,NA,NA,NA,NA,3622872.08688718,3619021.11044688,662221.795456663,NA,NA,NA
