"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"import_OFMSW",1,NA,NA,NA,87178.3863486005,203257.109264362,17717.9352657619,NA,NA,NA,NA,NA,NA,87178.3863486005,203257.109264362,17717.9352657619,NA,NA,NA,NA,NA,NA,87178.3863486005,203257.109264362,17717.9352657619,NA,NA,NA,NA,NA,NA,87178.3863486005,203257.109264362,17717.9352657619,NA,NA,NA
"import_OFMSW",2,NA,NA,NA,87399.9359920177,183060.899980048,29556.2681318496,NA,NA,NA,NA,NA,NA,87399.9359920177,183060.899980048,29556.2681318496,NA,NA,NA,NA,NA,NA,87399.9359920177,183060.899980048,29556.2681318496,NA,NA,NA,NA,NA,NA,87399.9359920177,183060.899980048,29556.2681318496,NA,NA,NA
"import_OFMSW",3,NA,NA,NA,101906.632945924,184732.994016816,23945.0695250319,NA,NA,NA,NA,NA,NA,101906.632945924,184732.994016816,23945.0695250319,NA,NA,NA,NA,NA,NA,101906.632945924,184732.994016816,23945.0695250319,NA,NA,NA,NA,NA,NA,101906.632945924,184732.994016816,23945.0695250319,NA,NA,NA
"import_OFMSW",4,NA,NA,NA,113860.725941032,180738.055790431,21344.2588297578,NA,NA,NA,NA,NA,NA,113860.725941032,180738.055790431,21344.2588297578,NA,NA,NA,NA,NA,NA,113860.725941032,180738.055790431,21344.2588297578,NA,NA,NA,NA,NA,NA,113860.725941032,180738.055790431,21344.2588297578,NA,NA,NA
"import_OFMSW",5,NA,NA,NA,75618.5391173004,151458.004213844,23946.6614959768,NA,NA,NA,NA,NA,NA,75618.5391173004,151458.004213844,23946.6614959768,NA,NA,NA,NA,NA,NA,75618.5391173004,151458.004213844,23946.6614959768,NA,NA,NA,NA,NA,NA,75618.5391173004,151458.004213844,23946.6614959768,NA,NA,NA
"import_OFMSW",6,NA,NA,NA,94551.1873093814,165808.002982821,28303.6901973003,NA,NA,NA,NA,NA,NA,94551.1873093814,165808.002982821,28303.6901973003,NA,NA,NA,NA,NA,NA,94551.1873093814,165808.002982821,28303.6901973003,NA,NA,NA,NA,NA,NA,94551.1873093814,165808.002982821,28303.6901973003,NA,NA,NA
"import_OFMSW",7,NA,NA,NA,111471.065737695,212852.32581458,28130.3412325336,NA,NA,NA,NA,NA,NA,111471.065737695,212852.32581458,28130.3412325336,NA,NA,NA,NA,NA,NA,111471.065737695,212852.32581458,28130.3412325336,NA,NA,NA,NA,NA,NA,111471.065737695,212852.32581458,28130.3412325336,NA,NA,NA
"import_OFMSW",8,NA,NA,NA,93799.0160424928,169672.047871954,27967.2969361483,NA,NA,NA,NA,NA,NA,93799.0160424928,169672.047871954,27967.2969361483,NA,NA,NA,NA,NA,NA,93799.0160424928,169672.047871954,27967.2969361483,NA,NA,NA,NA,NA,NA,93799.0160424928,169672.047871954,27967.2969361483,NA,NA,NA
"import_OFMSW",9,NA,NA,NA,84955.8518449062,144729.339300258,22712.1678039926,NA,NA,NA,NA,NA,NA,84955.8518449062,144729.339300258,22712.1678039926,NA,NA,NA,NA,NA,NA,84955.8518449062,144729.339300258,22712.1678039926,NA,NA,NA,NA,NA,NA,84955.8518449062,144729.339300258,22712.1678039926,NA,NA,NA
"import_OFMSW",10,NA,NA,NA,93921.7310373721,192656.319584675,26879.6525899244,NA,NA,NA,NA,NA,NA,93921.7310373721,192656.319584675,26879.6525899244,NA,NA,NA,NA,NA,NA,93921.7310373721,192656.319584675,26879.6525899244,NA,NA,NA,NA,NA,NA,93921.7310373721,192656.319584675,26879.6525899244,NA,NA,NA
"import_OFMSW",11,NA,NA,NA,110257.469887534,204758.708721834,26079.2303735236,NA,NA,NA,NA,NA,NA,110257.469887534,204758.708721834,26079.2303735236,NA,NA,NA,NA,NA,NA,110257.469887534,204758.708721834,26079.2303735236,NA,NA,NA,NA,NA,NA,110257.469887534,204758.708721834,26079.2303735236,NA,NA,NA
"import_OFMSW",12,NA,NA,NA,100202.051017131,207910.771006085,36661.3716612538,NA,NA,NA,NA,NA,NA,100202.051017131,207910.771006085,36661.3716612538,NA,NA,NA,NA,NA,NA,100202.051017131,207910.771006085,36661.3716612538,NA,NA,NA,NA,NA,NA,100202.051017131,207910.771006085,36661.3716612538,NA,NA,NA
"import_OFMSW",13,NA,NA,NA,88190.1910901389,177760.019663539,28038.664778943,NA,NA,NA,NA,NA,NA,88190.1910901389,177760.019663539,28038.664778943,NA,NA,NA,NA,NA,NA,88190.1910901389,177760.019663539,28038.664778943,NA,NA,NA,NA,NA,NA,88190.1910901389,177760.019663539,28038.664778943,NA,NA,NA
"import_OFMSW",14,NA,NA,NA,97900.6915733661,196371.373774994,25682.0612824329,NA,NA,NA,NA,NA,NA,97900.6915733661,196371.373774994,25682.0612824329,NA,NA,NA,NA,NA,NA,97900.6915733661,196371.373774994,25682.0612824329,NA,NA,NA,NA,NA,NA,97900.6915733661,196371.373774994,25682.0612824329,NA,NA,NA
"import_OFMSW",15,NA,NA,NA,113138.232435691,225103.098954892,24988.1061521189,NA,NA,NA,NA,NA,NA,113138.232435691,225103.098954892,24988.1061521189,NA,NA,NA,NA,NA,NA,113138.232435691,225103.098954892,24988.1061521189,NA,NA,NA,NA,NA,NA,113138.232435691,225103.098954892,24988.1061521189,NA,NA,NA
"import_OFMSW",16,NA,NA,NA,95894.2511959678,173720.617523067,36045.4843776482,NA,NA,NA,NA,NA,NA,95894.2511959678,173720.617523067,36045.4843776482,NA,NA,NA,NA,NA,NA,95894.2511959678,173720.617523067,36045.4843776482,NA,NA,NA,NA,NA,NA,95894.2511959678,173720.617523067,36045.4843776482,NA,NA,NA
"import_OFMSW",17,NA,NA,NA,91858.5119655916,157519.753858481,15068.4449300236,NA,NA,NA,NA,NA,NA,91858.5119655916,157519.753858481,15068.4449300236,NA,NA,NA,NA,NA,NA,91858.5119655916,157519.753858481,15068.4449300236,NA,NA,NA,NA,NA,NA,91858.5119655916,157519.753858481,15068.4449300236,NA,NA,NA
"import_OFMSW",18,NA,NA,NA,106773.507026427,218670.38148527,26803.1065517754,NA,NA,NA,NA,NA,NA,106773.507026427,218670.38148527,26803.1065517754,NA,NA,NA,NA,NA,NA,106773.507026427,218670.38148527,26803.1065517754,NA,NA,NA,NA,NA,NA,106773.507026427,218670.38148527,26803.1065517754,NA,NA,NA
"import_OFMSW",19,NA,NA,NA,98103.1188565152,198293.063844761,36414.9119823179,NA,NA,NA,NA,NA,NA,98103.1188565152,198293.063844761,36414.9119823179,NA,NA,NA,NA,NA,NA,98103.1188565152,198293.063844761,36414.9119823179,NA,NA,NA,NA,NA,NA,98103.1188565152,198293.063844761,36414.9119823179,NA,NA,NA
