"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"import_animal_products",1,NA,NA,NA,16719.9171097169,123659.145930858,17401.8122353838,NA,NA,NA,NA,NA,NA,16719.9171097169,123659.145930858,17401.8122353838,NA,NA,NA,NA,NA,NA,26876.8923312561,210119.024439251,17401.8122353838,NA,NA,NA,NA,NA,NA,16719.9171097169,123659.145930858,17401.8122353838,NA,NA,NA
"import_animal_products",2,NA,NA,NA,17285.5425522957,118404.928128023,16748.2179140567,NA,NA,NA,NA,NA,NA,17285.5425522957,118404.928128023,16748.2179140567,NA,NA,NA,NA,NA,NA,54433.1201617107,466072.249195874,16748.2179140567,NA,NA,NA,NA,NA,NA,17285.5425522957,118404.928128023,16748.2179140567,NA,NA,NA
"import_animal_products",3,NA,NA,NA,14633.1036386412,112334.257976548,15860.3261350635,NA,NA,NA,NA,NA,NA,14633.1036386412,112334.257976548,15860.3261350635,NA,NA,NA,NA,NA,NA,17580.1422460303,112334.257976548,15860.3261350635,NA,NA,NA,NA,NA,NA,14633.1036386412,112334.257976548,15860.3261350635,NA,NA,NA
"import_animal_products",4,NA,NA,NA,17506.4794331746,117191.62216467,16610.0462927966,NA,NA,NA,NA,NA,NA,54575.6657522864,310937.494111999,16610.0462927966,NA,NA,NA,NA,NA,NA,35141.7915513195,117191.62216467,16610.0462927966,NA,NA,NA,NA,NA,NA,54575.6657522864,310937.494111999,16610.0462927966,NA,NA,NA
"import_animal_products",5,NA,NA,NA,17416.2306921756,126106.776037045,17441.6582632701,NA,NA,NA,NA,NA,NA,17416.2306921756,126106.776037045,17441.6582632701,NA,NA,NA,NA,NA,NA,30293.8641589096,126106.776037045,17441.6582632701,NA,NA,NA,NA,NA,NA,17416.2306921756,126106.776037045,17441.6582632701,NA,NA,NA
"import_animal_products",6,NA,NA,NA,17473.1713072843,125453.212067504,17619.1198647129,NA,NA,NA,NA,NA,NA,17473.1713072843,125453.212067504,17619.1198647129,NA,NA,NA,NA,NA,NA,20645.7637605593,125453.212067504,17619.1198647129,NA,NA,NA,NA,NA,NA,17473.1713072843,125453.212067504,17619.1198647129,NA,NA,NA
"import_animal_products",7,NA,NA,NA,19215.197368775,122090.073765249,16884.5791031273,NA,NA,NA,NA,NA,NA,19215.197368775,122090.073765249,16884.5791031273,NA,NA,NA,NA,NA,NA,19215.197368775,122090.073765249,16884.5791031273,NA,NA,NA,NA,NA,NA,19215.197368775,122090.073765249,16884.5791031273,NA,NA,NA
"import_animal_products",8,NA,NA,NA,17563.2443029482,126686.776461212,17491.7222976716,NA,NA,NA,NA,NA,NA,17563.2443029482,126686.776461212,17491.7222976716,NA,NA,NA,NA,NA,NA,17563.2443029482,126686.776461212,17491.7222976716,NA,NA,NA,NA,NA,NA,17563.2443029482,126686.776461212,17491.7222976716,NA,NA,NA
"import_animal_products",9,NA,NA,NA,19368.8990524433,133873.777613534,18923.7490143001,NA,NA,NA,NA,NA,NA,19368.8990524433,133873.777613534,18923.7490143001,NA,NA,NA,NA,NA,NA,27041.1031878958,133873.777613534,18923.7490143001,NA,NA,NA,NA,NA,NA,19368.8990524433,133873.777613534,18923.7490143001,NA,NA,NA
"import_animal_products",10,NA,NA,NA,15836.3795430593,117932.031436026,16525.8038335159,NA,NA,NA,NA,NA,NA,15836.3795430593,117932.031436026,16525.8038335159,NA,NA,NA,NA,NA,NA,30964.4099154466,117932.031436026,16525.8038335159,NA,NA,NA,NA,NA,NA,15836.3795430593,117932.031436026,16525.8038335159,NA,NA,NA
