"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"import_inorganic_fertilizer",1,NA,NA,NA,379594.040407034,5598934.13543274,327090.941852958,NA,NA,NA,NA,NA,NA,-897449.744179896,3845896.02808297,316513.928184035,NA,NA,NA,NA,NA,NA,410037.587077463,6209119.2184268,550487.026863741,NA,NA,NA,NA,NA,NA,-998643.361113138,4088486.38788438,109139.199034161,NA,NA,NA
"import_inorganic_fertilizer",2,NA,NA,NA,379589.980944555,6012698.96708941,282278.684541765,NA,NA,NA,NA,NA,NA,538386.413676034,5459206.64622029,519194.354355354,NA,NA,NA,NA,NA,NA,3582224.47888384,9869399.12141809,1184449.85870017,NA,NA,NA,NA,NA,NA,103190.381636305,6062603.52696132,-73004.0376393685,NA,NA,NA
"import_inorganic_fertilizer",3,NA,NA,NA,379067.061696377,6248033.69263723,306216.713013445,NA,NA,NA,NA,NA,NA,741039.177318146,7808609.95209757,609020.831121457,NA,NA,NA,NA,NA,NA,1450906.84934905,9413401.27625085,752372.013452073,NA,NA,NA,NA,NA,NA,611061.010288874,8064176.9086373,327512.438589536,NA,NA,NA
"import_inorganic_fertilizer",4,NA,NA,NA,385687.270772388,6067551.36320833,291902.120088333,NA,NA,NA,NA,NA,NA,1897982.40565105,8197367.11990683,585004.411879087,NA,NA,NA,NA,NA,NA,383814.841046408,6434865.6867923,383144.349548986,NA,NA,NA,NA,NA,NA,1519444.10831867,7751797.30729453,320541.252841281,NA,NA,NA
"import_inorganic_fertilizer",5,NA,NA,NA,422320.29836954,6440653.60405416,265200.411917689,NA,NA,NA,NA,NA,NA,-721879.055883577,5251086.32595296,370740.894338137,NA,NA,NA,NA,NA,NA,850039.460359849,7974068.26735176,656813.331618557,NA,NA,NA,NA,NA,NA,-986620.535533868,5480601.35054233,-58187.303052275,NA,NA,NA
"import_inorganic_fertilizer",6,NA,NA,NA,402921.442911914,6021137.0606207,308582.348072423,NA,NA,NA,NA,NA,NA,647470.692700947,6774270.11060455,613879.028341371,NA,NA,NA,NA,NA,NA,1926026.97488701,9087718.00707417,870743.323334415,NA,NA,NA,NA,NA,NA,416731.651002762,7248142.42108096,271973.41395899,NA,NA,NA
"import_inorganic_fertilizer",7,NA,NA,NA,378285.399923976,6087755.11004314,267421.752734044,NA,NA,NA,NA,NA,NA,-1894771.51680926,3028792.8528653,-99104.4416003606,NA,NA,NA,NA,NA,NA,-572958.344160571,4696164.41481462,3179.60419091349,NA,NA,NA,NA,NA,NA,-1970219.30002137,3574090.85078664,-269277.106566739,NA,NA,NA
"import_inorganic_fertilizer",8,NA,NA,NA,396734.457906294,5732187.06159937,296539.331950177,NA,NA,NA,NA,NA,NA,-583207.965103144,5245489.91620527,233306.759875305,NA,NA,NA,NA,NA,NA,452605.621143429,6403869.47164638,431921.964470586,NA,NA,NA,NA,NA,NA,-717551.135727227,5396645.6421861,-17825.4785395898,NA,NA,NA
"import_inorganic_fertilizer",9,NA,NA,NA,378002.168484655,5854451.03863048,341477.841225075,NA,NA,NA,NA,NA,NA,-436919.845018437,4431977.50076031,532869.008773966,NA,NA,NA,NA,NA,NA,1390924.84210491,7751967.70603313,819175.044553211,NA,NA,NA,NA,NA,NA,-545398.001342927,4872333.14685796,335004.155469998,NA,NA,NA
"import_inorganic_fertilizer",10,NA,NA,NA,391701.880090855,6216498.32575537,318331.61131037,NA,NA,NA,NA,NA,NA,520373.093910686,5792734.90147992,393990.817907956,NA,NA,NA,NA,NA,NA,1794477.78813542,7834664.84382351,759814.609109283,NA,NA,NA,NA,NA,NA,296601.463930505,6157512.88744779,141733.430797769,NA,NA,NA
