"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"import_meat",1,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,10156.9752215392,86459.8785083928,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"import_meat",2,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,37147.577609415,347667.32106785,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"import_meat",3,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,2947.03860738908,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"import_meat",4,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,37069.1863191118,193745.871947329,0,NA,NA,NA,NA,NA,NA,17635.3121181449,0,0,NA,NA,NA,NA,NA,NA,37069.1863191118,193745.871947329,0,NA,NA,NA
"import_meat",5,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,12877.6334667341,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"import_meat",6,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,3172.59245327498,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"import_meat",7,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"import_meat",8,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"import_meat",9,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,7672.20413545254,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"import_meat",10,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,15128.0303723872,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"import_meat",11,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,26207.5118678715,88461.4964827995,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"import_meat",12,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,711.174725006,0,0,NA,NA,NA,NA,NA,NA,2879.71942673184,0,0,NA,NA,NA,NA,NA,NA,711.174725006,0,0,NA,NA,NA
"import_meat",13,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,28269.7926663072,130704.253272376,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"import_meat",14,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,4006.42102697253,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
