"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"import_organic_fertilizer",1,NA,NA,NA,3983296.03381797,4780705.99394852,976318.045534608,NA,NA,NA,NA,NA,NA,2791340.52551216,3350134.72967428,684166.103436066,NA,NA,NA,NA,NA,NA,2074563.18026176,2489866.82046728,508481.782999656,NA,NA,NA,NA,NA,NA,2791340.52551216,3350134.72967428,684166.103436066,NA,NA,NA
"import_organic_fertilizer",2,NA,NA,NA,4124404.90673887,4544882.4941313,995930.068830798,NA,NA,NA,NA,NA,NA,3087242.87666161,3401983.17637179,745484.03470941,NA,NA,NA,NA,NA,NA,1279940.18923062,1410428.38690853,309070.265792034,NA,NA,NA,NA,NA,NA,3087242.87666161,3401983.17637179,745484.03470941,NA,NA,NA
"import_organic_fertilizer",3,NA,NA,NA,3851538.42588079,4844570.18632752,942140.562558703,NA,NA,NA,NA,NA,NA,2501165.55556984,3146034.32232718,611820.333335538,NA,NA,NA,NA,NA,NA,1978002.25475819,2487985.23922263,483847.219209321,NA,NA,NA,NA,NA,NA,2501165.55556984,3146034.32232718,611820.333335538,NA,NA,NA
"import_organic_fertilizer",4,NA,NA,NA,4300384.02897921,4310353.81823007,959080.743346146,NA,NA,NA,NA,NA,NA,1854427.96222179,1858727.17267362,413578.44706528,NA,NA,NA,NA,NA,NA,2490911.61625854,2496686.41769238,555528.37803136,NA,NA,NA,NA,NA,NA,1854427.96222179,1858727.17267362,413578.44706528,NA,NA,NA
"import_organic_fertilizer",5,NA,NA,NA,3774110.72364629,4499131.24822883,1008003.57728929,NA,NA,NA,NA,NA,NA,2716342.92302855,3238162.37010019,725491.005444555,NA,NA,NA,NA,NA,NA,1765049.89573317,2104122.46011264,471416.113429285,NA,NA,NA,NA,NA,NA,2716342.92302855,3238162.37010019,725491.005444555,NA,NA,NA
"import_organic_fertilizer",6,NA,NA,NA,3969799.21443116,4629487.80878941,936706.637132719,NA,NA,NA,NA,NA,NA,2696826.6794663,3144976.75086983,636338.341916533,NA,NA,NA,NA,NA,NA,1803458.04352327,2103150.95932391,425540.695614426,NA,NA,NA,NA,NA,NA,2696826.6794663,3144976.75086983,636338.341916533,NA,NA,NA
"import_organic_fertilizer",7,NA,NA,NA,4209597.92619777,4553427.0327855,1029097.72667367,NA,NA,NA,NA,NA,NA,3026402.61514367,3273591.37891226,739848.343201908,NA,NA,NA,NA,NA,NA,2501076.50579536,2705357.98720323,611424.699336004,NA,NA,NA,NA,NA,NA,3026402.61514367,3273591.37891226,739848.343201908,NA,NA,NA
"import_organic_fertilizer",8,NA,NA,NA,3653779.18158171,4483171.35495145,993139.993433075,NA,NA,NA,NA,NA,NA,2752118.6625625,3376837.77268837,748058.099471998,NA,NA,NA,NA,NA,NA,2260421.07151019,2773526.94136712,614408.932929494,NA,NA,NA,NA,NA,NA,2752118.6625625,3376837.77268837,748058.099471998,NA,NA,NA
"import_organic_fertilizer",9,NA,NA,NA,4163333.63017431,4483116.70764118,980664.568138113,NA,NA,NA,NA,NA,NA,3250216.05013183,3499863.1318383,765581.623355189,NA,NA,NA,NA,NA,NA,2140954.4216611,2305399.80473419,504297.356355216,NA,NA,NA,NA,NA,NA,3250216.05013183,3499863.1318383,765581.623355189,NA,NA,NA
"import_organic_fertilizer",10,NA,NA,NA,4174572.89659077,4459879.95667043,1013039.31962584,NA,NA,NA,NA,NA,NA,2361445.27538215,2522835.91958637,573049.500958636,NA,NA,NA,NA,NA,NA,1732096.8879047,1850475.338372,420326.173794209,NA,NA,NA,NA,NA,NA,2361445.27538215,2522835.91958637,573049.500958636,NA,NA,NA
"import_organic_fertilizer",11,NA,NA,NA,4342362.63924035,4813345.67981477,953971.085411446,NA,NA,NA,NA,NA,NA,3193685.7195828,3540080.51334221,701618.930865347,NA,NA,NA,NA,NA,NA,2017228.12992043,2236021.51893328,443163.657321661,NA,NA,NA,NA,NA,NA,3193685.7195828,3540080.51334221,701618.930865347,NA,NA,NA
"import_organic_fertilizer",12,NA,NA,NA,4059863.00297788,4705782.42161293,968082.650308913,NA,NA,NA,NA,NA,NA,2284633.21610913,2648115.66801974,544775.470800969,NA,NA,NA,NA,NA,NA,2232826.07117473,2588066.06738853,532421.95095652,NA,NA,NA,NA,NA,NA,2284633.21610913,2648115.66801974,544775.470800969,NA,NA,NA
"import_organic_fertilizer",13,NA,NA,NA,4153538.51906422,4425589.80584048,1036312.18724924,NA,NA,NA,NA,NA,NA,2574100.7585989,2742700.95827306,642240.820712205,NA,NA,NA,NA,NA,NA,1773066.66015954,1889200.18443589,442381.978714049,NA,NA,NA,NA,NA,NA,2574100.7585989,2742700.95827306,642240.820712205,NA,NA,NA
"import_organic_fertilizer",14,NA,NA,NA,3921475.92590632,4723162.27414941,992081.839974172,NA,NA,NA,NA,NA,NA,2383053.31017,2870232.45955042,602881.149184562,NA,NA,NA,NA,NA,NA,2116861.6955988,2549622.00180623,535538.171244831,NA,NA,NA,NA,NA,NA,2383053.31017,2870232.45955042,602881.149184562,NA,NA,NA
"import_organic_fertilizer",15,NA,NA,NA,3830570.60893871,4392325.43202069,957637.00764344,NA,NA,NA,NA,NA,NA,2080826.2647137,2385980.32909014,520203.499947594,NA,NA,NA,NA,NA,NA,2536498.61661424,2908477.22687632,634120.916460321,NA,NA,NA,NA,NA,NA,2080826.2647137,2385980.32909014,520203.499947594,NA,NA,NA
"import_organic_fertilizer",16,NA,NA,NA,3583359.67712066,4566260.00752459,1029185.94693038,NA,NA,NA,NA,NA,NA,2554450.82889004,3255125.8350156,733670.390947409,NA,NA,NA,NA,NA,NA,1888024.56289535,2405901.67652401,542264.389477262,NA,NA,NA,NA,NA,NA,2554450.82889004,3255125.8350156,733670.390947409,NA,NA,NA
"import_organic_fertilizer",17,NA,NA,NA,3841507.5959855,4533647.67492817,1049573.09865185,NA,NA,NA,NA,NA,NA,2980977.5463391,3518072.41930138,814459.88642385,NA,NA,NA,NA,NA,NA,2311002.36007406,2727385.07336347,631409.895060327,NA,NA,NA,NA,NA,NA,2980977.5463391,3518072.41930138,814459.88642385,NA,NA,NA
