"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"import_organic_nonanimal",1,NA,NA,NA,1549059.56870699,1859163.44209109,379679.239930126,NA,NA,NA,NA,NA,NA,1549059.56870699,1859163.44209109,379679.239930126,NA,NA,NA,NA,NA,NA,1549059.56870699,1859163.44209109,379679.239930126,NA,NA,NA,NA,NA,NA,1549059.56870699,1859163.44209109,379679.239930126,NA,NA,NA
"import_organic_nonanimal",2,NA,NA,NA,1603935.24150956,1767454.30327328,387306.137878644,NA,NA,NA,NA,NA,NA,1603935.24150956,1767454.30327328,387306.137878644,NA,NA,NA,NA,NA,NA,1603935.24150956,1767454.30327328,387306.137878644,NA,NA,NA,NA,NA,NA,1603935.24150956,1767454.30327328,387306.137878644,NA,NA,NA
"import_organic_nonanimal",3,NA,NA,NA,1497820.49895364,1883999.51690515,366387.996550607,NA,NA,NA,NA,NA,NA,1497820.49895364,1883999.51690515,366387.996550607,NA,NA,NA,NA,NA,NA,1497820.49895364,1883999.51690515,366387.996550607,NA,NA,NA,NA,NA,NA,1497820.49895364,1883999.51690515,366387.996550607,NA,NA,NA
"import_organic_nonanimal",4,NA,NA,NA,1672371.56682525,1676248.70708947,372975.844634612,NA,NA,NA,NA,NA,NA,1672371.56682525,1676248.70708947,372975.844634612,NA,NA,NA,NA,NA,NA,1672371.56682525,1676248.70708947,372975.844634612,NA,NA,NA,NA,NA,NA,1672371.56682525,1676248.70708947,372975.844634612,NA,NA,NA
"import_organic_nonanimal",5,NA,NA,NA,1467709.72586245,1749662.15208899,392001.391168057,NA,NA,NA,NA,NA,NA,1467709.72586245,1749662.15208899,392001.391168057,NA,NA,NA,NA,NA,NA,1467709.72586245,1749662.15208899,392001.391168057,NA,NA,NA,NA,NA,NA,1467709.72586245,1749662.15208899,392001.391168057,NA,NA,NA
"import_organic_nonanimal",6,NA,NA,NA,1543810.80561212,1800356.37008477,364274.803329391,NA,NA,NA,NA,NA,NA,1543810.80561212,1800356.37008477,364274.803329391,NA,NA,NA,NA,NA,NA,1543810.80561212,1800356.37008477,364274.803329391,NA,NA,NA,NA,NA,NA,1543810.80561212,1800356.37008477,364274.803329391,NA,NA,NA
"import_organic_nonanimal",7,NA,NA,NA,1637065.86018802,1770777.17941658,400204.671484206,NA,NA,NA,NA,NA,NA,1637065.86018802,1770777.17941658,400204.671484206,NA,NA,NA,NA,NA,NA,1637065.86018802,1770777.17941658,400204.671484206,NA,NA,NA,NA,NA,NA,1637065.86018802,1770777.17941658,400204.671484206,NA,NA,NA
"import_organic_nonanimal",8,NA,NA,NA,1420914.12617066,1743455.52692556,386221.108557307,NA,NA,NA,NA,NA,NA,1420914.12617066,1743455.52692556,386221.108557307,NA,NA,NA,NA,NA,NA,1420914.12617066,1743455.52692556,386221.108557307,NA,NA,NA,NA,NA,NA,1420914.12617066,1743455.52692556,386221.108557307,NA,NA,NA
"import_organic_nonanimal",9,NA,NA,NA,1619074.18951223,1743434.27519379,381369.554275933,NA,NA,NA,NA,NA,NA,1619074.18951223,1743434.27519379,381369.554275933,NA,NA,NA,NA,NA,NA,1619074.18951223,1743434.27519379,381369.554275933,NA,NA,NA,NA,NA,NA,1619074.18951223,1743434.27519379,381369.554275933,NA,NA,NA
"import_organic_nonanimal",10,NA,NA,NA,1623445.01534086,1734397.76092739,393959.735410049,NA,NA,NA,NA,NA,NA,1623445.01534086,1734397.76092739,393959.735410049,NA,NA,NA,NA,NA,NA,1623445.01534086,1734397.76092739,393959.735410049,NA,NA,NA,NA,NA,NA,1623445.01534086,1734397.76092739,393959.735410049,NA,NA,NA
