"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"imported_vegetal_products",1,NA,NA,NA,88009.8796392164,195748.101440695,18229.0617075748,NA,NA,NA,NA,NA,NA,88009.8796392164,195748.101440695,18229.0617075748,NA,NA,NA,NA,NA,NA,88009.8796392164,195748.101440695,18229.0617075748,NA,NA,NA,NA,NA,NA,88009.8796392164,766755.591174557,18229.0617075748,NA,NA,NA
"imported_vegetal_products",2,NA,NA,NA,90768.8127295072,202236.356096841,19941.0885033158,NA,NA,NA,NA,NA,NA,90768.8127295072,202236.356096841,19941.0885033158,NA,NA,NA,NA,NA,NA,90768.8127295072,202236.356096841,19941.0885033158,NA,NA,NA,NA,NA,NA,90768.8127295072,761843.011469076,19941.0885033158,NA,NA,NA
"imported_vegetal_products",3,NA,NA,NA,87419.6606325591,200852.5203042,19131.9431115299,NA,NA,NA,NA,NA,NA,87419.6606325591,200852.5203042,19131.9431115299,NA,NA,NA,NA,NA,NA,87419.6606325591,200852.5203042,19131.9431115299,NA,NA,NA,NA,NA,NA,87419.6606325591,739119.128390574,19131.9431115299,NA,NA,NA
"imported_vegetal_products",4,NA,NA,NA,85391.1592919274,201273.718974102,20684.1157309775,NA,NA,NA,NA,NA,NA,85391.1592919274,201273.718974102,20684.1157309775,NA,NA,NA,NA,NA,NA,85391.1592919274,201273.718974102,20684.1157309775,NA,NA,NA,NA,NA,NA,85391.1592919274,201273.718974102,20684.1157309775,NA,NA,NA
"imported_vegetal_products",5,NA,NA,NA,93597.1634920045,211511.016765085,20833.7988756845,NA,NA,NA,NA,NA,NA,93597.1634920045,211511.016765085,20833.7988756845,NA,NA,NA,NA,NA,NA,93597.1634920045,211511.016765085,20833.7988756845,NA,NA,NA,NA,NA,NA,93597.1634920045,581128.56002421,20833.7988756845,NA,NA,NA
"imported_vegetal_products",6,NA,NA,NA,88870.3750220162,199430.888144147,18727.4618627618,NA,NA,NA,NA,NA,NA,88870.3750220162,199430.888144147,18727.4618627618,NA,NA,NA,NA,NA,NA,88870.3750220162,199430.888144147,18727.4618627618,NA,NA,NA,NA,NA,NA,88870.3750220162,706254.284242679,18727.4618627618,NA,NA,NA
"imported_vegetal_products",7,NA,NA,NA,88928.6645915311,197873.041960769,19904.2291548092,NA,NA,NA,NA,NA,NA,88928.6645915311,197873.041960769,19904.2291548092,NA,NA,NA,NA,NA,NA,88928.6645915311,197873.041960769,19904.2291548092,NA,NA,NA,NA,NA,NA,336727.724072896,697068.327153681,19904.2291548092,NA,NA,NA
"imported_vegetal_products",8,NA,NA,NA,93406.1227153909,207262.681725126,19557.2645525721,NA,NA,NA,NA,NA,NA,93406.1227153909,207262.681725126,19557.2645525721,NA,NA,NA,NA,NA,NA,93406.1227153909,207262.681725126,19557.2645525721,NA,NA,NA,NA,NA,NA,93406.1227153909,444647.496291072,19557.2645525721,NA,NA,NA
"imported_vegetal_products",9,NA,NA,NA,91241.5951038722,197767.304916761,19394.0804377804,NA,NA,NA,NA,NA,NA,91241.5951038722,197767.304916761,19394.0804377804,NA,NA,NA,NA,NA,NA,91241.5951038722,197767.304916761,19394.0804377804,NA,NA,NA,NA,NA,NA,296577.113190224,704110.699574753,19394.0804377804,NA,NA,NA
"imported_vegetal_products",10,NA,NA,NA,97331.8671021452,209862.499602102,20821.5189652833,NA,NA,NA,NA,NA,NA,97331.8671021452,209862.499602102,20821.5189652833,NA,NA,NA,NA,NA,NA,97331.8671021452,209862.499602102,20821.5189652833,NA,NA,NA,NA,NA,NA,97331.8671021452,209862.499602102,20821.5189652833,NA,NA,NA
