"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"local_animal_products_consumed",1,NA,NA,NA,145565.991267639,1519003.94197538,134061.694389654,NA,NA,NA,NA,NA,NA,145565.991267639,1519003.94197538,134061.694389654,NA,NA,NA,NA,NA,NA,135409.0160461,1432544.06346699,134061.694389654,NA,NA,NA,NA,NA,NA,145565.991267639,1519003.94197538,134061.694389654,NA,NA,NA
"local_animal_products_consumed",2,NA,NA,NA,151422.137645147,1515975.95030888,127368.169183259,NA,NA,NA,NA,NA,NA,151422.137645147,1515975.95030888,127368.169183259,NA,NA,NA,NA,NA,NA,114274.560035732,1168308.62924103,127368.169183259,NA,NA,NA,NA,NA,NA,151422.137645147,1515975.95030888,127368.169183259,NA,NA,NA
"local_animal_products_consumed",3,NA,NA,NA,144984.559062461,1494190.20908777,123793.595889983,NA,NA,NA,NA,NA,NA,144984.559062461,1494190.20908777,123793.595889983,NA,NA,NA,NA,NA,NA,142037.520455071,1494190.20908777,123793.595889983,NA,NA,NA,NA,NA,NA,144984.559062461,1494190.20908777,123793.595889983,NA,NA,NA
"local_animal_products_consumed",4,NA,NA,NA,150326.732441819,1475916.15027167,128651.124804418,NA,NA,NA,NA,NA,NA,113257.546122707,1282170.27832434,128651.124804418,NA,NA,NA,NA,NA,NA,132691.420323674,1475916.15027167,128651.124804418,NA,NA,NA,NA,NA,NA,113257.546122707,1282170.27832434,128651.124804418,NA,NA,NA
"local_animal_products_consumed",5,NA,NA,NA,152427.032312775,1569130.1055075,135463.738585425,NA,NA,NA,NA,NA,NA,152427.032312775,1569130.1055075,135463.738585425,NA,NA,NA,NA,NA,NA,139549.398846041,1569130.1055075,135463.738585425,NA,NA,NA,NA,NA,NA,152427.032312775,1569130.1055075,135463.738585425,NA,NA,NA
"local_animal_products_consumed",6,NA,NA,NA,141606.899459797,1458949.88069188,133392.807857707,NA,NA,NA,NA,NA,NA,141606.899459797,1458949.88069188,133392.807857707,NA,NA,NA,NA,NA,NA,138434.307006522,1458949.88069188,133392.807857707,NA,NA,NA,NA,NA,NA,141606.899459797,1458949.88069188,133392.807857707,NA,NA,NA
"local_animal_products_consumed",7,NA,NA,NA,148743.133470622,1452919.59550798,132633.748810127,NA,NA,NA,NA,NA,NA,148743.133470622,1452919.59550798,132633.748810127,NA,NA,NA,NA,NA,NA,148743.133470622,1452919.59550798,132633.748810127,NA,NA,NA,NA,NA,NA,148743.133470622,1452919.59550798,132633.748810127,NA,NA,NA
"local_animal_products_consumed",8,NA,NA,NA,138326.165662943,1463040.12357752,124106.021329053,NA,NA,NA,NA,NA,NA,138326.165662943,1463040.12357752,124106.021329053,NA,NA,NA,NA,NA,NA,138326.165662943,1463040.12357752,124106.021329053,NA,NA,NA,NA,NA,NA,138326.165662943,1463040.12357752,124106.021329053,NA,NA,NA
"local_animal_products_consumed",9,NA,NA,NA,145662.086806308,1519152.5637871,126629.556591062,NA,NA,NA,NA,NA,NA,145662.086806308,1519152.5637871,126629.556591062,NA,NA,NA,NA,NA,NA,137989.882670856,1519152.5637871,126629.556591062,NA,NA,NA,NA,NA,NA,145662.086806308,1519152.5637871,126629.556591062,NA,NA,NA
"local_animal_products_consumed",10,NA,NA,NA,141084.795450069,1492944.64669498,128958.236387165,NA,NA,NA,NA,NA,NA,141084.795450069,1492944.64669498,128958.236387165,NA,NA,NA,NA,NA,NA,125956.765077681,1492944.64669498,128958.236387165,NA,NA,NA,NA,NA,NA,141084.795450069,1492944.64669498,128958.236387165,NA,NA,NA
