"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"local_vegetal_products_consumed",1,NA,NA,NA,361986.879172458,571007.489733862,62626.5554968906,NA,NA,NA,NA,NA,NA,361986.879172458,571007.489733862,62626.5554968906,NA,NA,NA,NA,NA,NA,361986.879172458,571007.489733862,62626.5554968906,NA,NA,NA,NA,NA,NA,361986.879172458,177826.625846376,62626.5554968906,NA,NA,NA
"local_vegetal_products_consumed",2,NA,NA,NA,370903.755887314,559606.655372235,63614.5140798921,NA,NA,NA,NA,NA,NA,370903.755887314,559606.655372235,63614.5140798921,NA,NA,NA,NA,NA,NA,370903.755887314,559606.655372235,63614.5140798921,NA,NA,NA,NA,NA,NA,370903.755887314,177964.941193073,63614.5140798921,NA,NA,NA
"local_vegetal_products_consumed",3,NA,NA,NA,339868.766201625,538266.608086375,59692.3393428933,NA,NA,NA,NA,NA,NA,339868.766201625,538266.608086375,59692.3393428933,NA,NA,NA,NA,NA,NA,339868.766201625,538266.608086375,59692.3393428933,NA,NA,NA,NA,NA,NA,339868.766201625,178419.378737343,59692.3393428933,NA,NA,NA
"local_vegetal_products_consumed",4,NA,NA,NA,336906.466439865,558362.609202641,61132.055378836,NA,NA,NA,NA,NA,NA,336906.466439865,558362.609202641,61132.055378836,NA,NA,NA,NA,NA,NA,336906.466439865,558362.609202641,61132.055378836,NA,NA,NA,NA,NA,NA,336906.466439865,558362.609202641,61132.055378836,NA,NA,NA
"local_vegetal_products_consumed",5,NA,NA,NA,421517.155284919,540680.619207345,63324.503878625,NA,NA,NA,NA,NA,NA,421517.155284919,540680.619207344,63324.503878625,NA,NA,NA,NA,NA,NA,421517.155284919,540680.619207344,63324.503878625,NA,NA,NA,NA,NA,NA,421517.155284919,349794.937498488,63324.503878625,NA,NA,NA
"local_vegetal_products_consumed",6,NA,NA,NA,378723.167309778,506823.396098531,55664.7550990501,NA,NA,NA,NA,NA,NA,378723.167309778,506823.396098531,55664.7550990501,NA,NA,NA,NA,NA,NA,378723.167309778,506823.396098531,55664.7550990501,NA,NA,NA,NA,NA,NA,378723.167309778,178965.305628781,55664.7550990501,NA,NA,NA
"local_vegetal_products_consumed",7,NA,NA,NA,371081.793001387,544710.892677922,62912.3146884993,NA,NA,NA,NA,NA,NA,371081.793001387,544710.892677922,62912.3146884993,NA,NA,NA,NA,NA,NA,371081.793001387,544710.892677922,62912.3146884993,NA,NA,NA,NA,NA,NA,327171.8016178,224162.712751288,62912.3146884993,NA,NA,NA
"local_vegetal_products_consumed",8,NA,NA,NA,312656.677150946,526974.324340632,58961.6470959971,NA,NA,NA,NA,NA,NA,312656.677150946,526974.324340632,58961.6470959971,NA,NA,NA,NA,NA,NA,312656.677150946,526974.324340632,58961.6470959971,NA,NA,NA,NA,NA,NA,312656.677150946,467478.149833582,58961.6470959971,NA,NA,NA
"local_vegetal_products_consumed",9,NA,NA,NA,330766.41060418,506343.394657992,60082.8387929256,NA,NA,NA,NA,NA,NA,330766.410604181,506343.394657992,60082.8387929256,NA,NA,NA,NA,NA,NA,330766.410604181,506343.394657992,60082.8387929256,NA,NA,NA,NA,NA,NA,329592.550599429,178291.771494408,60082.8387929256,NA,NA,NA
"local_vegetal_products_consumed",10,NA,NA,NA,321693.001850934,512702.372183154,59338.5198858976,NA,NA,NA,NA,NA,NA,321693.001850934,512702.372183154,59338.5198858976,NA,NA,NA,NA,NA,NA,321693.001850934,512702.372183154,59338.5198858976,NA,NA,NA,NA,NA,NA,321693.001850934,512702.372183154,59338.5198858976,NA,NA,NA
"local_vegetal_products_consumed",11,NA,NA,NA,329448.779150316,507750.111280656,58397.0087818974,NA,NA,NA,NA,NA,NA,329448.779150316,507750.111280656,58397.0087818974,NA,NA,NA,NA,NA,NA,329448.779150316,507750.111280656,58397.0087818974,NA,NA,NA,NA,NA,NA,329448.779150316,178368.4183633,58397.0087818974,NA,NA,NA
"local_vegetal_products_consumed",12,NA,NA,NA,339707.938478939,533448.555791078,60479.6877364763,NA,NA,NA,NA,NA,NA,339707.938478939,533448.555791078,60479.6877364763,NA,NA,NA,NA,NA,NA,339707.938478939,533448.555791078,60479.6877364763,NA,NA,NA,NA,NA,NA,339707.938478939,533448.555791078,60479.6877364763,NA,NA,NA
"local_vegetal_products_consumed",13,NA,NA,NA,312083.98370785,527889.673934046,59195.767996206,NA,NA,NA,NA,NA,NA,312083.983707849,527889.673934046,59195.7679962059,NA,NA,NA,NA,NA,NA,312083.983707849,527889.673934046,59195.7679962059,NA,NA,NA,NA,NA,NA,312083.98370785,527889.673934046,59195.767996206,NA,NA,NA
"local_vegetal_products_consumed",14,NA,NA,NA,356298.276534982,535244.201585359,57136.4127587406,NA,NA,NA,NA,NA,NA,356298.276534982,535244.201585359,57136.4127587406,NA,NA,NA,NA,NA,NA,356298.276534982,535244.201585359,57136.4127587406,NA,NA,NA,NA,NA,NA,347468.599990103,535244.201585359,57136.4127587406,NA,NA,NA
"local_vegetal_products_consumed",15,NA,NA,NA,365920.287117975,552568.783221062,62626.8602112771,NA,NA,NA,NA,NA,NA,365920.287117975,552568.783221062,62626.8602112771,NA,NA,NA,NA,NA,NA,365920.287117975,552568.783221062,62626.8602112771,NA,NA,NA,NA,NA,NA,248745.078979211,552568.783221062,62626.8602112771,NA,NA,NA
"local_vegetal_products_consumed",16,NA,NA,NA,340411.587545855,537970.05205425,60464.9346105994,NA,NA,NA,NA,NA,NA,340411.587545855,537970.05205425,60464.9346105994,NA,NA,NA,NA,NA,NA,340411.587545855,537970.05205425,60464.9346105994,NA,NA,NA,NA,NA,NA,340411.587545855,537970.05205425,60464.9346105994,NA,NA,NA
"local_vegetal_products_consumed",17,NA,NA,NA,343695.713026967,535995.985666036,57701.6724812724,NA,NA,NA,NA,NA,NA,343695.713026967,535995.985666036,57701.6724812724,NA,NA,NA,NA,NA,NA,343695.713026967,535995.985666036,57701.6724812724,NA,NA,NA,NA,NA,NA,343695.713026967,177312.595633955,57701.6724812724,NA,NA,NA
"local_vegetal_products_consumed",18,NA,NA,NA,369808.037773704,555139.748115502,60691.5485338183,NA,NA,NA,NA,NA,NA,369808.037773704,555139.748115502,60691.5485338183,NA,NA,NA,NA,NA,NA,369808.037773704,555139.748115502,60691.5485338183,NA,NA,NA,NA,NA,NA,272311.734242555,178573.180135414,60691.5485338183,NA,NA,NA
"local_vegetal_products_consumed",19,NA,NA,NA,310657.557902653,504488.874026525,56381.2210053311,NA,NA,NA,NA,NA,NA,310657.557902653,504488.874026525,56381.2210053311,NA,NA,NA,NA,NA,NA,310657.557902653,504488.874026525,56381.2210053311,NA,NA,NA,NA,NA,NA,310657.557902653,179352.77095304,56381.2210053311,NA,NA,NA
"local_vegetal_products_consumed",20,NA,NA,NA,354166.884583616,537424.394564842,60723.2259653205,NA,NA,NA,NA,NA,NA,354166.884583616,537424.394564842,60723.2259653205,NA,NA,NA,NA,NA,NA,354166.884583616,537424.394564842,60723.2259653205,NA,NA,NA,NA,NA,NA,354166.884583616,178036.10795308,60723.2259653205,NA,NA,NA
"local_vegetal_products_consumed",21,NA,NA,NA,381254.978702703,512269.08757601,56782.6147923038,NA,NA,NA,NA,NA,NA,381254.978702703,512269.08757601,56782.6147923039,NA,NA,NA,NA,NA,NA,381254.978702703,512269.08757601,56782.6147923039,NA,NA,NA,NA,NA,NA,381254.978702703,178276.123986575,56782.6147923038,NA,NA,NA
"local_vegetal_products_consumed",22,NA,NA,NA,356698.975605162,553980.967999549,63360.4405132016,NA,NA,NA,NA,NA,NA,356698.975605162,553980.967999549,63360.4405132016,NA,NA,NA,NA,NA,NA,356698.975605162,553980.967999549,63360.4405132016,NA,NA,NA,NA,NA,NA,356698.975605162,553980.967999549,63360.4405132016,NA,NA,NA
"local_vegetal_products_consumed",23,NA,NA,NA,380236.913708985,536889.193050172,58733.1067346429,NA,NA,NA,NA,NA,NA,380236.913708985,536889.193050172,58733.1067346429,NA,NA,NA,NA,NA,NA,380236.913708985,536889.193050172,58733.1067346429,NA,NA,NA,NA,NA,NA,380236.913708985,178363.006503794,58733.1067346429,NA,NA,NA
"local_vegetal_products_consumed",24,NA,NA,NA,367708.407661862,519068.418519565,61161.8685220964,NA,NA,NA,NA,NA,NA,367708.407661862,519068.418519565,61161.8685220964,NA,NA,NA,NA,NA,NA,367708.407661862,519068.418519565,61161.8685220964,NA,NA,NA,NA,NA,NA,367708.407661862,178530.530295372,61161.8685220964,NA,NA,NA
"local_vegetal_products_consumed",25,NA,NA,NA,338070.8638561,519191.908552872,59600.7977596441,NA,NA,NA,NA,NA,NA,338070.8638561,519191.908552872,59600.797759644,NA,NA,NA,NA,NA,NA,338070.8638561,519191.908552872,59600.797759644,NA,NA,NA,NA,NA,NA,266856.268577659,178431.921875332,59600.7977596441,NA,NA,NA
"local_vegetal_products_consumed",26,NA,NA,NA,345228.297378602,490995.608367035,57472.3929932253,NA,NA,NA,NA,NA,NA,345228.297378602,490995.608367035,57472.3929932254,NA,NA,NA,NA,NA,NA,345228.297378602,490995.608367035,57472.3929932254,NA,NA,NA,NA,NA,NA,345228.297378602,490995.608367035,57472.3929932253,NA,NA,NA
"local_vegetal_products_consumed",27,NA,NA,NA,359699.331523022,537313.604514855,56423.0226652791,NA,NA,NA,NA,NA,NA,359699.331523022,537313.604514855,56423.0226652791,NA,NA,NA,NA,NA,NA,359699.331523022,537313.604514855,56423.0226652791,NA,NA,NA,NA,NA,NA,359699.331523022,178244.307846998,56423.0226652791,NA,NA,NA
"local_vegetal_products_consumed",28,NA,NA,NA,383015.64712658,525725.986337597,59022.8220924689,NA,NA,NA,NA,NA,NA,383015.64712658,525725.986337597,59022.8220924689,NA,NA,NA,NA,NA,NA,383015.64712658,525725.986337597,59022.8220924689,NA,NA,NA,NA,NA,NA,373305.701747939,274407.860596791,59022.8220924688,NA,NA,NA
"local_vegetal_products_consumed",29,NA,NA,NA,403203.316183554,517490.237268671,60049.9767004398,NA,NA,NA,NA,NA,NA,403203.316183554,517490.237268671,60049.9767004399,NA,NA,NA,NA,NA,NA,403203.316183554,517490.237268671,60049.9767004399,NA,NA,NA,NA,NA,NA,403203.316183554,177364.910687195,60049.9767004398,NA,NA,NA
"local_vegetal_products_consumed",30,NA,NA,NA,361993.822473838,507467.106982898,60081.5072108331,NA,NA,NA,NA,NA,NA,361993.822473838,507467.106982898,60081.5072108331,NA,NA,NA,NA,NA,NA,361993.822473838,507467.106982898,60081.5072108331,NA,NA,NA,NA,NA,NA,209416.331319811,178888.164438256,60081.5072108331,NA,NA,NA
