"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"losses",1,NA,NA,NA,3375064.34443063,7154271.722943,596431.525608627,NA,NA,NA,NA,NA,NA,3315446.01534664,6817531.44338516,486664.748134922,NA,NA,NA,NA,NA,NA,3077524.63216249,5861489.88029548,453955.184615958,NA,NA,NA,NA,NA,NA,3829012.75503939,6764039.81474866,515655.845460353,NA,NA,NA
"losses",2,NA,NA,NA,3344338.13099292,6498747.68747609,846667.14128724,NA,NA,NA,NA,NA,NA,2837580.12508754,5991425.08987676,438041.336378652,NA,NA,NA,NA,NA,NA,2329314.08430151,4143763.62730028,271572.491637816,NA,NA,NA,NA,NA,NA,3594021.5864582,5883241.79998517,586228.884664828,NA,NA,NA
"losses",3,NA,NA,NA,1830042.75630902,8484048.52275314,517101.593718678,NA,NA,NA,NA,NA,NA,1503654.11651605,7615426.48330837,348683.161977923,NA,NA,NA,NA,NA,NA,1352671.97121502,7190708.23534488,324539.191482047,NA,NA,NA,NA,NA,NA,1983617.34792353,7592890.92322514,396096.306488699,NA,NA,NA
"losses",4,NA,NA,NA,3978850.08773375,5975798.79021095,480208.046525629,NA,NA,NA,NA,NA,NA,3386740.75018628,4384265.82512276,295608.541299195,NA,NA,NA,NA,NA,NA,3679868.68750425,4989357.53250496,330927.443587631,NA,NA,NA,NA,NA,NA,3414985.81168155,2849704.40650949,341880.935972654,NA,NA,NA
"losses",5,NA,NA,NA,2213346.0560741,5337929.20450013,61644.9250029503,NA,NA,NA,NA,NA,NA,2004542.70298746,4947504.9291047,25931.9408619469,NA,NA,NA,NA,NA,NA,1733777.88818442,4131141.25365488,25931.9408619469,NA,NA,NA,NA,NA,NA,2660824.88809469,4919351.78794201,25931.9408619469,NA,NA,NA
"losses",6,NA,NA,NA,2243069.04000444,7681368.17940205,479601.71907345,NA,NA,NA,NA,NA,NA,1860073.88934193,6760228.58918364,298021.031502276,NA,NA,NA,NA,NA,NA,1664374.60144972,5789608.55947001,259999.852470442,NA,NA,NA,NA,NA,NA,2445606.33070028,6674165.7488622,348630.068374348,NA,NA,NA
"losses",7,NA,NA,NA,3979509.66996214,5020187.53917906,264257.283358501,NA,NA,NA,NA,NA,NA,4251206.50125334,4853656.12950982,218664.70261608,NA,NA,NA,NA,NA,NA,3974646.9035105,4299391.34606413,199425.199854421,NA,NA,NA,NA,NA,NA,4674770.38463881,4767085.45892392,250673.970848005,NA,NA,NA
"losses",8,NA,NA,NA,2822181.91052731,4949790.50482318,340476.942255328,NA,NA,NA,NA,NA,NA,2724190.19825534,4501032.22719125,238380.574735045,NA,NA,NA,NA,NA,NA,2548143.39566201,3967700.1913183,199886.219050889,NA,NA,NA,NA,NA,NA,3214162.43517207,4470391.74827542,287053.453173532,NA,NA,NA
"losses",9,NA,NA,NA,4762389.86132981,7303448.53197057,932730.070028799,NA,NA,NA,NA,NA,NA,4587887.10167492,7000766.60948265,766523.603210073,NA,NA,NA,NA,NA,NA,4318810.48391662,5787246.44655477,710615.095109652,NA,NA,NA,NA,NA,NA,5102485.05702815,6926982.91663425,805161.729450146,NA,NA,NA
"losses",10,NA,NA,NA,3242143.01437571,6859650.76192351,946044.263889106,NA,NA,NA,NA,NA,NA,2970650.57915873,5849593.11584739,799997.51532897,NA,NA,NA,NA,NA,NA,2702365.97198743,5211811.13346465,703751.022394368,NA,NA,NA,NA,NA,NA,3465692.1768571,5801736.76827083,866365.229540428,NA,NA,NA
"losses",11,NA,NA,NA,2839839.9466181,7325029.18213051,876164.47672273,NA,NA,NA,NA,NA,NA,2965114.7897273,6549693.14672418,707582.489839006,NA,NA,NA,NA,NA,NA,2637877.26008605,5378290.8648852,675042.411631369,NA,NA,NA,NA,NA,NA,3437363.76353888,6451754.04708988,750934.678051959,NA,NA,NA
"losses",12,NA,NA,NA,2428995.38750768,7122959.15129033,163150.546191945,NA,NA,NA,NA,NA,NA,2081604.69439162,5855624.10770104,21428.4315439481,NA,NA,NA,NA,NA,NA,2062222.83192711,5785623.11447303,21428.4315439481,NA,NA,NA,NA,NA,NA,2566841.27843638,5866189.09490383,21653.2376815248,NA,NA,NA
"losses",13,NA,NA,NA,3115060.11881495,7701048.68615743,928559.946652453,NA,NA,NA,NA,NA,NA,2609028.5855926,6562936.36378921,734225.821847016,NA,NA,NA,NA,NA,NA,2343814.25033131,5755264.19154524,713305.050964299,NA,NA,NA,NA,NA,NA,3196135.86430698,6501126.71612997,783291.73286184,NA,NA,NA
"losses",14,NA,NA,NA,3822687.62633895,7482957.19951797,158731.130060266,NA,NA,NA,NA,NA,NA,3423796.71507231,6410828.27610568,23988.6133708809,NA,NA,NA,NA,NA,NA,3323755.02436052,6135578.69361298,23988.6133708809,NA,NA,NA,NA,NA,NA,3913412.63696794,6409247.25157602,46699.3512049871,NA,NA,NA
"losses",15,NA,NA,NA,2288428.52461641,5037894.5514237,300315.077535048,NA,NA,NA,NA,NA,NA,2109408.80744005,4177729.04726072,138157.41546229,NA,NA,NA,NA,NA,NA,2250132.84725667,4616152.64624142,177503.564805325,NA,NA,NA,NA,NA,NA,2565478.18045572,4054132.08097048,188953.621470236,NA,NA,NA
"losses",16,NA,NA,NA,816296.29667055,5063707.39092495,289422.332638215,NA,NA,NA,NA,NA,NA,816296.29667055,4495162.29323655,159308.064039411,NA,NA,NA,NA,NA,NA,816296.29667055,3786384.18300879,130389.792956529,NA,NA,NA,NA,NA,NA,816296.29667055,4455429.98620651,214489.284907287,NA,NA,NA
"losses",17,NA,NA,NA,1130100.84414904,4349271.40440776,176778.321366354,NA,NA,NA,NA,NA,NA,1032599.8939847,4748142.35595274,130454.181167146,NA,NA,NA,NA,NA,NA,973469.265173623,3883511.54993687,99344.6782674694,NA,NA,NA,NA,NA,NA,1552373.80953053,4654055.81778182,167724.351884679,NA,NA,NA
"losses",18,NA,NA,NA,2209840.00742148,5521175.83309039,633881.10376359,NA,NA,NA,NA,NA,NA,1909620.38793635,5331318.71106369,481094.724999637,NA,NA,NA,NA,NA,NA,1648630.66823685,3759353.72586658,429890.870904671,NA,NA,NA,NA,NA,NA,2427314.74011408,5292238.97691527,500422.046452049,NA,NA,NA
"losses",19,NA,NA,NA,2065845.31084709,7895109.57620848,528049.510629481,NA,NA,NA,NA,NA,NA,2129095.6759724,8082146.57440508,404003.07726325,NA,NA,NA,NA,NA,NA,1727022.78138346,6223365.5751609,308555.478057526,NA,NA,NA,NA,NA,NA,2580505.17958041,7949773.91734003,447280.162704179,NA,NA,NA
"losses",20,NA,NA,NA,3343562.26797099,7618108.99294492,744753.463921443,NA,NA,NA,NA,NA,NA,3440923.32631931,7801665.11283846,634806.005239431,NA,NA,NA,NA,NA,NA,2739374.43944845,6012941.19787646,558613.904506634,NA,NA,NA,NA,NA,NA,3944017.36248547,7707715.60087375,666424.555259033,NA,NA,NA
"losses",21,NA,NA,NA,893081.146067522,4235183.2605468,491277.509335871,NA,NA,NA,NA,NA,NA,893081.146067522,5053795.49228867,263344.933090238,NA,NA,NA,NA,NA,NA,893081.146067522,2555492.87975119,105852.97756358,NA,NA,NA,NA,NA,NA,1322883.92858671,4818342.13603407,370314.37763603,NA,NA,NA
"losses",22,NA,NA,NA,1994817.84865535,5734003.01285083,421984.05078813,NA,NA,NA,NA,NA,NA,1937461.15363196,5683185.46609183,312494.084352888,NA,NA,NA,NA,NA,NA,1726107.44241141,4821945.04885328,275625.372040682,NA,NA,NA,NA,NA,NA,2482919.88647135,5625541.49045376,362550.585966483,NA,NA,NA
"losses",23,NA,NA,NA,2446990.87247373,5019042.27925376,290689.0227981,NA,NA,NA,NA,NA,NA,2419189.7500717,4785667.25389156,177742.978629333,NA,NA,NA,NA,NA,NA,2178727.4666641,3864442.16187629,142973.754865378,NA,NA,NA,NA,NA,NA,2847930.50065155,4651109.12558811,204044.492842987,NA,NA,NA
