"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"manure_as_biogas_substrate",1,NA,NA,NA,817935.822023846,1016567.86336158,254104.101556828,NA,NA,NA,NA,NA,NA,1548537.68957505,3997700.96878543,127277.953589195,NA,NA,NA,NA,NA,NA,2283950.88386244,2971147.07422424,380413.736354629,NA,NA,NA,NA,NA,NA,1548537.68957505,3997700.96878543,127277.953589195,NA,NA,NA
"manure_as_biogas_substrate",2,NA,NA,NA,829570.889413366,1156249.71987644,246225.402455122,NA,NA,NA,NA,NA,NA,1369758.82974495,3737488.27100581,0,NA,NA,NA,NA,NA,NA,1787318.80828886,1549525.46202367,116812.22920095,NA,NA,NA,NA,NA,NA,1369758.82974495,3737488.27100581,0,NA,NA,NA
"manure_as_biogas_substrate",3,NA,NA,NA,876338.086385635,944125.666335724,240564.441786756,NA,NA,NA,NA,NA,NA,2585504.05437014,3034271.13880752,412243.320293499,NA,NA,NA,NA,NA,NA,2512819.76787937,2399599.31510475,445887.368643691,NA,NA,NA,NA,NA,NA,2585504.05437014,3034271.13880752,412243.320293499,NA,NA,NA
"manure_as_biogas_substrate",4,NA,NA,NA,698871.15908776,1068360.56583364,263013.67718038,NA,NA,NA,NA,NA,NA,1786946.38533129,2271454.84222705,635435.831879125,NA,NA,NA,NA,NA,NA,1961884.29316959,3051072.0111938,589616.059183154,NA,NA,NA,NA,NA,NA,1786946.38533129,2271454.84222705,635435.831879125,NA,NA,NA
"manure_as_biogas_substrate",5,NA,NA,NA,818834.446830201,1204061.86916002,259514.200598222,NA,NA,NA,NA,NA,NA,1677500.75328517,3298349.01248561,338897.711212736,NA,NA,NA,NA,NA,NA,1975581.50549323,2143231.08147496,402229.148591838,NA,NA,NA,NA,NA,NA,1677500.75328517,3298349.01248561,338897.711212736,NA,NA,NA
"manure_as_biogas_substrate",6,NA,NA,NA,878496.828425185,963337.185263801,260659.620385288,NA,NA,NA,NA,NA,NA,2845964.66621333,3697753.2137311,319309.018316307,NA,NA,NA,NA,NA,NA,2639854.60528605,2472811.03640932,377596.584602192,NA,NA,NA,NA,NA,NA,2845964.66621333,3697753.2137311,319309.018316307,NA,NA,NA
"manure_as_biogas_substrate",7,NA,NA,NA,851010.530537387,1095385.87509053,238759.353134786,NA,NA,NA,NA,NA,NA,0,3659933.04783994,554012.901477184,NA,NA,NA,NA,NA,NA,359525.759795805,3024638.06795975,675147.471239554,NA,NA,NA,NA,NA,NA,0,3659933.04783994,554012.901477184,NA,NA,NA
"manure_as_biogas_substrate",8,NA,NA,NA,797190.048291793,843832.595002203,252067.727983089,NA,NA,NA,NA,NA,NA,1156672.08329602,2842509.1394023,449913.400581271,NA,NA,NA,NA,NA,NA,1300607.73891908,2334662.25205664,465756.332853737,NA,NA,NA,NA,NA,NA,1156672.08329602,2842509.1394023,449913.400581271,NA,NA,NA
"manure_as_biogas_substrate",9,NA,NA,NA,808327.962833936,1072741.24022009,262494.771009121,NA,NA,NA,NA,NA,NA,2439592.19827935,5846319.46318178,211667.743672173,NA,NA,NA,NA,NA,NA,3056823.39170637,3851037.3809257,501672.007405002,NA,NA,NA,NA,NA,NA,2439592.19827935,5846319.46318178,211667.743672173,NA,NA,NA
"manure_as_biogas_substrate",10,NA,NA,NA,868074.198378794,1078170.09971465,253234.798088555,NA,NA,NA,NA,NA,NA,959178.02311815,1450485.63144223,0,NA,NA,NA,NA,NA,NA,1308114.5310329,1063916.94711833,36681.458484271,NA,NA,NA,NA,NA,NA,959178.02311815,1450485.63144223,0,NA,NA,NA
"manure_as_biogas_substrate",11,NA,NA,NA,942458.902837651,972189.882101414,252199.6724012,NA,NA,NA,NA,NA,NA,7226912.6437277,11269394.2772268,1051477.08851299,NA,NA,NA,NA,NA,NA,6266432.28214254,7118088.98533568,1048460.28367253,NA,NA,NA,NA,NA,NA,7226912.6437277,11269394.2772268,1051477.08851299,NA,NA,NA
"manure_as_biogas_substrate",12,NA,NA,NA,853013.144610254,1040773.23261072,248435.447753093,NA,NA,NA,NA,NA,NA,1830386.26240375,1722462.20237331,410863.672139068,NA,NA,NA,NA,NA,NA,1847760.52049075,1683403.04472246,415652.080131557,NA,NA,NA,NA,NA,NA,1830386.26240375,1722462.20237331,410863.672139068,NA,NA,NA
"manure_as_biogas_substrate",13,NA,NA,NA,781088.796358466,1156436.98309208,235012.150120067,NA,NA,NA,NA,NA,NA,2627890.65074315,4148768.08053538,168952.785804702,NA,NA,NA,NA,NA,NA,2624299.08856998,2857713.45187566,247146.868712928,NA,NA,NA,NA,NA,NA,2627890.65074315,4148768.08053538,168952.785804702,NA,NA,NA
"manure_as_biogas_substrate",14,NA,NA,NA,754986.369441181,1113058.59613131,257471.785956287,NA,NA,NA,NA,NA,NA,1825206.50805921,3685731.29640532,698957.24331171,NA,NA,NA,NA,NA,NA,1977226.29678818,3274028.05817782,719993.500972881,NA,NA,NA,NA,NA,NA,1825206.50805921,3685731.29640532,698957.24331171,NA,NA,NA
"manure_as_biogas_substrate",15,NA,NA,NA,808456.614460345,1166541.34838757,259406.746806885,NA,NA,NA,NA,NA,NA,1199324.41060551,1726070.07109829,496499.202180891,NA,NA,NA,NA,NA,NA,860961.825534731,2104055.69257001,449180.112722064,NA,NA,NA,NA,NA,NA,1199324.41060551,1726070.07109829,496499.202180891,NA,NA,NA
"manure_as_biogas_substrate",16,NA,NA,NA,841704.981612249,1059190.4109487,255877.493730418,NA,NA,NA,NA,NA,NA,3757990.20711785,3888221.98895127,553758.942759672,NA,NA,NA,NA,NA,NA,3482829.55369813,2873830.46802261,551140.365032399,NA,NA,NA,NA,NA,NA,3757990.20711785,3888221.98895127,553758.942759672,NA,NA,NA
"manure_as_biogas_substrate",17,NA,NA,NA,682177.815764007,1166960.98164999,259911.814882057,NA,NA,NA,NA,NA,NA,4455252.10906514,4684097.36749167,1162818.2782108,NA,NA,NA,NA,NA,NA,4518881.08170825,3631345.72562745,1152368.36910126,NA,NA,NA,NA,NA,NA,4455252.10906514,4684097.36749167,1162818.2782108,NA,NA,NA
"manure_as_biogas_substrate",18,NA,NA,NA,864359.577892396,1153118.94236085,297536.133646584,NA,NA,NA,NA,NA,NA,4711039.21988251,8681392.74785057,909189.373036469,NA,NA,NA,NA,NA,NA,4134287.36093869,5215337.35441607,876544.468411715,NA,NA,NA,NA,NA,NA,4711039.21988251,8681392.74785057,909189.373036469,NA,NA,NA
"manure_as_biogas_substrate",19,NA,NA,NA,912076.182532752,1048369.33424243,263302.443387689,NA,NA,NA,NA,NA,NA,2573246.61822575,4495554.39843246,0,NA,NA,NA,NA,NA,NA,2828442.22197787,2479939.70212628,143353.878237854,NA,NA,NA,NA,NA,NA,2573246.61822575,4495554.39843246,0,NA,NA,NA
"manure_as_biogas_substrate",20,NA,NA,NA,894318.24598153,942150.360631705,262423.319658892,NA,NA,NA,NA,NA,NA,2171072.6427365,4026998.48805531,182549.159818043,NA,NA,NA,NA,NA,NA,2193335.88085226,2102454.94382139,361086.409938149,NA,NA,NA,NA,NA,NA,2171072.6427365,4026998.48805531,182549.159818043,NA,NA,NA
"manure_as_biogas_substrate",21,NA,NA,NA,850522.139808894,1086593.0112643,264043.324983119,NA,NA,NA,NA,NA,NA,3081356.32404638,5300644.79439235,0,NA,NA,NA,NA,NA,NA,2498325.321019,2088300.36069784,200075.379007266,NA,NA,NA,NA,NA,NA,3081356.32404638,5300644.79439235,0,NA,NA,NA
"manure_as_biogas_substrate",22,NA,NA,NA,820241.135859198,1069442.05656725,249759.564375508,NA,NA,NA,NA,NA,NA,2513660.19073702,2422799.48139819,166304.836036118,NA,NA,NA,NA,NA,NA,2608055.90842433,1835290.84142878,279233.218396164,NA,NA,NA,NA,NA,NA,2513660.19073702,2422799.48139819,166304.836036118,NA,NA,NA
