"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"manure_export",1,NA,NA,NA,4718037.65691213,5778738.56838713,1211796.13213521,NA,NA,NA,NA,NA,NA,0,435535.409176841,0,NA,NA,NA,NA,NA,NA,157631.23599329,323695.98596815,0,NA,NA,NA,NA,NA,NA,0,435535.409176841,0,NA,NA,NA
"manure_export",2,NA,NA,NA,4693062.03247643,5876724.48211932,1297003.58089296,NA,NA,NA,NA,NA,NA,1474796.78202919,3489375.85248615,0,NA,NA,NA,NA,NA,NA,1830866.49854006,1446660.52116942,106118.627578732,NA,NA,NA,NA,NA,NA,1474796.78202919,3489375.85248615,0,NA,NA,NA
"manure_export",3,NA,NA,NA,4865154.50020067,5403934.69465408,1277031.58050512,NA,NA,NA,NA,NA,NA,2807646.33966357,3375052.49343864,436683.10715844,NA,NA,NA,NA,NA,NA,2688497.03970532,2669100.18294568,465215.139017392,NA,NA,NA,NA,NA,NA,2807646.33966357,3375052.49343864,436683.10715844,NA,NA,NA
"manure_export",4,NA,NA,NA,4704915.08907946,5585223.45568354,1245646.31832575,NA,NA,NA,NA,NA,NA,979212.95214566,805029.026729898,255781.009681787,NA,NA,NA,NA,NA,NA,876917.590471737,1081334.07981203,79654.6985666498,NA,NA,NA,NA,NA,NA,979212.95214566,805029.026729898,255781.009681787,NA,NA,NA
"manure_export",5,NA,NA,NA,4497999.89099558,5872910.19141337,1306305.01311569,NA,NA,NA,NA,NA,NA,1182547.93218574,2282474.05103945,135685.242013738,NA,NA,NA,NA,NA,NA,1653966.58056307,1483126.65225241,270183.91066162,NA,NA,NA,NA,NA,NA,1182547.93218574,2282474.05103945,135685.242013738,NA,NA,NA
"manure_export",6,NA,NA,NA,4557136.19713924,5581497.02095804,1318839.18377903,NA,NA,NA,NA,NA,NA,2094074.65768778,3209179.08039762,77061.1451133305,NA,NA,NA,NA,NA,NA,2137040.65211479,2146085.20069783,215597.34350125,NA,NA,NA,NA,NA,NA,2094074.65768778,3209179.08039762,77061.1451133305,NA,NA,NA
"manure_export",7,NA,NA,NA,4422674.95972403,5682059.30855169,1318860.74876298,NA,NA,NA,NA,NA,NA,0,83941.6315483408,0,NA,NA,NA,NA,NA,NA,0,69370.9559571337,31974.0423913294,NA,NA,NA,NA,NA,NA,0,83941.6315483408,0,NA,NA,NA
"manure_export",8,NA,NA,NA,4631944.67883411,5934381.92572043,1224311.98246152,NA,NA,NA,NA,NA,NA,1517980.89132668,3903387.95180934,406106.780449021,NA,NA,NA,NA,NA,NA,1597364.58087673,3206002.88663914,429776.268270918,NA,NA,NA,NA,NA,NA,1517980.89132668,3903387.95180934,406106.780449021,NA,NA,NA
"manure_export",9,NA,NA,NA,4726919.12765941,5560720.26076869,1279884.9482841,NA,NA,NA,NA,NA,NA,0,1213047.89589954,0,NA,NA,NA,NA,NA,NA,834239.44835282,799048.499039772,0,NA,NA,NA,NA,NA,NA,0,1213047.89589954,0,NA,NA,NA
"manure_export",10,NA,NA,NA,4926983.70091009,5941398.64639445,1185560.41243548,NA,NA,NA,NA,NA,NA,858626.48492196,1287030.97072622,0,NA,NA,NA,NA,NA,NA,1234360.966553,944024.560836412,0,NA,NA,NA,NA,NA,NA,858626.48492196,1287030.97072622,0,NA,NA,NA
