"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"manure_to_crop",1,NA,NA,NA,2979489.92378872,3316001.50401654,661028.597842599,NA,NA,NA,NA,NA,NA,5393371.84693185,6002513.72335727,1196571.60145306,NA,NA,NA,NA,NA,NA,4008429.1217218,4461151.85362706,889308.690298862,NA,NA,NA,NA,NA,NA,5393371.84693185,6002513.72335727,1196571.60145306,NA,NA,NA
"manure_to_crop",2,NA,NA,NA,2903665.91155912,2938089.63120087,710058.571393732,NA,NA,NA,NA,NA,NA,3596131.39348974,3638764.47272644,879393.152511267,NA,NA,NA,NA,NA,NA,1490920.30661957,1508595.55721881,364587.654098182,NA,NA,NA,NA,NA,NA,3596131.39348974,3638764.47272644,879393.152511267,NA,NA,NA
"manure_to_crop",3,NA,NA,NA,1539869.03899778,4139929.58093114,430649.845934215,NA,NA,NA,NA,NA,NA,1319529.29501934,3547547.37124347,369028.192147827,NA,NA,NA,NA,NA,NA,1043526.25317244,2805514.68636485,291839.376450808,NA,NA,NA,NA,NA,NA,1319529.29501934,3547547.37124347,369028.192147827,NA,NA,NA
"manure_to_crop",4,NA,NA,NA,3037581.72095529,3110186.73028935,418383.957165,NA,NA,NA,NA,NA,NA,2922753.32127298,2992613.67456265,402567.967780227,NA,NA,NA,NA,NA,NA,3925911.57366638,4019749.65692989,540738.841144279,NA,NA,NA,NA,NA,NA,2922753.32127298,2992613.67456265,402567.967780227,NA,NA,NA
"manure_to_crop",5,NA,NA,NA,1461287.81332445,1734721.52078016,164883.174366685,NA,NA,NA,NA,NA,NA,3368985.76598541,3999384.69216489,380136.659203436,NA,NA,NA,NA,NA,NA,2189130.07064262,2598756.39193302,247008.639816103,NA,NA,NA,NA,NA,NA,3368985.76598541,3999384.69216489,380136.659203436,NA,NA,NA
"manure_to_crop",6,NA,NA,NA,1490703.3824233,3733336.77123777,478683.24351236,NA,NA,NA,NA,NA,NA,1285879.75662479,3220373.84190654,412911.850825366,NA,NA,NA,NA,NA,NA,859910.726835312,2153571.511495,276127.941149134,NA,NA,NA,NA,NA,NA,1285879.75662479,3220373.84190654,412911.850825366,NA,NA,NA
"manure_to_crop",7,NA,NA,NA,2975707.2779263,2268336.94835819,279540.101589423,NA,NA,NA,NA,NA,NA,7914353.89847145,6032993.06469287,743480.149813359,NA,NA,NA,NA,NA,NA,6540572.12843016,4985779.8622783,614426.093183617,NA,NA,NA,NA,NA,NA,7914353.89847145,6032993.06469287,743480.149813359,NA,NA,NA
"manure_to_crop",8,NA,NA,NA,2712742.91214354,1743505.97730599,378401.603974758,NA,NA,NA,NA,NA,NA,4745090.8543862,3049715.55927691,661894.638916186,NA,NA,NA,NA,NA,NA,3897325.90363599,2504848.86646688,543639.563685347,NA,NA,NA,NA,NA,NA,4745090.8543862,3049715.55927691,661894.638916186,NA,NA,NA
"manure_to_crop",9,NA,NA,NA,3976283.30453789,4283500.7785844,878374.317854192,NA,NA,NA,NA,NA,NA,4607150.10001141,4963109.90163404,1017734.90881071,NA,NA,NA,NA,NA,NA,3034782.373152,3269257.15866254,670393.604452466,NA,NA,NA,NA,NA,NA,4607150.10001141,4963109.90163404,1017734.90881071,NA,NA,NA
"manure_to_crop",10,NA,NA,NA,2490581.88990752,3185906.88502177,731049.664009976,NA,NA,NA,NA,NA,NA,4345189.02251024,5558286.47097823,1275424.42504627,NA,NA,NA,NA,NA,NA,3187153.41901356,4076948.46830874,935511.273714682,NA,NA,NA,NA,NA,NA,4345189.02251024,5558286.47097823,1275424.42504627,NA,NA,NA
"manure_to_crop",11,NA,NA,NA,1903864.51912033,3877849.90480358,782159.470413417,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"manure_to_crop",12,NA,NA,NA,2399550.17411497,3611377.89003964,290936.495679835,NA,NA,NA,NA,NA,NA,3278184.45224795,4933742.57309976,397467.619980444,NA,NA,NA,NA,NA,NA,3203847.19065086,4821863.29429416,388454.504680419,NA,NA,NA,NA,NA,NA,3278184.45224795,4933742.57309976,397467.619980444,NA,NA,NA
"manure_to_crop",13,NA,NA,NA,2357897.40861538,3511186.52571058,527566.995100148,NA,NA,NA,NA,NA,NA,1646944.44709506,2452493.95928121,368495.054057946,NA,NA,NA,NA,NA,NA,1134432.00718709,1689302.6657632,253823.123512642,NA,NA,NA,NA,NA,NA,1646944.44709506,2452493.95928121,368495.054057946,NA,NA,NA
"manure_to_crop",14,NA,NA,NA,3484429.95405235,3256467.57436943,284286.137334886,NA,NA,NA,NA,NA,NA,3646927.60928851,3408334.12131269,297543.92450301,NA,NA,NA,NA,NA,NA,3239558.81716042,3027616.67832539,264307.698804116,NA,NA,NA,NA,NA,NA,3646927.60928851,3408334.12131269,297543.92450301,NA,NA,NA
"manure_to_crop",15,NA,NA,NA,2132722.87637146,1835108.45061794,207208.583694525,NA,NA,NA,NA,NA,NA,4359036.94688485,3750747.75368564,423510.190678332,NA,NA,NA,NA,NA,NA,5313606.12514427,4572109.9593106,516253.10146949,NA,NA,NA,NA,NA,NA,4359036.94688485,3750747.75368564,423510.190678332,NA,NA,NA
"manure_to_crop",16,NA,NA,NA,96772.35050698,2708775.87227367,171552.214811717,NA,NA,NA,NA,NA,NA,119788.79463638,3353034.15675915,212354.385543366,NA,NA,NA,NA,NA,NA,88537.3028422652,2478266.86526558,156953.61656996,NA,NA,NA,NA,NA,NA,119788.79463638,3353034.15675915,212354.385543366,NA,NA,NA
"manure_to_crop",17,NA,NA,NA,788305.36130419,1521883.99667524,20111.827126394,NA,NA,NA,NA,NA,NA,2647228.00724885,5110676.82340407,67538.0311480502,NA,NA,NA,NA,NA,NA,2052263.08394015,3962051.37974529,52358.8477107382,NA,NA,NA,NA,NA,NA,2647228.00724885,5110676.82340407,67538.0311480502,NA,NA,NA
"manure_to_crop",18,NA,NA,NA,2381094.00837401,3023074.88128818,596306.727794462,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"manure_to_crop",19,NA,NA,NA,1858028.66817836,2928970.02263747,528766.762150496,NA,NA,NA,NA,NA,NA,3470280.37029956,5470500.72414649,987589.129589025,NA,NA,NA,NA,NA,NA,1914354.78365387,3017761.71167052,544796.319828796,NA,NA,NA,NA,NA,NA,3470280.37029956,5470500.72414649,987589.129589025,NA,NA,NA
"manure_to_crop",20,NA,NA,NA,2380930.83284762,3732592.86989962,667457.847035327,NA,NA,NA,NA,NA,NA,3771714.07736274,5912928.20364145,1057342.83540629,NA,NA,NA,NA,NA,NA,1969173.55001578,3087079.66270192,552027.937981079,NA,NA,NA,NA,NA,NA,3771714.07736274,5912928.20364145,1057342.83540629,NA,NA,NA
"manure_to_crop",21,NA,NA,NA,335144.416532138,1789668.29441372,357973.647529471,NA,NA,NA,NA,NA,NA,628304.639354662,3355141.35643747,671103.2391253,NA,NA,NA,NA,NA,NA,247533.810675363,1321828.41458325,264395.218071109,NA,NA,NA,NA,NA,NA,628304.639354662,3355141.35643747,671103.2391253,NA,NA,NA
"manure_to_crop",22,NA,NA,NA,1030721.18529585,2110909.27792594,266434.240438027,NA,NA,NA,NA,NA,NA,2907020.99956644,5953557.26325639,751444.661278173,NA,NA,NA,NA,NA,NA,2202092.68546915,4509869.34868855,569225.606688877,NA,NA,NA,NA,NA,NA,2907020.99956644,5953557.26325639,751444.661278173,NA,NA,NA
"manure_to_crop",23,NA,NA,NA,1622481.18173436,2341870.115328,78202.3320702603,NA,NA,NA,NA,NA,NA,3503804.8856535,5057350.46053411,168880.672553857,NA,NA,NA,NA,NA,NA,2381594.71699354,3437565.59850405,114791.014534922,NA,NA,NA,NA,NA,NA,3503804.8856535,5057350.46053411,168880.672553857,NA,NA,NA
"manure_to_crop",24,NA,NA,NA,2585963.28451567,3746319.31573253,468023.289720123,NA,NA,NA,NA,NA,NA,3340582.33425711,4839545.94388846,604598.813533722,NA,NA,NA,NA,NA,NA,2133120.12769906,3090279.42702348,386064.993850408,NA,NA,NA,NA,NA,NA,3340582.33425711,4839545.94388846,604598.813533722,NA,NA,NA
"manure_to_crop",25,NA,NA,NA,3137920.61310773,4555736.01732585,674437.45989554,NA,NA,NA,NA,NA,NA,4255072.86511907,6177654.2806704,914548.482467558,NA,NA,NA,NA,NA,NA,2961379.83657782,4299428.33038044,636493.315485558,NA,NA,NA,NA,NA,NA,4255072.86511907,6177654.2806704,914548.482467558,NA,NA,NA
"manure_to_crop",26,NA,NA,NA,2125032.93308076,2779355.05403596,215059.459429454,NA,NA,NA,NA,NA,NA,3535861.73185712,4624594.29302214,357839.401372508,NA,NA,NA,NA,NA,NA,3091828.61343708,4043838.2620787,312901.969613393,NA,NA,NA,NA,NA,NA,3535861.73185712,4624594.29302214,357839.401372508,NA,NA,NA
"manure_to_crop",27,NA,NA,NA,3710983.9631054,3352390.06664912,792159.797374822,NA,NA,NA,NA,NA,NA,5409870.08630122,4887112.12969026,1154810.05415134,NA,NA,NA,NA,NA,NA,3972336.17808171,3588487.71031831,847948.968041528,NA,NA,NA,NA,NA,NA,5409870.08630122,4887112.12969026,1154810.05415134,NA,NA,NA
"manure_to_crop",28,NA,NA,NA,2099031.94686746,2445045.88530309,451810.709910349,NA,NA,NA,NA,NA,NA,2119192.71686912,2468530.04799564,456150.258824972,NA,NA,NA,NA,NA,NA,1737041.22166668,2023382.96850426,373893.226673371,NA,NA,NA,NA,NA,NA,2119192.71686912,2468530.04799564,456150.258824972,NA,NA,NA
"manure_to_crop",29,NA,NA,NA,1751149.12729094,2362731.62871987,424077.010864271,NA,NA,NA,NA,NA,NA,3936133.82582343,5310814.33340547,953216.285924929,NA,NA,NA,NA,NA,NA,2532081.23297808,3416401.44885923,613195.885954071,NA,NA,NA,NA,NA,NA,3936133.82582343,5310814.33340547,953216.285924929,NA,NA,NA
"manure_to_crop",30,NA,NA,NA,781351.496005583,1891014.42878949,137447.910976224,NA,NA,NA,NA,NA,NA,3407597.19221314,8247012.37652914,599432.032718339,NA,NA,NA,NA,NA,NA,2555903.34098037,6185756.50151517,449610.164786058,NA,NA,NA,NA,NA,NA,3407597.19221314,8247012.37652914,599432.032718339,NA,NA,NA
"manure_to_crop",31,NA,NA,NA,3922249.9199158,3691153.94801801,515432.171073406,NA,NA,NA,NA,NA,NA,5010195.20059699,4714998.32305981,658401.642545181,NA,NA,NA,NA,NA,NA,3737121.39718532,3516933.05656038,491103.992515975,NA,NA,NA,NA,NA,NA,5010195.20059699,4714998.32305981,658401.642545181,NA,NA,NA
"manure_to_crop",32,NA,NA,NA,3625835.89224403,3944955.73326393,741940.191536404,NA,NA,NA,NA,NA,NA,4230758.80777727,4603119.58698943,865723.130741002,NA,NA,NA,NA,NA,NA,2765389.71711659,3008779.31143662,565870.557125643,NA,NA,NA,NA,NA,NA,4230758.80777727,4603119.58698943,865723.130741002,NA,NA,NA
