"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"ofmsw",1,NA,NA,NA,113503.252234206,257277.809065786,22716.2365674301,NA,NA,NA,NA,NA,NA,113503.252234206,257277.809065786,22716.2365674301,NA,NA,NA,NA,NA,NA,113503.252234206,257277.809065786,22716.2365674301,NA,NA,NA,NA,NA,NA,113503.252234206,257277.809065786,22716.2365674301,NA,NA,NA
"ofmsw",2,NA,NA,NA,116392.35561382,235113.315752962,38281.5228671791,NA,NA,NA,NA,NA,NA,116392.35561382,235113.315752962,38281.5228671791,NA,NA,NA,NA,NA,NA,116392.35561382,235113.315752962,38281.5228671791,NA,NA,NA,NA,NA,NA,116392.35561382,235113.315752962,38281.5228671791,NA,NA,NA
"ofmsw",3,NA,NA,NA,141656.431625854,250872.094554864,32115.8396230073,NA,NA,NA,NA,NA,NA,141656.431625854,250872.094554864,32115.8396230073,NA,NA,NA,NA,NA,NA,141656.431625854,250872.094554864,32115.8396230073,NA,NA,NA,NA,NA,NA,141656.431625854,250872.094554864,32115.8396230073,NA,NA,NA
"ofmsw",4,NA,NA,NA,151895.734209405,230211.451654605,27250.5617197432,NA,NA,NA,NA,NA,NA,151895.734209405,230211.451654605,27250.5617197432,NA,NA,NA,NA,NA,NA,151895.734209405,230211.451654605,27250.5617197432,NA,NA,NA,NA,NA,NA,151895.734209405,230211.451654605,27250.5617197432,NA,NA,NA
"ofmsw",5,NA,NA,NA,105769.913190446,196334.700437142,30493.7469885826,NA,NA,NA,NA,NA,NA,105769.913190446,196334.700437142,30493.7469885826,NA,NA,NA,NA,NA,NA,105769.913190446,196334.700437142,30493.7469885826,NA,NA,NA,NA,NA,NA,105769.913190446,196334.700437142,30493.7469885826,NA,NA,NA
"ofmsw",6,NA,NA,NA,135228.780904823,230825.597961523,39700.3991704109,NA,NA,NA,NA,NA,NA,135228.780904823,230825.597961523,39700.3991704109,NA,NA,NA,NA,NA,NA,135228.780904823,230825.597961523,39700.3991704109,NA,NA,NA,NA,NA,NA,135228.780904823,230825.597961523,39700.3991704109,NA,NA,NA
"ofmsw",7,NA,NA,NA,162969.440028582,298139.141608677,39472.7868686783,NA,NA,NA,NA,NA,NA,162969.440028582,298139.141608677,39472.7868686783,NA,NA,NA,NA,NA,NA,162969.440028582,298139.141608677,39472.7868686783,NA,NA,NA,NA,NA,NA,162969.440028582,298139.141608677,39472.7868686783,NA,NA,NA
"ofmsw",8,NA,NA,NA,124302.711425939,221057.178015829,36194.9931397324,NA,NA,NA,NA,NA,NA,124302.711425939,221057.178015829,36194.9931397324,NA,NA,NA,NA,NA,NA,124302.711425939,221057.178015829,36194.9931397324,NA,NA,NA,NA,NA,NA,124302.711425939,221057.178015829,36194.9931397324,NA,NA,NA
"ofmsw",9,NA,NA,NA,116711.76286847,197116.961807327,30988.1941304575,NA,NA,NA,NA,NA,NA,116711.76286847,197116.961807327,30988.1941304575,NA,NA,NA,NA,NA,NA,116711.76286847,197116.961807327,30988.1941304575,NA,NA,NA,NA,NA,NA,116711.76286847,197116.961807327,30988.1941304575,NA,NA,NA
"ofmsw",10,NA,NA,NA,126003.607152522,253794.538731634,35336.194074621,NA,NA,NA,NA,NA,NA,126003.607152522,253794.538731634,35336.194074621,NA,NA,NA,NA,NA,NA,126003.607152522,253794.538731634,35336.194074621,NA,NA,NA,NA,NA,NA,126003.607152522,253794.538731634,35336.194074621,NA,NA,NA
"ofmsw",11,NA,NA,NA,152396.444058063,278105.361639027,35587.4499927261,NA,NA,NA,NA,NA,NA,152396.444058063,278105.361639027,35587.4499927261,NA,NA,NA,NA,NA,NA,152396.444058063,278105.361639027,35587.4499927261,NA,NA,NA,NA,NA,NA,152396.444058063,278105.361639027,35587.4499927261,NA,NA,NA
"ofmsw",12,NA,NA,NA,137577.290487975,274859.623354622,48747.2367803053,NA,NA,NA,NA,NA,NA,137577.290487975,274859.623354622,48747.2367803053,NA,NA,NA,NA,NA,NA,137577.290487975,274859.623354622,48747.2367803053,NA,NA,NA,NA,NA,NA,137577.290487975,274859.623354622,48747.2367803053,NA,NA,NA
"ofmsw",13,NA,NA,NA,117550.431511171,229083.117376809,36281.3176416417,NA,NA,NA,NA,NA,NA,117550.431511171,229083.117376809,36281.3176416417,NA,NA,NA,NA,NA,NA,117550.431511171,229083.117376809,36281.3176416417,NA,NA,NA,NA,NA,NA,117550.431511171,229083.117376809,36281.3176416417,NA,NA,NA
"ofmsw",14,NA,NA,NA,127796.929211917,247116.745907787,32735.373738291,NA,NA,NA,NA,NA,NA,127796.929211917,247116.745907787,32735.373738291,NA,NA,NA,NA,NA,NA,127796.929211917,247116.745907787,32735.373738291,NA,NA,NA,NA,NA,NA,127796.929211917,247116.745907787,32735.373738291,NA,NA,NA
"ofmsw",15,NA,NA,NA,157491.627987953,308140.217983365,34376.012752521,NA,NA,NA,NA,NA,NA,157491.627987953,308140.217983365,34376.012752521,NA,NA,NA,NA,NA,NA,157491.627987953,308140.217983365,34376.012752521,NA,NA,NA,NA,NA,NA,157491.627987953,308140.217983365,34376.012752521,NA,NA,NA
"ofmsw",16,NA,NA,NA,127226.760406265,226709.198741103,47118.8480002548,NA,NA,NA,NA,NA,NA,127226.760406265,226709.198741103,47118.8480002548,NA,NA,NA,NA,NA,NA,127226.760406265,226709.198741103,47118.8480002548,NA,NA,NA,NA,NA,NA,127226.760406265,226709.198741103,47118.8480002548,NA,NA,NA
"ofmsw",17,NA,NA,NA,135049.513213029,225334.384117988,22093.2463287221,NA,NA,NA,NA,NA,NA,135049.513213029,225334.384117988,22093.2463287221,NA,NA,NA,NA,NA,NA,135049.513213029,225334.384117988,22093.2463287221,NA,NA,NA,NA,NA,NA,135049.513213029,225334.384117988,22093.2463287221,NA,NA,NA
"ofmsw",18,NA,NA,NA,143690.47665717,286384.665711091,35538.8868281829,NA,NA,NA,NA,NA,NA,143690.47665717,286384.665711091,35538.8868281829,NA,NA,NA,NA,NA,NA,143690.47665717,286384.665711091,35538.8868281829,NA,NA,NA,NA,NA,NA,143690.47665717,286384.665711091,35538.8868281829,NA,NA,NA
"ofmsw",19,NA,NA,NA,133231.694671538,264166.64675891,48743.8951850695,NA,NA,NA,NA,NA,NA,133231.694671538,264166.64675891,48743.8951850695,NA,NA,NA,NA,NA,NA,133231.694671538,264166.64675891,48743.8951850695,NA,NA,NA,NA,NA,NA,133231.694671538,264166.64675891,48743.8951850695,NA,NA,NA
"ofmsw",20,NA,NA,NA,138550.006889297,225854.163281992,34062.9282222792,NA,NA,NA,NA,NA,NA,138550.006889297,225854.163281992,34062.9282222792,NA,NA,NA,NA,NA,NA,138550.006889297,225854.163281992,34062.9282222792,NA,NA,NA,NA,NA,NA,138550.006889297,225854.163281992,34062.9282222792,NA,NA,NA
"ofmsw",21,NA,NA,NA,120251.464962781,245357.65217871,16991.7483732826,NA,NA,NA,NA,NA,NA,120251.464962781,245357.65217871,16991.7483732826,NA,NA,NA,NA,NA,NA,120251.464962781,245357.65217871,16991.7483732826,NA,NA,NA,NA,NA,NA,120251.464962781,245357.65217871,16991.7483732826,NA,NA,NA
"ofmsw",22,NA,NA,NA,130380.189003041,221670.975640182,28405.4872465285,NA,NA,NA,NA,NA,NA,130380.189003041,221670.975640182,28405.4872465285,NA,NA,NA,NA,NA,NA,130380.189003041,221670.975640182,28405.4872465285,NA,NA,NA,NA,NA,NA,130380.189003041,221670.975640182,28405.4872465285,NA,NA,NA
"ofmsw",23,NA,NA,NA,150006.198293406,287624.470997567,49475.5236149094,NA,NA,NA,NA,NA,NA,150006.198293406,287624.470997567,49475.5236149094,NA,NA,NA,NA,NA,NA,150006.198293406,287624.470997567,49475.5236149094,NA,NA,NA,NA,NA,NA,150006.198293406,287624.470997567,49475.5236149094,NA,NA,NA
"ofmsw",24,NA,NA,NA,139088.734483528,218966.341449066,41739.3551661195,NA,NA,NA,NA,NA,NA,139088.734483528,218966.341449066,41739.3551661195,NA,NA,NA,NA,NA,NA,139088.734483528,218966.341449066,41739.3551661195,NA,NA,NA,NA,NA,NA,139088.734483528,218966.341449066,41739.3551661195,NA,NA,NA
"ofmsw",25,NA,NA,NA,108707.268504847,237638.481348143,29641.1227947275,NA,NA,NA,NA,NA,NA,108707.268504847,237638.481348143,29641.1227947275,NA,NA,NA,NA,NA,NA,108707.268504847,237638.481348143,29641.1227947275,NA,NA,NA,NA,NA,NA,108707.268504847,237638.481348143,29641.1227947275,NA,NA,NA
"ofmsw",26,NA,NA,NA,138823.574481525,247694.004911344,48084.1902990254,NA,NA,NA,NA,NA,NA,138823.574481525,247694.004911344,48084.1902990254,NA,NA,NA,NA,NA,NA,138823.574481525,247694.004911344,48084.1902990254,NA,NA,NA,NA,NA,NA,138823.574481525,247694.004911344,48084.1902990254,NA,NA,NA
"ofmsw",27,NA,NA,NA,123181.698613621,243299.657710004,42808.9465850713,NA,NA,NA,NA,NA,NA,123181.698613621,243299.657710004,42808.9465850713,NA,NA,NA,NA,NA,NA,123181.698613621,243299.657710004,42808.9465850713,NA,NA,NA,NA,NA,NA,123181.698613621,243299.657710004,42808.9465850713,NA,NA,NA
"ofmsw",28,NA,NA,NA,147282.649046172,223137.188323997,34024.6062460325,NA,NA,NA,NA,NA,NA,147282.649046172,223137.188323997,34024.6062460325,NA,NA,NA,NA,NA,NA,147282.649046172,223137.188323997,34024.6062460325,NA,NA,NA,NA,NA,NA,147282.649046172,223137.188323997,34024.6062460325,NA,NA,NA
"ofmsw",29,NA,NA,NA,128644.347667991,216479.131010615,35343.9166068641,NA,NA,NA,NA,NA,NA,128644.347667991,216479.131010615,35343.9166068641,NA,NA,NA,NA,NA,NA,128644.347667991,216479.131010615,35343.9166068641,NA,NA,NA,NA,NA,NA,128644.347667991,216479.131010615,35343.9166068641,NA,NA,NA
"ofmsw",30,NA,NA,NA,141177.292234686,268224.057786129,38811.1951236176,NA,NA,NA,NA,NA,NA,141177.292234686,268224.057786129,38811.1951236176,NA,NA,NA,NA,NA,NA,141177.292234686,268224.057786129,38811.1951236176,NA,NA,NA,NA,NA,NA,141177.292234686,268224.057786129,38811.1951236176,NA,NA,NA
"ofmsw",31,NA,NA,NA,146688.690447133,268379.863033112,37911.8854646089,NA,NA,NA,NA,NA,NA,146688.690447133,268379.863033112,37911.8854646089,NA,NA,NA,NA,NA,NA,146688.690447133,268379.863033112,37911.8854646089,NA,NA,NA,NA,NA,NA,146688.690447133,268379.863033112,37911.8854646089,NA,NA,NA
"ofmsw",32,NA,NA,NA,126146.584485767,208872.794040353,32498.21425487,NA,NA,NA,NA,NA,NA,126146.584485767,208872.794040353,32498.21425487,NA,NA,NA,NA,NA,NA,126146.584485767,208872.794040353,32498.21425487,NA,NA,NA,NA,NA,NA,126146.584485767,208872.794040353,32498.21425487,NA,NA,NA
"ofmsw",33,NA,NA,NA,133565.911077323,242832.709214497,46248.0714914854,NA,NA,NA,NA,NA,NA,133565.911077323,242832.709214497,46248.0714914854,NA,NA,NA,NA,NA,NA,133565.911077323,242832.709214497,46248.0714914854,NA,NA,NA,NA,NA,NA,133565.911077323,242832.709214497,46248.0714914854,NA,NA,NA
"ofmsw",34,NA,NA,NA,130207.142432431,224186.235979907,21290.1421140517,NA,NA,NA,NA,NA,NA,130207.142432431,224186.235979907,21290.1421140517,NA,NA,NA,NA,NA,NA,130207.142432431,224186.235979907,21290.1421140517,NA,NA,NA,NA,NA,NA,130207.142432431,224186.235979907,21290.1421140517,NA,NA,NA
"ofmsw",35,NA,NA,NA,152891.870541706,250972.561040998,23810.3553789389,NA,NA,NA,NA,NA,NA,152891.870541706,250972.561040998,23810.3553789389,NA,NA,NA,NA,NA,NA,152891.870541706,250972.561040998,23810.3553789389,NA,NA,NA,NA,NA,NA,152891.870541706,250972.561040998,23810.3553789389,NA,NA,NA
"ofmsw",36,NA,NA,NA,138509.007259773,225026.75725134,37091.7523920749,NA,NA,NA,NA,NA,NA,138509.007259773,225026.75725134,37091.7523920749,NA,NA,NA,NA,NA,NA,138509.007259773,225026.75725134,37091.7523920749,NA,NA,NA,NA,NA,NA,138509.007259773,225026.75725134,37091.7523920749,NA,NA,NA
"ofmsw",37,NA,NA,NA,129092.108559058,241746.623364008,25806.5463272914,NA,NA,NA,NA,NA,NA,129092.108559058,241746.623364008,25806.5463272914,NA,NA,NA,NA,NA,NA,129092.108559058,241746.623364008,25806.5463272914,NA,NA,NA,NA,NA,NA,129092.108559058,241746.623364008,25806.5463272914,NA,NA,NA
"ofmsw",38,NA,NA,NA,165711.220822167,270315.723973713,49365.8028549267,NA,NA,NA,NA,NA,NA,165711.220822167,270315.723973713,49365.8028549267,NA,NA,NA,NA,NA,NA,165711.220822167,270315.723973713,49365.8028549267,NA,NA,NA,NA,NA,NA,165711.220822167,270315.723973713,49365.8028549267,NA,NA,NA
"ofmsw",39,NA,NA,NA,137728.163392575,251704.647620125,47103.2088862749,NA,NA,NA,NA,NA,NA,137728.163392575,251704.647620125,47103.2088862749,NA,NA,NA,NA,NA,NA,137728.163392575,251704.647620125,47103.2088862749,NA,NA,NA,NA,NA,NA,137728.163392575,251704.647620125,47103.2088862749,NA,NA,NA
"ofmsw",40,NA,NA,NA,100358.305321102,236316.237197703,21421.7160548511,NA,NA,NA,NA,NA,NA,100358.305321102,236316.237197703,21421.7160548511,NA,NA,NA,NA,NA,NA,100358.305321102,236316.237197703,21421.7160548511,NA,NA,NA,NA,NA,NA,100358.305321102,236316.237197703,21421.7160548511,NA,NA,NA
"ofmsw",41,NA,NA,NA,140657.340699026,321322.51447554,43759.3297214222,NA,NA,NA,NA,NA,NA,140657.340699026,321322.51447554,43759.3297214222,NA,NA,NA,NA,NA,NA,140657.340699026,321322.51447554,43759.3297214222,NA,NA,NA,NA,NA,NA,140657.340699026,321322.51447554,43759.3297214222,NA,NA,NA
"ofmsw",42,NA,NA,NA,143540.127882108,266054.309133605,28302.2656056504,NA,NA,NA,NA,NA,NA,143540.127882108,266054.309133605,28302.2656056504,NA,NA,NA,NA,NA,NA,143540.127882108,266054.309133605,28302.2656056504,NA,NA,NA,NA,NA,NA,143540.127882108,266054.309133605,28302.2656056504,NA,NA,NA
"ofmsw",43,NA,NA,NA,128086.893909209,263112.326636247,39176.3413636128,NA,NA,NA,NA,NA,NA,128086.893909209,263112.326636247,39176.3413636128,NA,NA,NA,NA,NA,NA,128086.893909209,263112.326636247,39176.3413636128,NA,NA,NA,NA,NA,NA,128086.893909209,263112.326636247,39176.3413636128,NA,NA,NA
"ofmsw",44,NA,NA,NA,109929.349919848,258836.56657552,32075.1184436085,NA,NA,NA,NA,NA,NA,109929.349919848,258836.56657552,32075.1184436085,NA,NA,NA,NA,NA,NA,109929.349919848,258836.56657552,32075.1184436085,NA,NA,NA,NA,NA,NA,109929.349919848,258836.56657552,32075.1184436085,NA,NA,NA
"ofmsw",45,NA,NA,NA,108838.665768823,220058.955683546,33645.3926159777,NA,NA,NA,NA,NA,NA,108838.665768823,220058.955683546,33645.3926159777,NA,NA,NA,NA,NA,NA,108838.665768823,220058.955683546,33645.3926159777,NA,NA,NA,NA,NA,NA,108838.665768823,220058.955683546,33645.3926159777,NA,NA,NA
"ofmsw",46,NA,NA,NA,139196.900335812,278571.083831764,40215.3701960046,NA,NA,NA,NA,NA,NA,139196.900335812,278571.083831764,40215.3701960046,NA,NA,NA,NA,NA,NA,139196.900335812,278571.083831764,40215.3701960046,NA,NA,NA,NA,NA,NA,139196.900335812,278571.083831764,40215.3701960046,NA,NA,NA
"ofmsw",47,NA,NA,NA,146592.581903661,246429.986851418,41466.6404425082,NA,NA,NA,NA,NA,NA,146592.581903661,246429.986851418,41466.6404425082,NA,NA,NA,NA,NA,NA,146592.581903661,246429.986851418,41466.6404425082,NA,NA,NA,NA,NA,NA,146592.581903661,246429.986851418,41466.6404425082,NA,NA,NA
"ofmsw",48,NA,NA,NA,153044.002112826,232783.362884322,30860.9835359475,NA,NA,NA,NA,NA,NA,153044.002112826,232783.362884322,30860.9835359475,NA,NA,NA,NA,NA,NA,153044.002112826,232783.362884322,30860.9835359475,NA,NA,NA,NA,NA,NA,153044.002112826,232783.362884322,30860.9835359475,NA,NA,NA
"ofmsw",49,NA,NA,NA,108390.678790254,233191.680640737,25824.0089890144,NA,NA,NA,NA,NA,NA,108390.678790254,233191.680640737,25824.0089890144,NA,NA,NA,NA,NA,NA,108390.678790254,233191.680640737,25824.0089890144,NA,NA,NA,NA,NA,NA,108390.678790254,233191.680640737,25824.0089890144,NA,NA,NA
"ofmsw",50,NA,NA,NA,123166.273474556,232230.673284047,35840.3456508493,NA,NA,NA,NA,NA,NA,123166.273474556,232230.673284047,35840.3456508493,NA,NA,NA,NA,NA,NA,123166.273474556,232230.673284047,35840.3456508493,NA,NA,NA,NA,NA,NA,123166.273474556,232230.673284047,35840.3456508493,NA,NA,NA
"ofmsw",51,NA,NA,NA,137494.185073812,253242.782912024,57044.5894346361,NA,NA,NA,NA,NA,NA,137494.185073812,253242.782912024,57044.5894346361,NA,NA,NA,NA,NA,NA,137494.185073812,253242.782912024,57044.5894346361,NA,NA,NA,NA,NA,NA,137494.185073812,253242.782912024,57044.5894346361,NA,NA,NA
"ofmsw",52,NA,NA,NA,104909.097920556,240639.149225839,37191.8146108326,NA,NA,NA,NA,NA,NA,104909.097920556,240639.149225839,37191.8146108326,NA,NA,NA,NA,NA,NA,104909.097920556,240639.149225839,37191.8146108326,NA,NA,NA,NA,NA,NA,104909.097920556,240639.149225839,37191.8146108326,NA,NA,NA
"ofmsw",53,NA,NA,NA,114791.699223169,221210.587412695,30653.5420111498,NA,NA,NA,NA,NA,NA,114791.699223169,221210.587412695,30653.5420111498,NA,NA,NA,NA,NA,NA,114791.699223169,221210.587412695,30653.5420111498,NA,NA,NA,NA,NA,NA,114791.699223169,221210.587412695,30653.5420111498,NA,NA,NA
"ofmsw",54,NA,NA,NA,128756.8110577,273293.889476536,29316.0781265592,NA,NA,NA,NA,NA,NA,128756.8110577,273293.889476536,29316.0781265592,NA,NA,NA,NA,NA,NA,128756.8110577,273293.889476536,29316.0781265592,NA,NA,NA,NA,NA,NA,128756.8110577,273293.889476536,29316.0781265592,NA,NA,NA
"ofmsw",55,NA,NA,NA,145912.146273552,279423.749765846,34268.9158442397,NA,NA,NA,NA,NA,NA,145912.146273552,279423.749765846,34268.9158442397,NA,NA,NA,NA,NA,NA,145912.146273552,279423.749765846,34268.9158442397,NA,NA,NA,NA,NA,NA,145912.146273552,279423.749765846,34268.9158442397,NA,NA,NA
"ofmsw",56,NA,NA,NA,169841.842302948,304699.499032649,26707.8727670991,NA,NA,NA,NA,NA,NA,169841.842302948,304699.499032649,26707.8727670991,NA,NA,NA,NA,NA,NA,169841.842302948,304699.499032649,26707.8727670991,NA,NA,NA,NA,NA,NA,169841.842302948,304699.499032649,26707.8727670991,NA,NA,NA
"ofmsw",57,NA,NA,NA,123554.372022594,240287.69161983,29531.7066138766,NA,NA,NA,NA,NA,NA,123554.372022594,240287.69161983,29531.7066138766,NA,NA,NA,NA,NA,NA,123554.372022594,240287.69161983,29531.7066138766,NA,NA,NA,NA,NA,NA,123554.372022594,240287.69161983,29531.7066138766,NA,NA,NA
"ofmsw",58,NA,NA,NA,118647.430126011,198834.902949887,29284.5943938715,NA,NA,NA,NA,NA,NA,118647.430126011,198834.902949887,29284.5943938715,NA,NA,NA,NA,NA,NA,118647.430126011,198834.902949887,29284.5943938715,NA,NA,NA,NA,NA,NA,118647.430126011,198834.902949887,29284.5943938715,NA,NA,NA
"ofmsw",59,NA,NA,NA,124488.321532885,268900.245507703,25933.2664695935,NA,NA,NA,NA,NA,NA,124488.321532885,268900.245507703,25933.2664695935,NA,NA,NA,NA,NA,NA,124488.321532885,268900.245507703,25933.2664695935,NA,NA,NA,NA,NA,NA,124488.321532885,268900.245507703,25933.2664695935,NA,NA,NA
"ofmsw",60,NA,NA,NA,147235.052889745,277157.84118321,50923.7632972159,NA,NA,NA,NA,NA,NA,147235.052889745,277157.84118321,50923.7632972159,NA,NA,NA,NA,NA,NA,147235.052889745,277157.84118321,50923.7632972159,NA,NA,NA,NA,NA,NA,147235.052889745,277157.84118321,50923.7632972159,NA,NA,NA
