"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"ofmsw_residual_waste",1,NA,NA,NA,17348.7174736144,39979.3919544684,3503.46332485621,NA,NA,NA,NA,NA,NA,17348.7174736144,39979.3919544684,3503.46332485621,NA,NA,NA,NA,NA,NA,17348.7174736144,39979.3919544684,3503.46332485621,NA,NA,NA,NA,NA,NA,17348.7174736144,39979.3919544684,3503.46332485621,NA,NA,NA
"ofmsw_residual_waste",2,NA,NA,NA,17891.222364967,37129.1512109154,6007.4709130929,NA,NA,NA,NA,NA,NA,17891.222364967,37129.1512109154,6007.4709130929,NA,NA,NA,NA,NA,NA,17891.222364967,37129.1512109154,6007.4709130929,NA,NA,NA,NA,NA,NA,17891.222364967,37129.1512109154,6007.4709130929,NA,NA,NA
"ofmsw_residual_waste",3,NA,NA,NA,19414.7205915598,35483.0233489812,4618.92168125393,NA,NA,NA,NA,NA,NA,19414.7205915598,35483.0233489812,4618.92168125393,NA,NA,NA,NA,NA,NA,19414.7205915598,35483.0233489812,4618.92168125393,NA,NA,NA,NA,NA,NA,19414.7205915598,35483.0233489812,4618.92168125393,NA,NA,NA
"ofmsw_residual_waste",4,NA,NA,NA,20894.6351534897,32757.7288995891,3870.9185427475,NA,NA,NA,NA,NA,NA,20894.6351534897,32757.7288995891,3870.9185427475,NA,NA,NA,NA,NA,NA,20894.6351534897,32757.7288995891,3870.9185427475,NA,NA,NA,NA,NA,NA,20894.6351534897,32757.7288995891,3870.9185427475,NA,NA,NA
"ofmsw_residual_waste",5,NA,NA,NA,14241.8380710409,27558.2227671317,4322.98900995201,NA,NA,NA,NA,NA,NA,14241.8380710409,27558.2227671317,4322.98900995201,NA,NA,NA,NA,NA,NA,14241.8380710409,27558.2227671317,4322.98900995201,NA,NA,NA,NA,NA,NA,14241.8380710409,27558.2227671317,4322.98900995201,NA,NA,NA
"ofmsw_residual_waste",6,NA,NA,NA,19073.5590508093,31586.14289305,5479.6817772142,NA,NA,NA,NA,NA,NA,19073.5590508093,31586.14289305,5479.6817772142,NA,NA,NA,NA,NA,NA,19073.5590508093,31586.14289305,5479.6817772142,NA,NA,NA,NA,NA,NA,19073.5590508093,31586.14289305,5479.6817772142,NA,NA,NA
"ofmsw_residual_waste",7,NA,NA,NA,21738.4012222181,40643.3030905698,5376.08971003142,NA,NA,NA,NA,NA,NA,21738.4012222181,40643.3030905698,5376.08971003142,NA,NA,NA,NA,NA,NA,21738.4012222181,40643.3030905698,5376.08971003142,NA,NA,NA,NA,NA,NA,21738.4012222181,40643.3030905698,5376.08971003142,NA,NA,NA
"ofmsw_residual_waste",8,NA,NA,NA,16754.7283550316,29560.7191206923,4824.85297220366,NA,NA,NA,NA,NA,NA,16754.7283550316,29560.7191206923,4824.85297220366,NA,NA,NA,NA,NA,NA,16754.7283550316,29560.7191206923,4824.85297220366,NA,NA,NA,NA,NA,NA,16754.7283550316,29560.7191206923,4824.85297220366,NA,NA,NA
"ofmsw_residual_waste",9,NA,NA,NA,16175.2417719515,27482.6741109925,4315.16535136798,NA,NA,NA,NA,NA,NA,16175.2417719515,27482.6741109925,4315.16535136798,NA,NA,NA,NA,NA,NA,16175.2417719515,27482.6741109925,4315.16535136798,NA,NA,NA,NA,NA,NA,16175.2417719515,27482.6741109925,4315.16535136798,NA,NA,NA
"ofmsw_residual_waste",10,NA,NA,NA,17696.5726652377,36221.8767729603,5052.49193550306,NA,NA,NA,NA,NA,NA,17696.5726652377,36221.8767729603,5052.49193550306,NA,NA,NA,NA,NA,NA,17696.5726652377,36221.8767729603,5052.49193550306,NA,NA,NA,NA,NA,NA,17696.5726652377,36221.8767729603,5052.49193550306,NA,NA,NA
"ofmsw_residual_waste",11,NA,NA,NA,21655.24988777,38161.9361514744,4930.12539262452,NA,NA,NA,NA,NA,NA,21655.24988777,38161.9361514744,4930.12539262452,NA,NA,NA,NA,NA,NA,21655.24988777,38161.9361514744,4930.12539262452,NA,NA,NA,NA,NA,NA,21655.24988777,38161.9361514744,4930.12539262452,NA,NA,NA
"ofmsw_residual_waste",12,NA,NA,NA,18877.9147412114,38461.3030455714,6800.72881984174,NA,NA,NA,NA,NA,NA,18877.9147412114,38461.3030455714,6800.72881984174,NA,NA,NA,NA,NA,NA,18877.9147412114,38461.3030455714,6800.72881984174,NA,NA,NA,NA,NA,NA,18877.9147412114,38461.3030455714,6800.72881984174,NA,NA,NA
