"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"other_organic_fertilizer_export",1,NA,NA,NA,1674043.56395047,2369439.93554138,591634.557086741,NA,NA,NA,NA,NA,NA,1674043.56395047,2369439.93554138,591634.557086741,NA,NA,NA,NA,NA,NA,1674043.56395047,2369439.93554138,591634.557086741,NA,NA,NA,NA,NA,NA,1674043.56395047,2369439.93554138,591634.557086741,NA,NA,NA
"other_organic_fertilizer_export",2,NA,NA,NA,1994952.05078669,2395273.06520656,490652.257339358,NA,NA,NA,NA,NA,NA,1994952.05078669,2395273.06520656,490652.257339358,NA,NA,NA,NA,NA,NA,1994952.05078669,2395273.06520656,490652.257339358,NA,NA,NA,NA,NA,NA,1994952.05078669,2395273.06520656,490652.257339358,NA,NA,NA
"other_organic_fertilizer_export",3,NA,NA,NA,1893590.91578047,2370125.36688317,489967.926299012,NA,NA,NA,NA,NA,NA,1893590.91578047,2370125.36688317,489967.926299012,NA,NA,NA,NA,NA,NA,1893590.91578047,2370125.36688317,489967.926299012,NA,NA,NA,NA,NA,NA,1893590.91578047,2370125.36688317,489967.926299012,NA,NA,NA
"other_organic_fertilizer_export",4,NA,NA,NA,1805048.63629012,2144323.56163422,454730.007558781,NA,NA,NA,NA,NA,NA,1805048.63629012,2144323.56163422,454730.007558781,NA,NA,NA,NA,NA,NA,1805048.63629012,2144323.56163422,454730.007558781,NA,NA,NA,NA,NA,NA,1805048.63629012,2144323.56163422,454730.007558781,NA,NA,NA
"other_organic_fertilizer_export",5,NA,NA,NA,1595051.77686392,1799360.56318492,668027.361962929,NA,NA,NA,NA,NA,NA,1595051.77686392,1799360.56318492,668027.361962929,NA,NA,NA,NA,NA,NA,1595051.77686392,1799360.56318492,668027.361962929,NA,NA,NA,NA,NA,NA,1595051.77686392,1799360.56318492,668027.361962929,NA,NA,NA
"other_organic_fertilizer_export",6,NA,NA,NA,1682972.8404016,1962380.25747709,512018.171561508,NA,NA,NA,NA,NA,NA,1682972.8404016,1962380.25747709,512018.171561508,NA,NA,NA,NA,NA,NA,1682972.8404016,1962380.25747709,512018.171561508,NA,NA,NA,NA,NA,NA,1682972.8404016,1962380.25747709,512018.171561508,NA,NA,NA
"other_organic_fertilizer_export",7,NA,NA,NA,1629386.53143442,2520021.44325961,668689.338717496,NA,NA,NA,NA,NA,NA,1629386.53143442,2520021.44325961,668689.338717496,NA,NA,NA,NA,NA,NA,1629386.53143442,2520021.44325961,668689.338717496,NA,NA,NA,NA,NA,NA,1629386.53143442,2520021.44325961,668689.338717496,NA,NA,NA
"other_organic_fertilizer_export",8,NA,NA,NA,1945839.32352562,1920441.53597384,528287.507844355,NA,NA,NA,NA,NA,NA,1945839.32352562,1920441.53597384,528287.507844355,NA,NA,NA,NA,NA,NA,1945839.32352562,1920441.53597384,528287.507844355,NA,NA,NA,NA,NA,NA,1945839.32352562,1920441.53597384,528287.507844355,NA,NA,NA
"other_organic_fertilizer_export",9,NA,NA,NA,1592832.49597902,2232444.15495261,501917.88482815,NA,NA,NA,NA,NA,NA,1592832.49597902,2232444.15495261,501917.88482815,NA,NA,NA,NA,NA,NA,1592832.49597902,2232444.15495261,501917.88482815,NA,NA,NA,NA,NA,NA,1592832.49597902,2232444.15495261,501917.88482815,NA,NA,NA
"other_organic_fertilizer_export",10,NA,NA,NA,1758352.65119088,2197804.05799052,366202.594081693,NA,NA,NA,NA,NA,NA,1758352.65119088,2197804.05799052,366202.594081693,NA,NA,NA,NA,NA,NA,1758352.65119088,2197804.05799052,366202.594081693,NA,NA,NA,NA,NA,NA,1758352.65119088,2197804.05799052,366202.594081693,NA,NA,NA
