"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"sewage",1,NA,NA,NA,868745.618667873,1817781.76069898,261405.734799781,NA,NA,NA,NA,NA,NA,868745.618667873,1817781.76069898,261405.734799781,NA,NA,NA,NA,NA,NA,868745.618667873,1817781.76069898,261405.734799781,NA,NA,NA,NA,NA,NA,868745.618667873,1817781.76069898,261405.734799781,NA,NA,NA
"sewage",2,NA,NA,NA,906629.672977234,1918820.8338352,275722.666530206,NA,NA,NA,NA,NA,NA,906629.672977234,1918820.8338352,275722.666530206,NA,NA,NA,NA,NA,NA,906629.672977234,1918820.8338352,275722.666530206,NA,NA,NA,NA,NA,NA,906629.672977234,1918820.8338352,275722.666530206,NA,NA,NA
"sewage",3,NA,NA,NA,844131.752228747,1896607.151489,253398.80950573,NA,NA,NA,NA,NA,NA,844131.752228747,1896607.151489,253398.80950573,NA,NA,NA,NA,NA,NA,844131.752228747,1896607.151489,253398.80950573,NA,NA,NA,NA,NA,NA,844131.752228747,1896607.151489,253398.80950573,NA,NA,NA
"sewage",4,NA,NA,NA,784454.660798121,1918985.06562518,264697.702324288,NA,NA,NA,NA,NA,NA,784454.660798121,1918985.06562518,264697.702324288,NA,NA,NA,NA,NA,NA,784454.660798121,1918985.06562518,264697.702324288,NA,NA,NA,NA,NA,NA,784454.660798121,1918985.06562518,264697.702324288,NA,NA,NA
"sewage",5,NA,NA,NA,910817.154586565,1805346.68325584,261271.607542669,NA,NA,NA,NA,NA,NA,910817.154586565,1805346.68325584,261271.607542669,NA,NA,NA,NA,NA,NA,910817.154586565,1805346.68325584,261271.607542669,NA,NA,NA,NA,NA,NA,910817.154586565,1805346.68325584,261271.607542669,NA,NA,NA
"sewage",6,NA,NA,NA,801816.948229634,1886044.49844819,274727.82108802,NA,NA,NA,NA,NA,NA,801816.948229634,1886044.49844819,274727.82108802,NA,NA,NA,NA,NA,NA,801816.948229634,1886044.49844819,274727.82108802,NA,NA,NA,NA,NA,NA,801816.948229634,1886044.49844819,274727.82108802,NA,NA,NA
"sewage",7,NA,NA,NA,919441.488582141,1951474.22336656,273554.744912932,NA,NA,NA,NA,NA,NA,919441.488582141,1951474.22336656,273554.744912932,NA,NA,NA,NA,NA,NA,919441.488582141,1951474.22336656,273554.744912932,NA,NA,NA,NA,NA,NA,919441.488582141,1951474.22336656,273554.744912932,NA,NA,NA
"sewage",8,NA,NA,NA,958359.434605069,1966733.75324389,277086.267407675,NA,NA,NA,NA,NA,NA,958359.434605069,1966733.75324389,277086.267407675,NA,NA,NA,NA,NA,NA,958359.434605069,1966733.75324389,277086.267407675,NA,NA,NA,NA,NA,NA,958359.434605069,1966733.75324389,277086.267407675,NA,NA,NA
"sewage",9,NA,NA,NA,887379.310461013,1981833.80703757,270510.747125298,NA,NA,NA,NA,NA,NA,887379.310461013,1981833.80703757,270510.747125298,NA,NA,NA,NA,NA,NA,887379.310461013,1981833.80703757,270510.747125298,NA,NA,NA,NA,NA,NA,887379.310461013,1981833.80703757,270510.747125298,NA,NA,NA
"sewage",10,NA,NA,NA,831529.339341338,1834843.7344235,268940.56621455,NA,NA,NA,NA,NA,NA,831529.339341338,1834843.7344235,268940.56621455,NA,NA,NA,NA,NA,NA,831529.339341338,1834843.7344235,268940.56621455,NA,NA,NA,NA,NA,NA,831529.339341338,1834843.7344235,268940.56621455,NA,NA,NA
"sewage",11,NA,NA,NA,845247.549035206,1872394.06490051,270316.620424416,NA,NA,NA,NA,NA,NA,845247.549035206,1872394.06490051,270316.620424416,NA,NA,NA,NA,NA,NA,845247.549035206,1872394.06490051,270316.620424416,NA,NA,NA,NA,NA,NA,845247.549035206,1872394.06490051,270316.620424416,NA,NA,NA
