"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"sewage_sludge_export",1,NA,NA,NA,14897.4633097421,127052.462008035,228921.189918155,NA,NA,NA,NA,NA,NA,14897.4633097421,127052.462008035,228921.189918155,NA,NA,NA,NA,NA,NA,14897.4633097421,127052.462008035,228921.189918155,NA,NA,NA,NA,NA,NA,14897.4633097421,127052.462008035,228921.189918155,NA,NA,NA
"sewage_sludge_export",2,NA,NA,NA,10598.4066067449,492268.453733807,245881.33947786,NA,NA,NA,NA,NA,NA,10598.4066067449,492268.453733807,245881.33947786,NA,NA,NA,NA,NA,NA,10598.4066067449,492268.453733807,245881.33947786,NA,NA,NA,NA,NA,NA,10598.4066067449,492268.453733807,245881.33947786,NA,NA,NA
"sewage_sludge_export",3,NA,NA,NA,13725.5915609298,112503.05190462,216745.051778998,NA,NA,NA,NA,NA,NA,13725.5915609298,112503.05190462,216745.051778998,NA,NA,NA,NA,NA,NA,13725.5915609298,112503.05190462,216745.051778998,NA,NA,NA,NA,NA,NA,13725.5915609298,112503.05190462,216745.051778998,NA,NA,NA
"sewage_sludge_export",4,NA,NA,NA,24878.2501225695,644662.064514348,230242.363043203,NA,NA,NA,NA,NA,NA,24878.2501225695,644662.064514348,230242.363043203,NA,NA,NA,NA,NA,NA,24878.2501225695,644662.064514348,230242.363043203,NA,NA,NA,NA,NA,NA,24878.2501225695,644662.064514348,230242.363043203,NA,NA,NA
"sewage_sludge_export",5,NA,NA,NA,20559.2891321459,694757.470676507,221847.594929691,NA,NA,NA,NA,NA,NA,20559.2891321459,694757.470676507,221847.594929691,NA,NA,NA,NA,NA,NA,20559.2891321459,694757.470676507,221847.594929691,NA,NA,NA,NA,NA,NA,20559.2891321459,694757.470676507,221847.594929691,NA,NA,NA
"sewage_sludge_export",6,NA,NA,NA,5228.30234860835,420289.624414048,238081.830081087,NA,NA,NA,NA,NA,NA,5228.30234860835,420289.624414048,238081.830081087,NA,NA,NA,NA,NA,NA,5228.30234860835,420289.624414048,238081.830081087,NA,NA,NA,NA,NA,NA,5228.30234860835,420289.624414048,238081.830081087,NA,NA,NA
"sewage_sludge_export",7,NA,NA,NA,24303.014967897,837724.733893504,237204.408165622,NA,NA,NA,NA,NA,NA,24303.014967897,837724.733893504,237204.408165622,NA,NA,NA,NA,NA,NA,24303.014967897,837724.733893504,237204.408165622,NA,NA,NA,NA,NA,NA,24303.014967897,837724.733893504,237204.408165622,NA,NA,NA
"sewage_sludge_export",8,NA,NA,NA,21099.7685738421,241613.267682088,236206.038352815,NA,NA,NA,NA,NA,NA,21099.7685738421,241613.267682088,236206.038352815,NA,NA,NA,NA,NA,NA,21099.7685738421,241613.267682088,236206.038352815,NA,NA,NA,NA,NA,NA,21099.7685738421,241613.267682088,236206.038352815,NA,NA,NA
"sewage_sludge_export",9,NA,NA,NA,18874.9280938623,627662.799435191,232480.235101912,NA,NA,NA,NA,NA,NA,18874.9280938623,627662.799435191,232480.235101912,NA,NA,NA,NA,NA,NA,18874.9280938623,627662.799435191,232480.235101912,NA,NA,NA,NA,NA,NA,18874.9280938623,627662.799435191,232480.235101912,NA,NA,NA
"sewage_sludge_export",10,NA,NA,NA,21766.5080805504,621077.689067351,227297.735056446,NA,NA,NA,NA,NA,NA,21766.5080805504,621077.689067351,227297.735056446,NA,NA,NA,NA,NA,NA,21766.5080805504,621077.689067351,227297.735056446,NA,NA,NA,NA,NA,NA,21766.5080805504,621077.689067351,227297.735056446,NA,NA,NA
"sewage_sludge_export",11,NA,NA,NA,27085.360055668,684067.398234518,238420.827573325,NA,NA,NA,NA,NA,NA,27085.360055668,684067.398234518,238420.827573325,NA,NA,NA,NA,NA,NA,27085.360055668,684067.398234518,238420.827573325,NA,NA,NA,NA,NA,NA,27085.360055668,684067.398234518,238420.827573325,NA,NA,NA
"sewage_sludge_export",12,NA,NA,NA,18932.9911554044,180639.246759707,232606.943232433,NA,NA,NA,NA,NA,NA,18932.9911554044,180639.246759707,232606.943232433,NA,NA,NA,NA,NA,NA,18932.9911554044,180639.246759707,232606.943232433,NA,NA,NA,NA,NA,NA,18932.9911554044,180639.246759707,232606.943232433,NA,NA,NA
"sewage_sludge_export",13,NA,NA,NA,24417.81042998,344310.173897908,241275.92720129,NA,NA,NA,NA,NA,NA,24417.81042998,344310.173897908,241275.92720129,NA,NA,NA,NA,NA,NA,24417.81042998,344310.173897908,241275.92720129,NA,NA,NA,NA,NA,NA,24417.81042998,344310.173897908,241275.92720129,NA,NA,NA
"sewage_sludge_export",14,NA,NA,NA,27615.800052971,125046.31102408,233742.970867754,NA,NA,NA,NA,NA,NA,27615.800052971,125046.31102408,233742.970867754,NA,NA,NA,NA,NA,NA,27615.800052971,125046.31102408,233742.970867754,NA,NA,NA,NA,NA,NA,27615.800052971,125046.31102408,233742.970867754,NA,NA,NA
"sewage_sludge_export",15,NA,NA,NA,29173.2977421713,308826.441094345,226759.23588996,NA,NA,NA,NA,NA,NA,29173.2977421713,308826.441094345,226759.23588996,NA,NA,NA,NA,NA,NA,29173.2977421713,308826.441094345,226759.23588996,NA,NA,NA,NA,NA,NA,29173.2977421713,308826.441094345,226759.23588996,NA,NA,NA
"sewage_sludge_export",16,NA,NA,NA,17259.7060788745,988227.18072425,239099.747677027,NA,NA,NA,NA,NA,NA,17259.7060788745,988227.18072425,239099.747677027,NA,NA,NA,NA,NA,NA,17259.7060788745,988227.18072425,239099.747677027,NA,NA,NA,NA,NA,NA,17259.7060788745,988227.18072425,239099.747677027,NA,NA,NA
"sewage_sludge_export",17,NA,NA,NA,18828.9960764438,426246.642357688,219241.248263456,NA,NA,NA,NA,NA,NA,18828.9960764438,426246.642357688,219241.248263456,NA,NA,NA,NA,NA,NA,18828.9960764438,426246.642357688,219241.248263456,NA,NA,NA,NA,NA,NA,18828.9960764438,426246.642357688,219241.248263456,NA,NA,NA
"sewage_sludge_export",18,NA,NA,NA,22700.7585589323,836984.541953687,224712.34787967,NA,NA,NA,NA,NA,NA,22700.7585589323,836984.541953687,224712.34787967,NA,NA,NA,NA,NA,NA,22700.7585589323,836984.541953687,224712.34787967,NA,NA,NA,NA,NA,NA,22700.7585589323,836984.541953687,224712.34787967,NA,NA,NA
"sewage_sludge_export",19,NA,NA,NA,22656.10673355,193089.526766815,227981.5553392,NA,NA,NA,NA,NA,NA,22656.10673355,193089.526766815,227981.5553392,NA,NA,NA,NA,NA,NA,22656.10673355,193089.526766815,227981.5553392,NA,NA,NA,NA,NA,NA,22656.10673355,193089.526766815,227981.5553392,NA,NA,NA
"sewage_sludge_export",20,NA,NA,NA,15158.6549100164,452379.09449689,237347.91851138,NA,NA,NA,NA,NA,NA,15158.6549100164,452379.09449689,237347.91851138,NA,NA,NA,NA,NA,NA,15158.6549100164,452379.09449689,237347.91851138,NA,NA,NA,NA,NA,NA,15158.6549100164,452379.09449689,237347.91851138,NA,NA,NA
"sewage_sludge_export",21,NA,NA,NA,28401.4601431318,632621.626477164,243945.165819343,NA,NA,NA,NA,NA,NA,28401.4601431318,632621.626477164,243945.165819343,NA,NA,NA,NA,NA,NA,28401.4601431318,632621.626477164,243945.165819343,NA,NA,NA,NA,NA,NA,28401.4601431318,632621.626477164,243945.165819343,NA,NA,NA
"sewage_sludge_export",22,NA,NA,NA,15478.3113215037,153855.442641222,234390.917280271,NA,NA,NA,NA,NA,NA,15478.3113215037,153855.442641222,234390.917280271,NA,NA,NA,NA,NA,NA,15478.3113215037,153855.442641222,234390.917280271,NA,NA,NA,NA,NA,NA,15478.3113215037,153855.442641222,234390.917280271,NA,NA,NA
"sewage_sludge_export",23,NA,NA,NA,26667.1156528485,27457.8732941994,229362.870620727,NA,NA,NA,NA,NA,NA,26667.1156528485,27457.8732941994,229362.870620727,NA,NA,NA,NA,NA,NA,26667.1156528485,27457.8732941994,229362.870620727,NA,NA,NA,NA,NA,NA,26667.1156528485,27457.8732941994,229362.870620727,NA,NA,NA
"sewage_sludge_export",24,NA,NA,NA,37487.7322333912,312642.430545936,230118.193407098,NA,NA,NA,NA,NA,NA,37487.7322333912,312642.430545936,230118.193407098,NA,NA,NA,NA,NA,NA,37487.7322333912,312642.430545936,230118.193407098,NA,NA,NA,NA,NA,NA,37487.7322333912,312642.430545936,230118.193407098,NA,NA,NA
"sewage_sludge_export",25,NA,NA,NA,24999.0050526214,434408.621734111,223379.285915892,NA,NA,NA,NA,NA,NA,24999.0050526214,434408.621734111,223379.285915892,NA,NA,NA,NA,NA,NA,24999.0050526214,434408.621734111,223379.285915892,NA,NA,NA,NA,NA,NA,24999.0050526214,434408.621734111,223379.285915892,NA,NA,NA
"sewage_sludge_export",26,NA,NA,NA,20782.6260788577,402548.699818005,229729.14724213,NA,NA,NA,NA,NA,NA,20782.6260788577,402548.699818005,229729.14724213,NA,NA,NA,NA,NA,NA,20782.6260788577,402548.699818005,229729.14724213,NA,NA,NA,NA,NA,NA,20782.6260788577,402548.699818005,229729.14724213,NA,NA,NA
