"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"sewage_to_crop",1,NA,NA,NA,899.332377102981,7669.92274448167,13819.5499205362,NA,NA,NA,NA,NA,NA,899.332377102981,7669.92274448167,13819.5499205362,NA,NA,NA,NA,NA,NA,899.332377102981,7669.92274448167,13819.5499205362,NA,NA,NA,NA,NA,NA,899.332377102981,7669.92274448167,13819.5499205362,NA,NA,NA
"sewage_to_crop",2,NA,NA,NA,646.052223120917,30007.4474123899,14988.3083266994,NA,NA,NA,NA,NA,NA,646.052223120917,30007.4474123899,14988.3083266994,NA,NA,NA,NA,NA,NA,646.052223120917,30007.4474123899,14988.3083266994,NA,NA,NA,NA,NA,NA,646.052223120917,30007.4474123899,14988.3083266994,NA,NA,NA
"sewage_to_crop",3,NA,NA,NA,832.462918132278,6823.35755596113,13145.678821471,NA,NA,NA,NA,NA,NA,832.462918132278,6823.35755596113,13145.678821471,NA,NA,NA,NA,NA,NA,832.462918132278,6823.35755596113,13145.678821471,NA,NA,NA,NA,NA,NA,832.462918132278,6823.35755596113,13145.678821471,NA,NA,NA
"sewage_to_crop",4,NA,NA,NA,1524.67041401519,39508.2922617333,14110.4666628643,NA,NA,NA,NA,NA,NA,1524.67041401519,39508.2922617333,14110.4666628643,NA,NA,NA,NA,NA,NA,1524.67041401519,39508.2922617333,14110.4666628643,NA,NA,NA,NA,NA,NA,1524.67041401519,39508.2922617333,14110.4666628643,NA,NA,NA
"sewage_to_crop",5,NA,NA,NA,1250.351189108,42252.9604023992,13492.0717510303,NA,NA,NA,NA,NA,NA,1250.351189108,42252.9604023992,13492.0717510303,NA,NA,NA,NA,NA,NA,1250.351189108,42252.9604023992,13492.0717510303,NA,NA,NA,NA,NA,NA,1250.351189108,42252.9604023992,13492.0717510303,NA,NA,NA
"sewage_to_crop",6,NA,NA,NA,317.994667898551,25562.7640915461,14480.5612685094,NA,NA,NA,NA,NA,NA,317.994667898551,25562.7640915461,14480.5612685094,NA,NA,NA,NA,NA,NA,317.994667898551,25562.7640915461,14480.5612685094,NA,NA,NA,NA,NA,NA,317.994667898551,25562.7640915461,14480.5612685094,NA,NA,NA
"sewage_to_crop",7,NA,NA,NA,1485.68712863769,51211.6235837842,14500.7332025801,NA,NA,NA,NA,NA,NA,1485.68712863769,51211.6235837842,14500.7332025801,NA,NA,NA,NA,NA,NA,1485.68712863769,51211.6235837842,14500.7332025801,NA,NA,NA,NA,NA,NA,1485.68712863769,51211.6235837842,14500.7332025801,NA,NA,NA
"sewage_to_crop",8,NA,NA,NA,1282.2525712998,14683.0631180279,14354.460759817,NA,NA,NA,NA,NA,NA,1282.2525712998,14683.0631180279,14354.460759817,NA,NA,NA,NA,NA,NA,1282.2525712998,14683.0631180279,14354.460759817,NA,NA,NA,NA,NA,NA,1282.2525712998,14683.0631180279,14354.460759817,NA,NA,NA
"sewage_to_crop",9,NA,NA,NA,1163.51310724701,38691.2146336424,14330.8519837434,NA,NA,NA,NA,NA,NA,1163.51310724701,38691.2146336424,14330.8519837434,NA,NA,NA,NA,NA,NA,1163.51310724701,38691.2146336424,14330.8519837434,NA,NA,NA,NA,NA,NA,1163.51310724701,38691.2146336424,14330.8519837434,NA,NA,NA
"sewage_to_crop",10,NA,NA,NA,1335.26390104107,38099.9384414202,13943.5530626278,NA,NA,NA,NA,NA,NA,1335.26390104107,38099.9384414202,13943.5530626278,NA,NA,NA,NA,NA,NA,1335.26390104107,38099.9384414202,13943.5530626278,NA,NA,NA,NA,NA,NA,1335.26390104107,38099.9384414202,13943.5530626278,NA,NA,NA
"sewage_to_crop",11,NA,NA,NA,1638.58083881101,41383.9701188619,14423.7255414797,NA,NA,NA,NA,NA,NA,1638.58083881101,41383.9701188619,14423.7255414797,NA,NA,NA,NA,NA,NA,1638.58083881101,41383.9701188619,14423.7255414797,NA,NA,NA,NA,NA,NA,1638.58083881101,41383.9701188619,14423.7255414797,NA,NA,NA
"sewage_to_crop",12,NA,NA,NA,1147.09359788891,10944.3944585791,14092.9625549564,NA,NA,NA,NA,NA,NA,1147.09359788891,10944.3944585791,14092.9625549564,NA,NA,NA,NA,NA,NA,1147.09359788891,10944.3944585791,14092.9625549564,NA,NA,NA,NA,NA,NA,1147.09359788891,10944.3944585791,14092.9625549564,NA,NA,NA
"sewage_to_crop",13,NA,NA,NA,1488.5419760589,20989.6029826616,14708.4992113253,NA,NA,NA,NA,NA,NA,1488.5419760589,20989.6029826616,14708.4992113253,NA,NA,NA,NA,NA,NA,1488.5419760589,20989.6029826616,14708.4992113253,NA,NA,NA,NA,NA,NA,1488.5419760589,20989.6029826616,14708.4992113253,NA,NA,NA
"sewage_to_crop",14,NA,NA,NA,1682.5232037946,7618.58499277106,14241.0493795045,NA,NA,NA,NA,NA,NA,1682.5232037946,7618.58499277106,14241.0493795045,NA,NA,NA,NA,NA,NA,1682.5232037946,7618.58499277106,14241.0493795045,NA,NA,NA,NA,NA,NA,1682.5232037946,7618.58499277106,14241.0493795045,NA,NA,NA
"sewage_to_crop",15,NA,NA,NA,1799.05266111491,19044.6426586286,13983.739869439,NA,NA,NA,NA,NA,NA,1799.05266111491,19044.6426586286,13983.739869439,NA,NA,NA,NA,NA,NA,1799.05266111491,19044.6426586286,13983.739869439,NA,NA,NA,NA,NA,NA,1799.05266111491,19044.6426586286,13983.739869439,NA,NA,NA
"sewage_to_crop",16,NA,NA,NA,1053.45251250954,60316.8096667878,14593.541093904,NA,NA,NA,NA,NA,NA,1053.45251250954,60316.8096667878,14593.541093904,NA,NA,NA,NA,NA,NA,1053.45251250954,60316.8096667878,14593.541093904,NA,NA,NA,NA,NA,NA,1053.45251250954,60316.8096667878,14593.541093904,NA,NA,NA
"sewage_to_crop",17,NA,NA,NA,1158.56333222146,26227.3000808549,13490.0910339175,NA,NA,NA,NA,NA,NA,1158.56333222146,26227.3000808549,13490.0910339175,NA,NA,NA,NA,NA,NA,1158.56333222146,26227.3000808549,13490.0910339175,NA,NA,NA,NA,NA,NA,1158.56333222146,26227.3000808549,13490.0910339175,NA,NA,NA
"sewage_to_crop",18,NA,NA,NA,1386.84370469647,51133.3900989839,13728.2154785907,NA,NA,NA,NA,NA,NA,1386.84370469647,51133.3900989839,13728.2154785907,NA,NA,NA,NA,NA,NA,1386.84370469647,51133.3900989839,13728.2154785907,NA,NA,NA,NA,NA,NA,1386.84370469647,51133.3900989839,13728.2154785907,NA,NA,NA
"sewage_to_crop",19,NA,NA,NA,1395.53541503668,11893.6265636819,14042.8511479362,NA,NA,NA,NA,NA,NA,1395.53541503668,11893.6265636819,14042.8511479362,NA,NA,NA,NA,NA,NA,1395.53541503668,11893.6265636819,14042.8511479362,NA,NA,NA,NA,NA,NA,1395.53541503668,11893.6265636819,14042.8511479362,NA,NA,NA
