"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"share_reuse_to_total_input",1,NA,NA,NA,50.6222603851444,44.0710111164199,43.3973725025687,NA,NA,NA,NA,NA,NA,85.8325218900603,72.3071396247159,73.5358055448452,NA,NA,NA,NA,NA,NA,81.2178259681296,65.6825265961773,71.7821373393123,NA,NA,NA,NA,NA,NA,86.5735707833775,71.8839626224797,79.0794921968279,NA,NA,NA
"share_reuse_to_total_input",2,NA,NA,NA,50.9203495985844,43.7944783927237,41.0802962350866,NA,NA,NA,NA,NA,NA,71.6119780305507,60.2817695123046,60.5252335476493,NA,NA,NA,NA,NA,NA,60.3431937715025,46.2983184200843,50.9859548570823,NA,NA,NA,NA,NA,NA,75.0746193772754,64.8317238051808,79.6494440851491,NA,NA,NA
"share_reuse_to_total_input",3,NA,NA,NA,50.0905349914762,44.4746700214663,42.4607063955605,NA,NA,NA,NA,NA,NA,72.495903588981,59.9966753477453,65.309970700255,NA,NA,NA,NA,NA,NA,70.5621616212297,56.380335999844,64.6409098354056,NA,NA,NA,NA,NA,NA,73.6297969514981,60.5460809463001,73.536596496154,NA,NA,NA
"share_reuse_to_total_input",4,NA,NA,NA,49.4417087116773,46.1151883521229,43.2869331951555,NA,NA,NA,NA,NA,NA,71.7977538700343,60.3540445250236,71.3785322200767,NA,NA,NA,NA,NA,NA,78.7799152366033,65.7171547921091,73.3253861519404,NA,NA,NA,NA,NA,NA,74.2801097210664,60.9125214005043,78.7778083544565,NA,NA,NA
"share_reuse_to_total_input",5,NA,NA,NA,51.7277243972219,42.898936838636,41.0388218662597,NA,NA,NA,NA,NA,NA,82.5831404078384,63.967543600626,62.6773736928077,NA,NA,NA,NA,NA,NA,76.7744391024139,56.7895542355947,61.0403387480556,NA,NA,NA,NA,NA,NA,84.8490229005833,67.1426240406734,77.5002226061734,NA,NA,NA
"share_reuse_to_total_input",6,NA,NA,NA,48.7933773755331,44.7752331811946,40.8389779599515,NA,NA,NA,NA,NA,NA,70.3642176563031,60.9225630283427,61.3704746773833,NA,NA,NA,NA,NA,NA,66.4449651301475,55.2861357763604,59.4993276209421,NA,NA,NA,NA,NA,NA,72.4400242043344,62.5767989949363,72.2070409672451,NA,NA,NA
"share_reuse_to_total_input",7,NA,NA,NA,50.736890266319,44.8352898645443,41.4735971623093,NA,NA,NA,NA,NA,NA,91.6354160068486,75.8203885669441,82.0070827017012,NA,NA,NA,NA,NA,NA,85.9099871811198,71.4507075150486,82.6279730529327,NA,NA,NA,NA,NA,NA,90.5958547473511,73.989903797351,86.757225766318,NA,NA,NA
"share_reuse_to_total_input",8,NA,NA,NA,51.123985110525,45.7312354873986,43.932069185736,NA,NA,NA,NA,NA,NA,82.8362291399215,64.6710515571128,72.4292418984683,NA,NA,NA,NA,NA,NA,78.4198925226779,62.0939715133341,70.3250737799481,NA,NA,NA,NA,NA,NA,83.8833841325974,66.1039196097456,79.6200062699815,NA,NA,NA
"share_reuse_to_total_input",9,NA,NA,NA,51.3186368953921,45.310147053996,42.630618384453,NA,NA,NA,NA,NA,NA,81.2376750125168,71.2559113799048,68.1141610570682,NA,NA,NA,NA,NA,NA,76.1314436407473,63.0131467202768,67.0632018820473,NA,NA,NA,NA,NA,NA,80.8838354482455,70.4808080385167,73.1525767904968,NA,NA,NA
"share_reuse_to_total_input",10,NA,NA,NA,47.9238629514225,41.9248024984618,42.7555717943565,NA,NA,NA,NA,NA,NA,76.7084603842996,65.6190488393997,72.4455753555591,NA,NA,NA,NA,NA,NA,70.9398278270125,59.6601157867383,65.5774567311644,NA,NA,NA,NA,NA,NA,78.5370141117489,67.6026170114706,79.8547175405365,NA,NA,NA
"share_reuse_to_total_input",11,NA,NA,NA,50.2021394261271,43.8730425174173,43.0460104346993,NA,NA,NA,NA,NA,NA,86.1393920754868,61.2829812690115,68.2866544923778,NA,NA,NA,NA,NA,NA,81.5829446866888,54.9708004200427,68.7974987978817,NA,NA,NA,NA,NA,NA,87.9141420450243,62.1048531919177,76.6697869892953,NA,NA,NA
"share_reuse_to_total_input",12,NA,NA,NA,51.6202674794717,45.5805787950367,40.2103169850842,NA,NA,NA,NA,NA,NA,75.8294105449053,65.4567144546934,67.2033173499541,NA,NA,NA,NA,NA,NA,75.4448023510129,65.0748621867711,67.08161338056,NA,NA,NA,NA,NA,NA,76.5765345776468,65.9080500543896,73.4912791651153,NA,NA,NA
"share_reuse_to_total_input",13,NA,NA,NA,49.4177947351848,43.7467936272442,38.7353769508391,NA,NA,NA,NA,NA,NA,69.5061973374635,55.6712002403473,51.4230657942025,NA,NA,NA,NA,NA,NA,66.5738052294364,50.9356764295978,50.8256778210546,NA,NA,NA,NA,NA,NA,71.9276415698301,59.7967994961802,67.1873619818536,NA,NA,NA
"share_reuse_to_total_input",14,NA,NA,NA,50.5745158111159,44.0356647717784,42.8065108866393,NA,NA,NA,NA,NA,NA,75.5361324427658,61.1295638289078,70.4236926012065,NA,NA,NA,NA,NA,NA,74.0777519791882,59.3318077547441,70.1821339011569,NA,NA,NA,NA,NA,NA,75.08044870667,62.7030798743857,79.216210834392,NA,NA,NA
"share_reuse_to_total_input",15,NA,NA,NA,52.6320294191433,45.074725892125,41.8540348574234,NA,NA,NA,NA,NA,NA,84.0472611889658,65.4907069210203,73.2136939030801,NA,NA,NA,NA,NA,NA,87.9218523902187,68.7395552899769,73.6215057309958,NA,NA,NA,NA,NA,NA,82.198332048879,66.5357499442662,77.8444220035802,NA,NA,NA
"share_reuse_to_total_input",16,NA,NA,NA,54.3936945656523,47.9686719062845,43.1207538808806,NA,NA,NA,NA,NA,NA,81.2868719633031,63.7846015596105,65.0888547409465,NA,NA,NA,NA,NA,NA,79.7608315799236,59.0593831161479,63.8092059787909,NA,NA,NA,NA,NA,NA,84.0578712837332,66.6860218641037,79.1023901593324,NA,NA,NA
