"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"slaughter_animal",1,NA,NA,NA,288364.949632916,3266351.35108389,617530.787090897,NA,NA,NA,NA,NA,NA,167420.361601101,1898197.13727089,358430.99375031,NA,NA,NA,NA,NA,NA,124429.146006837,1410766.56676917,266390.909852387,NA,NA,NA,NA,NA,NA,167420.361601101,1898197.13727089,358430.99375031,NA,NA,NA
"slaughter_animal",2,NA,NA,NA,327112.044682715,3828188.82533028,867326.382052428,NA,NA,NA,NA,NA,NA,206192.789467461,2413170.65873023,546172.515678595,NA,NA,NA,NA,NA,NA,85485.4796051404,1000476.55237314,226437.692464987,NA,NA,NA,NA,NA,NA,206192.789467461,2413170.65873023,546172.515678595,NA,NA,NA
"slaughter_animal",3,NA,NA,NA,269806.547121356,3696615.6364581,749575.913135681,NA,NA,NA,NA,NA,NA,148563.417928098,2036061.21969699,412327.125671954,NA,NA,NA,NA,NA,NA,117488.734395038,1610182.77035596,326081.56723607,NA,NA,NA,NA,NA,NA,148563.417928098,2036061.21969699,412327.125671954,NA,NA,NA
"slaughter_animal",4,NA,NA,NA,231307.58563357,3111955.37375868,599461.546308108,NA,NA,NA,NA,NA,NA,83287.3676141325,1120060.42886129,215571.157713439,NA,NA,NA,NA,NA,NA,111873.567323196,1504491.73006399,289560.291269208,NA,NA,NA,NA,NA,NA,83287.3676141325,1120060.42886129,215571.157713439,NA,NA,NA
"slaughter_animal",5,NA,NA,NA,282504.422987332,3820497.68286559,645315.297580851,NA,NA,NA,NA,NA,NA,169389.923360741,2289321.44782847,386480.804661362,NA,NA,NA,NA,NA,NA,110067.717897996,1487576.01572785,251130.996085665,NA,NA,NA,NA,NA,NA,169389.923360741,2289321.44782847,386480.804661362,NA,NA,NA
"slaughter_animal",6,NA,NA,NA,286325.21563693,3665347.77779418,780495.572855538,NA,NA,NA,NA,NA,NA,158192.854209491,2024999.06033841,430483.379505162,NA,NA,NA,NA,NA,NA,105788.843430038,1354184.48330432,287878.609064082,NA,NA,NA,NA,NA,NA,158192.854209491,2024999.06033841,430483.379505162,NA,NA,NA
"slaughter_animal",7,NA,NA,NA,289634.624041789,3502944.61325386,764826.939145895,NA,NA,NA,NA,NA,NA,176047.755505025,2129024.04632539,464316.43166408,NA,NA,NA,NA,NA,NA,145489.203250216,1759465.84102625,383719.903187646,NA,NA,NA,NA,NA,NA,176047.755505025,2129024.04632539,464316.43166408,NA,NA,NA
"slaughter_animal",8,NA,NA,NA,233650.154869526,3321305.45048568,681124.957302267,NA,NA,NA,NA,NA,NA,141071.759253377,2002649.52738681,410429.179395092,NA,NA,NA,NA,NA,NA,115867.670078744,1644853.20060296,337101.29511766,NA,NA,NA,NA,NA,NA,141071.759253377,2002649.52738681,410429.179395092,NA,NA,NA
"slaughter_animal",9,NA,NA,NA,300562.600768022,3747690.30724467,751198.060855261,NA,NA,NA,NA,NA,NA,195563.769163641,2439269.98913216,488052.807044228,NA,NA,NA,NA,NA,NA,128820.087603292,1606774.99227963,321485.9563576,NA,NA,NA,NA,NA,NA,195563.769163641,2439269.98913216,488052.807044228,NA,NA,NA
"slaughter_animal",10,NA,NA,NA,274047.486963164,3934183.07887311,640379.918886435,NA,NA,NA,NA,NA,NA,126039.75166088,1809685.75834061,294301.388886373,NA,NA,NA,NA,NA,NA,92448.9184144916,1327386.70795577,215867.174696065,NA,NA,NA,NA,NA,NA,126039.75166088,1809685.75834061,294301.388886373,NA,NA,NA
"slaughter_animal",11,NA,NA,NA,254493.80880979,3587997.68276251,722512.59892701,NA,NA,NA,NA,NA,NA,154215.66185948,2173558.42746579,437380.827139803,NA,NA,NA,NA,NA,NA,97407.2587260962,1372884.99460816,276262.909209968,NA,NA,NA,NA,NA,NA,154215.66185948,2173558.42746579,437380.827139803,NA,NA,NA
"slaughter_animal",12,NA,NA,NA,293296.680990393,3725139.48444138,784286.54592655,NA,NA,NA,NA,NA,NA,135717.217541883,1723683.61965743,362297.240659986,NA,NA,NA,NA,NA,NA,132639.646267111,1684596.76471941,354081.661229616,NA,NA,NA,NA,NA,NA,135717.217541883,1723683.61965743,362297.240659986,NA,NA,NA
"slaughter_animal",13,NA,NA,NA,269509.809962077,3532521.75284781,765199.399499645,NA,NA,NA,NA,NA,NA,136699.122370533,1791986.43211104,387348.621704201,NA,NA,NA,NA,NA,NA,94159.7392948164,1234338.39472693,266809.651762155,NA,NA,NA,NA,NA,NA,136699.122370533,1791986.43211104,387348.621704201,NA,NA,NA
"slaughter_animal",14,NA,NA,NA,278336.942742101,3379795.9329062,757485.991442251,NA,NA,NA,NA,NA,NA,138480.075757504,1682322.05008244,376371.190952191,NA,NA,NA,NA,NA,NA,123011.586322326,1494403.45806897,334329.808759821,NA,NA,NA,NA,NA,NA,138480.075757504,1682322.05008244,376371.190952191,NA,NA,NA
"slaughter_animal",15,NA,NA,NA,254765.303062833,3548805.75213498,708857.036349759,NA,NA,NA,NA,NA,NA,117178.593203982,1631660.41619913,325626.610640234,NA,NA,NA,NA,NA,NA,142839.094545742,1988971.62086848,396934.362771214,NA,NA,NA,NA,NA,NA,117178.593203982,1631660.41619913,325626.610640234,NA,NA,NA
"slaughter_animal",16,NA,NA,NA,284687.555318759,3314991.95042579,590050.625415464,NA,NA,NA,NA,NA,NA,166041.714334025,1934607.21128032,344024.690201829,NA,NA,NA,NA,NA,NA,122723.378184621,1429890.87640369,254272.682800377,NA,NA,NA,NA,NA,NA,166041.714334025,1934607.21128032,344024.690201829,NA,NA,NA
"slaughter_animal",17,NA,NA,NA,275946.603750009,3698190.50500574,699577.316659169,NA,NA,NA,NA,NA,NA,174868.741132725,2343085.29994552,442910.003074273,NA,NA,NA,NA,NA,NA,135566.963245732,1816476.49935467,343365.908160589,NA,NA,NA,NA,NA,NA,174868.741132725,2343085.29994552,442910.003074273,NA,NA,NA
"slaughter_animal",18,NA,NA,NA,300893.129037998,3645569.32088724,789664.426716582,NA,NA,NA,NA,NA,NA,248698.985246329,3014384.70501699,652025.60127422,NA,NA,NA,NA,NA,NA,149405.647853184,1810888.36886777,391703.678560445,NA,NA,NA,NA,NA,NA,248698.985246329,3014384.70501699,652025.60127422,NA,NA,NA
"slaughter_animal",19,NA,NA,NA,349374.822360286,4120917.65331595,990105.255144854,NA,NA,NA,NA,NA,NA,236982.870410747,2795828.54209906,670571.710885401,NA,NA,NA,NA,NA,NA,130729.867101682,1542298.36576039,369915.979556896,NA,NA,NA,NA,NA,NA,236982.870410747,2795828.54209906,670571.710885401,NA,NA,NA
"slaughter_animal",20,NA,NA,NA,251269.302079673,3646585.56233577,755785.887404516,NA,NA,NA,NA,NA,NA,193908.35729026,2812788.45291533,582038.888506834,NA,NA,NA,NA,NA,NA,101237.580704945,1468528.2366747,303876.582588053,NA,NA,NA,NA,NA,NA,193908.35729026,2812788.45291533,582038.888506834,NA,NA,NA
"slaughter_animal",21,NA,NA,NA,287187.496651904,3313925.92798764,759555.617594555,NA,NA,NA,NA,NA,NA,240871.890925907,2780904.24605863,636205.549274905,NA,NA,NA,NA,NA,NA,94896.541121693,1095595.64267617,250646.540102874,NA,NA,NA,NA,NA,NA,240871.890925907,2780904.24605863,636205.549274905,NA,NA,NA
"slaughter_animal",22,NA,NA,NA,271657.71789879,3104660.66433475,710323.06456755,NA,NA,NA,NA,NA,NA,162404.155428451,1857381.96424294,424291.894877467,NA,NA,NA,NA,NA,NA,123022.504072769,1406982.35003866,321404.653888935,NA,NA,NA,NA,NA,NA,162404.155428451,1857381.96424294,424291.894877467,NA,NA,NA
"slaughter_animal",23,NA,NA,NA,264406.283667904,3586930.11156825,697542.473618827,NA,NA,NA,NA,NA,NA,161421.098967536,2190584.72230028,425406.156292079,NA,NA,NA,NA,NA,NA,109720.61774515,1488977.03268773,289155.671467357,NA,NA,NA,NA,NA,NA,161421.098967536,2190584.72230028,425406.156292079,NA,NA,NA
"slaughter_animal",24,NA,NA,NA,319812.329856452,4209710.35591848,752494.790417312,NA,NA,NA,NA,NA,NA,181564.448408376,2389847.31286417,426853.933266339,NA,NA,NA,NA,NA,NA,115937.504489202,1526030.7620383,272566.464625224,NA,NA,NA,NA,NA,NA,181564.448408376,2389847.31286417,426853.933266339,NA,NA,NA
"slaughter_animal",25,NA,NA,NA,274957.856413683,3261524.67447401,669834.827207054,NA,NA,NA,NA,NA,NA,175755.962420941,2085816.64349954,427573.332638573,NA,NA,NA,NA,NA,NA,122319.917841674,1451654.42441492,297575.878503509,NA,NA,NA,NA,NA,NA,175755.962420941,2085816.64349954,427573.332638573,NA,NA,NA
"slaughter_animal",26,NA,NA,NA,285189.808684538,3580391.1476187,706396.472256219,NA,NA,NA,NA,NA,NA,155072.352244634,1944976.26990451,383595.223441281,NA,NA,NA,NA,NA,NA,135598.383698994,1700726.36878491,335423.378444898,NA,NA,NA,NA,NA,NA,155072.352244634,1944976.26990451,383595.223441281,NA,NA,NA
"slaughter_animal",27,NA,NA,NA,298615.078502493,4397192.06680469,907618.357783954,NA,NA,NA,NA,NA,NA,153532.354217319,2258500.66284647,465691.019670375,NA,NA,NA,NA,NA,NA,112735.077817829,1658362.16917003,341945.60234055,NA,NA,NA,NA,NA,NA,153532.354217319,2258500.66284647,465691.019670375,NA,NA,NA
