"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"slaughter_waste",1,NA,NA,NA,113080.965157319,1280351.34385578,242194.312734817,NA,NA,NA,NA,NA,NA,65644.9298729452,743970.892776998,140564.47958307,NA,NA,NA,NA,NA,NA,48788.2267464626,552929.535911223,104469.480212268,NA,NA,NA,NA,NA,NA,65644.9298729452,743970.892776998,140564.47958307,NA,NA,NA
"slaughter_waste",2,NA,NA,NA,118794.435022569,1390448.85482119,314674.747242225,NA,NA,NA,NA,NA,NA,74922.6453051143,876977.573195801,198227.082682424,NA,NA,NA,NA,NA,NA,31062.1835212343,363586.178940684,82182.9768034104,NA,NA,NA,NA,NA,NA,74922.6453051143,876977.573195801,198227.082682424,NA,NA,NA
"slaughter_waste",3,NA,NA,NA,72982.8864182191,998285.328048778,202399.512313925,NA,NA,NA,NA,NA,NA,40216.3344308661,550290.010582353,111406.359033233,NA,NA,NA,NA,NA,NA,31804.372167695,435187.058800999,88103.7358248484,NA,NA,NA,NA,NA,NA,40216.3344308661,550290.010582353,111406.359033233,NA,NA,NA
"slaughter_waste",4,NA,NA,NA,73914.5847822506,991684.259572244,190913.059990255,NA,NA,NA,NA,NA,NA,26665.7725362278,357570.341061648,68756.3071980363,NA,NA,NA,NA,NA,NA,35818.0980443249,480296.961825826,92355.1023709949,NA,NA,NA,NA,NA,NA,26665.7725362278,357570.341061648,68756.3071980363,NA,NA,NA
"slaughter_waste",5,NA,NA,NA,79140.0640963632,1068831.34261146,181004.841033393,NA,NA,NA,NA,NA,NA,47429.1089316403,640194.406216537,108369.9501154,NA,NA,NA,NA,NA,NA,30818.9157800341,415991.316987917,70417.6072653346,NA,NA,NA,NA,NA,NA,47429.1089316403,640194.406216537,108369.9501154,NA,NA,NA
"slaughter_waste",6,NA,NA,NA,71955.699128594,919720.233337376,195535.815012739,NA,NA,NA,NA,NA,NA,39849.7731205927,509326.305164429,108054.545183493,NA,NA,NA,NA,NA,NA,26648.8738093962,340603.50589848,72259.6821420443,NA,NA,NA,NA,NA,NA,39849.7731205927,509326.305164429,108054.545183493,NA,NA,NA
"slaughter_waste",7,NA,NA,NA,77648.8874327424,937636.661149313,204530.77281186,NA,NA,NA,NA,NA,NA,47273.2064212251,570826.968531327,124317.155438013,NA,NA,NA,NA,NA,NA,39067.4741497101,471742.230436949,102738.054473484,NA,NA,NA,NA,NA,NA,47273.2064212251,570826.968531327,124317.155438013,NA,NA,NA
"slaughter_waste",8,NA,NA,NA,65790.6055516668,929956.899908596,190969.40774001,NA,NA,NA,NA,NA,NA,39856.627482031,562313.417669706,115369.115103528,NA,NA,NA,NA,NA,NA,32735.7834621236,461849.670722419,94757.0983507969,NA,NA,NA,NA,NA,NA,39856.627482031,562313.417669706,115369.115103528,NA,NA,NA
"slaughter_waste",9,NA,NA,NA,105152.381904632,1310095.28704087,262997.113617544,NA,NA,NA,NA,NA,NA,68381.3743520509,852204.30020312,170800.370681072,NA,NA,NA,NA,NA,NA,45043.5920320891,561356.70261196,112508.154285978,NA,NA,NA,NA,NA,NA,68381.3743520509,852204.30020312,170800.370681072,NA,NA,NA
"slaughter_waste",10,NA,NA,NA,66845.0404761474,957630.192839138,156372.051668635,NA,NA,NA,NA,NA,NA,30835.1813232108,441823.327731153,72054.5565563206,NA,NA,NA,NA,NA,NA,22617.3022786934,324073.066161985,52851.3086759373,NA,NA,NA,NA,NA,NA,30835.1813232108,441823.327731153,72054.5565563206,NA,NA,NA
