"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"straw",1,NA,NA,NA,225462.228287595,92368.4336736798,23611.6850572622,NA,NA,NA,NA,NA,NA,225462.228287595,92368.4336736798,23611.6850572622,NA,NA,NA,NA,NA,NA,225462.228287595,92368.4336736798,23611.6850572622,NA,NA,NA,NA,NA,NA,225462.228287595,92368.4336736798,23611.6850572622,NA,NA,NA
"straw",2,NA,NA,NA,208684.998360213,91369.3742095872,22562.025295743,NA,NA,NA,NA,NA,NA,208684.998360213,91369.3742095872,22562.025295743,NA,NA,NA,NA,NA,NA,208684.998360213,91369.3742095872,22562.025295743,NA,NA,NA,NA,NA,NA,208684.998360213,91369.3742095872,22562.025295743,NA,NA,NA
"straw",3,NA,NA,NA,225541.056680755,92049.1280685706,23736.6907609777,NA,NA,NA,NA,NA,NA,225541.056680755,92049.1280685706,23736.6907609777,NA,NA,NA,NA,NA,NA,225541.056680755,92049.1280685706,23736.6907609777,NA,NA,NA,NA,NA,NA,225541.056680755,92049.1280685706,23736.6907609777,NA,NA,NA
"straw",4,NA,NA,NA,231383.677810111,92216.9863177363,23188.3321238428,NA,NA,NA,NA,NA,NA,231383.677810111,92216.9863177363,23188.3321238428,NA,NA,NA,NA,NA,NA,231383.677810111,92216.9863177363,23188.3321238428,NA,NA,NA,NA,NA,NA,231383.677810111,92216.9863177363,23188.3321238428,NA,NA,NA
"straw",5,NA,NA,NA,222550.819694656,91701.1593492709,23527.2545768583,NA,NA,NA,NA,NA,NA,222550.819694656,91701.1593492709,23527.2545768583,NA,NA,NA,NA,NA,NA,222550.819694656,91701.1593492709,23527.2545768583,NA,NA,NA,NA,NA,NA,222550.819694656,91701.1593492709,23527.2545768583,NA,NA,NA
"straw",6,NA,NA,NA,232299.284077956,91943.5216879522,23445.7622615105,NA,NA,NA,NA,NA,NA,232299.284077956,91943.5216879522,23445.7622615105,NA,NA,NA,NA,NA,NA,232299.284077956,91943.5216879522,23445.7622615105,NA,NA,NA,NA,NA,NA,232299.284077956,91943.5216879522,23445.7622615105,NA,NA,NA
"straw",7,NA,NA,NA,231197.760706984,92297.6092005452,23132.543748652,NA,NA,NA,NA,NA,NA,231197.760706984,92297.6092005452,23132.543748652,NA,NA,NA,NA,NA,NA,231197.760706984,92297.6092005452,23132.543748652,NA,NA,NA,NA,NA,NA,231197.760706984,92297.6092005452,23132.543748652,NA,NA,NA
"straw",8,NA,NA,NA,216720.658661483,91102.323030798,24272.7067591012,NA,NA,NA,NA,NA,NA,216720.658661483,91102.323030798,24272.7067591012,NA,NA,NA,NA,NA,NA,216720.658661483,91102.323030798,24272.7067591012,NA,NA,NA,NA,NA,NA,216720.658661483,91102.323030798,24272.7067591012,NA,NA,NA
"straw",9,NA,NA,NA,221186.664861665,92308.2747953377,26128.1600728617,NA,NA,NA,NA,NA,NA,221186.664861665,92308.2747953377,26128.1600728617,NA,NA,NA,NA,NA,NA,221186.664861665,92308.2747953377,26128.1600728617,NA,NA,NA,NA,NA,NA,221186.664861665,92308.2747953377,26128.1600728617,NA,NA,NA
"straw",10,NA,NA,NA,220795.901951551,92392.3993709384,23221.1213256057,NA,NA,NA,NA,NA,NA,220795.901951551,92392.3993709384,23221.1213256057,NA,NA,NA,NA,NA,NA,220795.901951551,92392.3993709384,23221.1213256057,NA,NA,NA,NA,NA,NA,220795.901951551,92392.3993709384,23221.1213256057,NA,NA,NA
