"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"total_input",1,NA,NA,NA,9093701.75696984,19835534.5580987,3244697.50512274,NA,NA,NA,NA,NA,NA,2069079.04732008,7595035.96846231,1036627.02859344,NA,NA,NA,NA,NA,NA,2669946.00854858,9184451.12810753,1094915.80683673,NA,NA,NA,NA,NA,NA,1967885.43038684,8408633.81799758,829252.299443564,NA,NA,NA
"total_input",2,NA,NA,NA,9094821.80135537,20010731.8849473,3637074.84954416,NA,NA,NA,NA,NA,NA,3803798.03905917,9246487.07866897,1314175.74569993,NA,NA,NA,NA,NA,NA,5077480.99444539,12012792.0854714,1543017.48112737,NA,NA,NA,NA,NA,NA,3368602.00701944,10409490.6147822,721977.353705207,NA,NA,NA
"total_input",3,NA,NA,NA,7893891.39076982,20858530.1102014,3171872.51877765,NA,NA,NA,NA,NA,NA,3431531.02646647,11340229.7887458,1263918.17709356,NA,NA,NA,NA,NA,NA,3621182.43629311,12286972.0297945,1279296.24529796,NA,NA,NA,NA,NA,NA,3301552.8594372,12134063.3533719,982409.784561635,NA,NA,NA
"total_input",4,NA,NA,NA,9483873.18779121,18579812.7651387,2987498.42531503,NA,NA,NA,NA,NA,NA,3988731.43942491,10631851.9392923,1040611.2335051,NA,NA,NA,NA,NA,NA,3091613.65465605,9313563.87924922,980701.102141082,NA,NA,NA,NA,NA,NA,3610193.14209254,10186282.12668,776148.074467297,NA,NA,NA
"total_input",5,NA,NA,NA,7393891.99848559,19052854.9321811,2884645.72338963,NA,NA,NA,NA,NA,NA,2163679.56975428,8852217.71703207,1141012.36015435,NA,NA,NA,NA,NA,NA,2797182.69216906,10441159.7484433,1173009.9054195,NA,NA,NA,NA,NA,NA,1898938.09010399,9451350.28488057,712084.162763942,NA,NA,NA
"total_input",6,NA,NA,NA,7911338.77086209,20245100.0458255,3332261.41731949,NA,NA,NA,NA,NA,NA,3527718.93449865,10284485.7526013,1297248.52231797,NA,NA,NA,NA,NA,NA,3916079.17319495,11556107.8575251,1343315.1710089,NA,NA,NA,NA,NA,NA,3296979.89280046,11265181.4591763,955342.907935585,NA,NA,NA
"total_input",7,NA,NA,NA,9142358.66854034,18718902.9750477,3109299.13237549,NA,NA,NA,NA,NA,NA,1332030.82866364,6713109.59955291,688778.47198889,NA,NA,NA,NA,NA,NA,2128517.89196402,7812247.7697932,662638.87391426,NA,NA,NA,NA,NA,NA,1504382.1049329,7757602.88266715,518605.807022512,NA,NA,NA
"total_input",8,NA,NA,NA,8543882.33751979,17199886.9660694,2945526.70043749,NA,NA,NA,NA,NA,NA,2356115.83621724,8999262.41849072,1028889.42083602,NA,NA,NA,NA,NA,NA,2900231.83141151,9554331.14261058,1093855.4588888,NA,NA,NA,NA,NA,NA,2221772.66559316,9387802.95903749,777757.182421128,NA,NA,NA
"total_input",9,NA,NA,NA,10162917.6131748,20801168.5554904,3722706.59412533,NA,NA,NA,NA,NA,NA,2989493.65206217,8274337.27681563,1340556.88037093,NA,NA,NA,NA,NA,NA,3715748.91485024,10399864.1549843,1365578.6491502,NA,NA,NA,NA,NA,NA,3086351.01382404,9221036.31757127,1142692.02706696,NA,NA,NA
"total_input",10,NA,NA,NA,9300927.79185645,21055615.2603967,3375087.1835216,NA,NA,NA,NA,NA,NA,3073071.96743236,8718089.64025307,1014741.4904218,NA,NA,NA,NA,NA,NA,3732956.30455203,10087659.0013823,1227841.9544587,NA,NA,NA,NA,NA,NA,2849300.33745217,9082867.62622094,762484.103311612,NA,NA,NA
"total_input",11,NA,NA,NA,8403853.25533197,20779870.4109369,3520352.58565898,NA,NA,NA,NA,NA,NA,1967031.01030507,10384543.7144615,1218934.35241286,NA,NA,NA,NA,NA,NA,2517147.32337364,11818361.3817855,1189566.30805864,NA,NA,NA,NA,NA,NA,1734688.80666233,11409682.6244031,913728.181314145,NA,NA,NA
"total_input",12,NA,NA,NA,8308273.19802218,19741023.0909298,3091193.13218136,NA,NA,NA,NA,NA,NA,3305717.30956425,9586434.91268117,1125193.29788631,NA,NA,NA,NA,NA,NA,3351964.97953677,9676979.99558559,1128578.91719574,NA,NA,NA,NA,NA,NA,3211112.58593247,9544108.01432144,923248.958720055,NA,NA,NA
