"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"use_efficiency",1,NA,NA,NA,33.1205085940921,43.2964780485335,40.8841366559836,NA,NA,NA,NA,NA,NA,45.4487023807484,53.9364909228971,57.6352631999918,NA,NA,NA,NA,NA,NA,45.1783562209282,51.762942913791,54.1344134553851,NA,NA,NA,NA,NA,NA,40.8153237771859,51.7687116846758,50.1355682359532,NA,NA,NA
"use_efficiency",2,NA,NA,NA,32.8108711778982,44.4111834719365,40.583483817819,NA,NA,NA,NA,NA,NA,50.092935990201,62.446370865541,73.2898700961848,NA,NA,NA,NA,NA,NA,49.4002856904017,54.7085351436975,62.7834184316694,NA,NA,NA,NA,NA,NA,40.3688255375335,54.1870751538527,49.1791089826617,NA,NA,NA
"use_efficiency",3,NA,NA,NA,37.6924459790678,42.8454999396032,45.1942614980989,NA,NA,NA,NA,NA,NA,50.7250841367117,52.3655493465029,63.1699752816851,NA,NA,NA,NA,NA,NA,50.4245743850181,50.0559223220721,59.8351928782561,NA,NA,NA,NA,NA,NA,45.4683586378998,50.1692168434754,54.3232574001926,NA,NA,NA
"use_efficiency",4,NA,NA,NA,31.296914265837,45.207176454014,43.9779915681974,NA,NA,NA,NA,NA,NA,42.9993699278479,50.7100568702812,56.0805839973714,NA,NA,NA,NA,NA,NA,42.8971688842188,52.7104304938707,58.9191216346558,NA,NA,NA,NA,NA,NA,40.3641868743258,54.3626758180692,46.9329016202288,NA,NA,NA
"use_efficiency",5,NA,NA,NA,38.3844167936204,48.1429842289518,48.3532786271553,NA,NA,NA,NA,NA,NA,52.2570153015329,63.3333804913016,74.9182053198929,NA,NA,NA,NA,NA,NA,51.7077642588234,58.6406366629975,68.540327481332,NA,NA,NA,NA,NA,NA,44.4762203308693,56.261043982588,55.6894501264214,NA,NA,NA
"use_efficiency",6,NA,NA,NA,37.3100279678575,43.9655439127139,44.036249746788,NA,NA,NA,NA,NA,NA,52.4229282510991,55.2730331439209,65.9428349416253,NA,NA,NA,NA,NA,NA,51.7209023707133,51.7713010308828,60.0546758210755,NA,NA,NA,NA,NA,NA,44.6114506952943,52.2405483653105,52.1429710945504,NA,NA,NA
"use_efficiency",7,NA,NA,NA,32.3526453100649,47.1528582420288,46.896393113031,NA,NA,NA,NA,NA,NA,42.3790292216467,53.3864809868271,61.6527598922892,NA,NA,NA,NA,NA,NA,42.4892550258148,51.593410463053,58.6437668764954,NA,NA,NA,NA,NA,NA,38.8693603773412,54.1902388264442,56.3188795797684,NA,NA,NA
"use_efficiency",8,NA,NA,NA,33.0467141950104,50.08031484252,46.8615101184845,NA,NA,NA,NA,NA,NA,45.8026476195853,60.6579136865626,64.6953328053667,NA,NA,NA,NA,NA,NA,45.6580671566876,58.7495994637864,62.1615417422279,NA,NA,NA,NA,NA,NA,40.9930216867782,57.4776171175321,55.2670982287875,NA,NA,NA
"use_efficiency",9,NA,NA,NA,30.4820287740813,43.5007642741714,39.3908320238807,NA,NA,NA,NA,NA,NA,43.0330636125427,54.6982240035025,58.7224143544606,NA,NA,NA,NA,NA,NA,42.2189387723784,50.6082154174474,52.9726073399985,NA,NA,NA,NA,NA,NA,39.0061154333121,53.9979160276556,52.0868072420277,NA,NA,NA
"use_efficiency",10,NA,NA,NA,32.832852651118,44.0273704612358,39.9475950607077,NA,NA,NA,NA,NA,NA,46.7689815687063,52.9278967091335,54.329067182803,NA,NA,NA,NA,NA,NA,46.7993533194486,50.2659879142469,52.1269014467606,NA,NA,NA,NA,NA,NA,40.2402567768576,51.5299033621538,43.0121714815332,NA,NA,NA
