"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"vegetal_biogas_substrate",1,NA,NA,NA,350543.923724505,1731537.59700278,225337.599493791,NA,NA,NA,NA,NA,NA,0,629689.927441875,81387.7180044702,NA,NA,NA,NA,NA,NA,0,629689.927441875,81387.7180044702,NA,NA,NA,NA,NA,NA,158114.783784346,0,358051.845984635,NA,NA,NA
"vegetal_biogas_substrate",2,NA,NA,NA,355530.381177157,1803973.06322197,218350.828592278,NA,NA,NA,NA,NA,NA,0,1442687.46394352,254316.691690064,NA,NA,NA,NA,NA,NA,0,1442687.46394352,254316.691690064,NA,NA,NA,NA,NA,NA,588398.426419727,0,978080.793323821,NA,NA,NA
"vegetal_biogas_substrate",3,NA,NA,NA,375573.465593843,1513379.83576197,213330.731395802,NA,NA,NA,NA,NA,NA,0,509805.5368576,75716.6921403609,NA,NA,NA,NA,NA,NA,0,509805.5368576,75716.6921403609,NA,NA,NA,NA,NA,NA,185734.295582727,0,369510.135010205,NA,NA,NA
"vegetal_biogas_substrate",4,NA,NA,NA,299516.211037612,1661706.76046862,233238.543914676,NA,NA,NA,NA,NA,NA,0,671819.628642347,92287.7595065748,NA,NA,NA,NA,NA,NA,0,671819.628642347,92287.7595065748,NA,NA,NA,NA,NA,NA,471450.509912855,1741872.11500893,423848.599359495,NA,NA,NA
"vegetal_biogas_substrate",5,NA,NA,NA,350929.048641515,1981971.39360026,230135.234492763,NA,NA,NA,NA,NA,NA,0,621435.203412199,90856.7176829506,NA,NA,NA,NA,NA,NA,0,621435.203412199,90856.7176829506,NA,NA,NA,NA,NA,NA,320688.130867195,51603.4116848853,635355.112399491,NA,NA,NA
"vegetal_biogas_substrate",6,NA,NA,NA,376498.640753651,1661086.48459669,231150.984115255,NA,NA,NA,NA,NA,NA,0,1097457.69297869,189815.323741583,NA,NA,NA,NA,NA,NA,0,1097457.69297869,189815.323741583,NA,NA,NA,NA,NA,NA,353974.184336392,0,623978.982690291,NA,NA,NA
"vegetal_biogas_substrate",7,NA,NA,NA,364718.798801737,1919613.22008618,211729.992402546,NA,NA,NA,NA,NA,NA,12100.0299425381,1481404.15935763,128829.113275434,NA,NA,NA,NA,NA,NA,12100.0299425381,1481404.15935763,128829.113275434,NA,NA,NA,NA,NA,NA,121168.786317277,213623.061208198,308972.353785075,NA,NA,NA
"vegetal_biogas_substrate",8,NA,NA,NA,341652.87783934,1652893.04683305,223531.758777456,NA,NA,NA,NA,NA,NA,0,453205.121539977,65389.867177671,NA,NA,NA,NA,NA,NA,0,453205.121539977,65389.867177671,NA,NA,NA,NA,NA,NA,177295.196460575,76392.7318484073,386437.141037769,NA,NA,NA
"vegetal_biogas_substrate",9,NA,NA,NA,346426.269785973,1844496.26812391,232778.381838277,NA,NA,NA,NA,NA,NA,0,1038360.7308997,117009.222444263,NA,NA,NA,NA,NA,NA,0,1038360.7308997,117009.222444263,NA,NA,NA,NA,NA,NA,131369.313260999,0,374456.795476175,NA,NA,NA
"vegetal_biogas_substrate",10,NA,NA,NA,372031.799305198,1723626.95543421,224566.707738907,NA,NA,NA,NA,NA,NA,0,1460317.11960609,237848.587567687,NA,NA,NA,NA,NA,NA,0,1460317.11960609,237848.587567687,NA,NA,NA,NA,NA,NA,385819.037489782,438583.144482315,620219.820587142,NA,NA,NA
