"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"wastewater_direct_discharge",1,NA,NA,NA,440145.167698596,920969.0854374,132439.771215481,NA,NA,NA,NA,NA,NA,440145.167698596,920969.0854374,132439.771215481,NA,NA,NA,NA,NA,NA,440145.167698596,920969.0854374,132439.771215481,NA,NA,NA,NA,NA,NA,440145.167698596,920969.0854374,132439.771215481,NA,NA,NA
"wastewater_direct_discharge",2,NA,NA,NA,469837.688050151,994379.922941515,142886.234641062,NA,NA,NA,NA,NA,NA,469837.688050151,994379.922941515,142886.234641062,NA,NA,NA,NA,NA,NA,469837.688050151,994379.922941515,142886.234641062,NA,NA,NA,NA,NA,NA,469837.688050151,994379.922941515,142886.234641062,NA,NA,NA
"wastewater_direct_discharge",3,NA,NA,NA,427090.206316161,959592.311853519,128207.651881746,NA,NA,NA,NA,NA,NA,427090.206316161,959592.311853519,128207.651881746,NA,NA,NA,NA,NA,NA,427090.206316161,959592.311853519,128207.651881746,NA,NA,NA,NA,NA,NA,427090.206316161,959592.311853519,128207.651881746,NA,NA,NA
"wastewater_direct_discharge",4,NA,NA,NA,397805.21940551,973137.535176654,134230.99232034,NA,NA,NA,NA,NA,NA,397805.21940551,973137.535176654,134230.99232034,NA,NA,NA,NA,NA,NA,397805.21940551,973137.535176654,134230.99232034,NA,NA,NA,NA,NA,NA,397805.21940551,973137.535176654,134230.99232034,NA,NA,NA
"wastewater_direct_discharge",5,NA,NA,NA,472533.725503209,936617.398747806,135548.22222951,NA,NA,NA,NA,NA,NA,472533.725503209,936617.398747806,135548.22222951,NA,NA,NA,NA,NA,NA,472533.725503209,936617.398747806,135548.22222951,NA,NA,NA,NA,NA,NA,472533.725503209,936617.398747806,135548.22222951,NA,NA,NA
"wastewater_direct_discharge",6,NA,NA,NA,413864.397377807,973497.344376959,141803.019215988,NA,NA,NA,NA,NA,NA,413864.397377807,973497.344376959,141803.019215988,NA,NA,NA,NA,NA,NA,413864.397377807,973497.344376959,141803.019215988,NA,NA,NA,NA,NA,NA,413864.397377807,973497.344376959,141803.019215988,NA,NA,NA
"wastewater_direct_discharge",7,NA,NA,NA,463943.008961122,984698.683213559,138033.592182369,NA,NA,NA,NA,NA,NA,463943.008961122,984698.683213559,138033.592182369,NA,NA,NA,NA,NA,NA,463943.008961122,984698.683213559,138033.592182369,NA,NA,NA,NA,NA,NA,463943.008961122,984698.683213559,138033.592182369,NA,NA,NA
"wastewater_direct_discharge",8,NA,NA,NA,484421.024886315,994123.025269247,140058.530017877,NA,NA,NA,NA,NA,NA,484421.024886315,994123.025269247,140058.530017877,NA,NA,NA,NA,NA,NA,484421.024886315,994123.025269247,140058.530017877,NA,NA,NA,NA,NA,NA,484421.024886315,994123.025269247,140058.530017877,NA,NA,NA
"wastewater_direct_discharge",9,NA,NA,NA,455461.681759736,1017208.02826999,138843.985167698,NA,NA,NA,NA,NA,NA,455461.681759736,1017208.02826999,138843.985167698,NA,NA,NA,NA,NA,NA,455461.681759736,1017208.02826999,138843.985167698,NA,NA,NA,NA,NA,NA,455461.681759736,1017208.02826999,138843.985167698,NA,NA,NA
"wastewater_direct_discharge",10,NA,NA,NA,423710.468687278,934954.982221453,137040.18363327,NA,NA,NA,NA,NA,NA,423710.468687278,934954.982221453,137040.18363327,NA,NA,NA,NA,NA,NA,423710.468687278,934954.982221453,137040.18363327,NA,NA,NA,NA,NA,NA,423710.468687278,934954.982221453,137040.18363327,NA,NA,NA
"wastewater_direct_discharge",11,NA,NA,NA,427509.921766618,947020.835630437,136720.937412674,NA,NA,NA,NA,NA,NA,427509.921766618,947020.835630437,136720.937412674,NA,NA,NA,NA,NA,NA,427509.921766618,947020.835630437,136720.937412674,NA,NA,NA,NA,NA,NA,427509.921766618,947020.835630437,136720.937412674,NA,NA,NA
"wastewater_direct_discharge",12,NA,NA,NA,462302.120422493,1001819.17976309,136090.444106089,NA,NA,NA,NA,NA,NA,462302.120422493,1001819.17976309,136090.444106089,NA,NA,NA,NA,NA,NA,462302.120422493,1001819.17976309,136090.444106089,NA,NA,NA,NA,NA,NA,462302.120422493,1001819.17976309,136090.444106089,NA,NA,NA
"wastewater_direct_discharge",13,NA,NA,NA,437477.040305998,943457.307484184,144910.801431313,NA,NA,NA,NA,NA,NA,437477.040305998,943457.307484184,144910.801431313,NA,NA,NA,NA,NA,NA,437477.040305998,943457.307484184,144910.801431313,NA,NA,NA,NA,NA,NA,437477.040305998,943457.307484184,144910.801431313,NA,NA,NA
"wastewater_direct_discharge",14,NA,NA,NA,502056.143830702,959114.535464976,137488.308988351,NA,NA,NA,NA,NA,NA,502056.143830702,959114.535464976,137488.308988351,NA,NA,NA,NA,NA,NA,502056.143830702,959114.535464976,137488.308988351,NA,NA,NA,NA,NA,NA,502056.143830702,959114.535464976,137488.308988351,NA,NA,NA
"wastewater_direct_discharge",15,NA,NA,NA,421163.229082462,989664.628622789,136994.314685449,NA,NA,NA,NA,NA,NA,421163.229082462,989664.628622789,136994.314685449,NA,NA,NA,NA,NA,NA,421163.229082462,989664.628622789,136994.314685449,NA,NA,NA,NA,NA,NA,421163.229082462,989664.628622789,136994.314685449,NA,NA,NA
"wastewater_direct_discharge",16,NA,NA,NA,419216.300156227,1041762.32528366,134294.139122044,NA,NA,NA,NA,NA,NA,419216.300156227,1041762.32528366,134294.139122044,NA,NA,NA,NA,NA,NA,419216.300156227,1041762.32528366,134294.139122044,NA,NA,NA,NA,NA,NA,419216.300156227,1041762.32528366,134294.139122044,NA,NA,NA
