"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"wastewater_effluent_gaseous_losses",1,NA,NA,NA,852948.822981028,1683059.37594646,18664.9949610901,NA,NA,NA,NA,NA,NA,852948.822981028,1683059.37594646,18664.9949610901,NA,NA,NA,NA,NA,NA,852948.822981028,1683059.37594646,18664.9949610901,NA,NA,NA,NA,NA,NA,852948.822981028,1683059.37594646,18664.9949610901,NA,NA,NA
"wastewater_effluent_gaseous_losses",2,NA,NA,NA,895385.214147368,1396544.932689,14853.0187256464,NA,NA,NA,NA,NA,NA,895385.214147368,1396544.932689,14853.0187256464,NA,NA,NA,NA,NA,NA,895385.214147368,1396544.932689,14853.0187256464,NA,NA,NA,NA,NA,NA,895385.214147368,1396544.932689,14853.0187256464,NA,NA,NA
"wastewater_effluent_gaseous_losses",3,NA,NA,NA,829573.697749685,1777280.74202842,23508.0789052608,NA,NA,NA,NA,NA,NA,829573.697749685,1777280.74202842,23508.0789052608,NA,NA,NA,NA,NA,NA,829573.697749685,1777280.74202842,23508.0789052608,NA,NA,NA,NA,NA,NA,829573.697749685,1777280.74202842,23508.0789052608,NA,NA,NA
"wastewater_effluent_gaseous_losses",4,NA,NA,NA,758051.740261536,1234814.7088491,20344.872618221,NA,NA,NA,NA,NA,NA,758051.740261536,1234814.7088491,20344.872618221,NA,NA,NA,NA,NA,NA,758051.740261536,1234814.7088491,20344.872618221,NA,NA,NA,NA,NA,NA,758051.740261536,1234814.7088491,20344.872618221,NA,NA,NA
"wastewater_effluent_gaseous_losses",5,NA,NA,NA,889007.514265311,1068336.25217694,25931.9408619469,NA,NA,NA,NA,NA,NA,889007.514265311,1068336.25217694,25931.9408619469,NA,NA,NA,NA,NA,NA,889007.514265311,1068336.25217694,25931.9408619469,NA,NA,NA,NA,NA,NA,889007.514265311,1068336.25217694,25931.9408619469,NA,NA,NA
"wastewater_effluent_gaseous_losses",6,NA,NA,NA,796270.651213127,1440192.10994259,22165.4297384233,NA,NA,NA,NA,NA,NA,796270.651213127,1440192.10994259,22165.4297384233,NA,NA,NA,NA,NA,NA,796270.651213127,1440192.10994259,22165.4297384233,NA,NA,NA,NA,NA,NA,796270.651213127,1440192.10994259,22165.4297384233,NA,NA,NA
"wastewater_effluent_gaseous_losses",7,NA,NA,NA,893652.786485606,1062537.86588927,21849.6035447301,NA,NA,NA,NA,NA,NA,893652.786485606,1062537.86588927,21849.6035447301,NA,NA,NA,NA,NA,NA,893652.786485606,1062537.86588927,21849.6035447301,NA,NA,NA,NA,NA,NA,893652.786485606,1062537.86588927,21849.6035447301,NA,NA,NA
"wastewater_effluent_gaseous_losses",8,NA,NA,NA,935977.413459927,1710437.42244378,26525.7682950438,NA,NA,NA,NA,NA,NA,935977.413459927,1710437.42244378,26525.7682950438,NA,NA,NA,NA,NA,NA,935977.413459927,1710437.42244378,26525.7682950438,NA,NA,NA,NA,NA,NA,935977.413459927,1710437.42244378,26525.7682950438,NA,NA,NA
"wastewater_effluent_gaseous_losses",9,NA,NA,NA,867340.869259904,1315479.79296874,23699.6600396424,NA,NA,NA,NA,NA,NA,867340.869259904,1315479.79296874,23699.6600396424,NA,NA,NA,NA,NA,NA,867340.869259904,1315479.79296874,23699.6600396424,NA,NA,NA,NA,NA,NA,867340.869259904,1315479.79296874,23699.6600396424,NA,NA,NA
"wastewater_effluent_gaseous_losses",10,NA,NA,NA,808427.567359746,1175666.10691473,27699.2780954759,NA,NA,NA,NA,NA,NA,808427.567359746,1175666.10691473,27699.2780954759,NA,NA,NA,NA,NA,NA,808427.567359746,1175666.10691473,27699.2780954759,NA,NA,NA,NA,NA,NA,808427.567359746,1175666.10691473,27699.2780954759,NA,NA,NA
