description,variable,unit,lower,median,upper,distribution,subsystem,,version
Winter wheat,share_winter_wheat,,0.211,0.211,0.211,const,crop,no,2020
Summer wheat (weizen),share_summer_wheat,,0.001,0.001,0.001,const,crop,no,
Rye (rogge),share_rye,,0.001,0.001,0.001,const,crop,no,
Winter barley (gerste),share_winter_barley,,0.071,0.071,0.071,const,crop,no,
Summer barley,share_summer_barley,,0.003,0.003,0.003,const,crop,no,
Common oat (hafer),share_oat,,0.001,0.001,0.001,const,crop,no,
Triticale,share_triticale,,0.014,0.014,0.014,const,crop,no,
Corn mais 2,share_corn,,0.041,0.041,0.041,const,crop,no,
Fodder peas (erbsen),share_fodder_peas,,0.006,0.006,0.006,const,crop,no,
Beans (ackerbohnen),share_beans,,0.015,0.015,0.015,const,crop,no,
winter koolzaad (raps),share_oilseed_rape,,0.022,0.022,0.022,const,crop,no,
Potato 3,share_potato,,0.119,0.119,0.119,const,crop,no,
Sugar beet 4,share_sugar_beet,,0.071,0.071,0.071,const,crop,no,
Mais silage 5,share_mais_silage,,0.33,0.33,0.33,const,crop,no,
total share of arable land,share_crop_land,,0.906,0.906,0.906,const,crop,no,
arable land in ha,arable_land,,49585,49585,49585,const,crop,no,
Winter wheat,yield_winter_wheat,,82.5,82.5,82.5,const,crop,no,
Summer wheat (weizen),yield_summer_wheat,,67.1,67.1,67.1,const,crop,no,
Rye (rogge),yield_rye,,50.2,50.2,50.2,const,crop,no,
Winter barley (gerste),yield_winter_barley,,69.1,69.1,69.1,const,crop,no,
Summer barley,yield_summer_barley,,62.2,62.2,62.2,const,crop,no,
Common oat (hafer),yield_oat,,58.8,58.8,58.8,const,crop,no,
Triticale,yield_triticale,,70,70,70,const,crop,no,
Corn mais 2,yield_corn,,73,73,73,const,crop,no,
Fodder peas (erbsen),yield_fodder_peas,,50.4,50.4,50.4,const,crop,no,
Beans (ackerbohnen),yield_beans,,42,42,42,const,crop,no,
winter koolzaad (raps),yield_oilseed_rape,,39.8,39.8,39.8,const,crop,no,
Potato 3,yield_potato,,605,605,605,const,crop,no,
Sugar beet 4,yield_sugar_beet,,678,678,678,const,crop,no,
Mais silage 5,yield_mais_silage,,413,413,413,const,crop,no,
Winter wheat,dm_winter_wheat,,0.86,0.86,0.86,const,crop,no,
Summer wheat,dm_summer_wheat,,0.86,0.86,0.86,const,crop,no,
Rye,dm_rye,,0.86,0.86,0.86,const,crop,no,
Winter barley,dm_winter_barley,,0.86,0.86,0.86,const,crop,no,
Summer barley,dm_summer_barley,,0.86,0.86,0.86,const,crop,no,
Oat,dm_oat,,0.86,0.86,0.86,const,crop,no,
Triticale,dm_triticale,,0.86,0.86,0.86,const,crop,no,
Corn,dm_corn,,0.86,0.86,0.86,const,crop,no,
Fodder peas,dm_fodder_peas,,0.86,0.86,0.86,const,crop,no,
Beans,dm_beans,,0.86,0.86,0.86,const,crop,no,
Oilseed rape,dm_oilseed_rape,,0.91,0.91,0.91,const,crop,no,
Potato,dm_potato,,0.22,0.22,0.22,const,crop,no,
Sugar beet,dm_sugar_beet,,0.23,0.23,0.23,const,crop,no,
Mais silage,dm_mais_silage,,0.33,0.33,0.33,const,crop,no,
Winter wheat,N_yield_winter_weat,kg N / FM dt,1.75,1.75,1.75,const,crop,no,
Winter wheat,P_yield_winter_weat,kg P / FM dt,0.35,0.35,0.35,const,crop,no,
Winter wheat,K_yield_winter_weat,percent,0,,0,const,crop,yes,
Summer wheat,N_yield_summer_weat,kg N / FM dt,1.75,1.75,1.75,const,crop,no,
,P_yield_summer_weat,kg P / FM dt,0.35,0.35,0.35,const,crop,no,
,K_yield_summer_weat,percent,0,,0,const,crop,yes,
Rye,N_yield_rye,kg N / FM dt,1.58,1.58,1.58,const,crop,no,
,P_yield_rye,kg P / FM dt,0.35,0.35,0.35,const,crop,no,
