description,variable,unit,lower,median,upper,distribution,subsystem,,version
total waste water,waste_water,m3,24621300.00000,27357000.00000,30092700.00000,posnorm,waste,,unchanged
direct discharge of wastewater to ground and surface water,wastewater_direct_discharge,m3,11570400.00000,12856000.00000,14141600.00000,posnorm,consumption,,unchanged
taken from Nährstoffreport,import_organic_N_kg,kg import / FM dt,5698800.00000,6332000.00000,6965200.00000,posnorm,crop,no,2020
taken from Nährstoffreport,export_manure_N_kg,kg export / FM dt,5084567.10000,5649519.00000,6214470.90000,posnorm,crop,,2020
,N_biogas_input,kg N,2560662.00000,2845180.00000,3129698.00000,posnorm,animal,,2020
calculated from total export - animal derived export,export_other_organic_N_kg,kg export / FM dt,1958832.90000,2176481.00000,2394129.10000,posnorm,crop,,2020
taken from Nährstoffreport,import_organic_P_kg,kg P import,1241121.60000,1379024.00000,1516926.40000,posnorm,crop,no,2020
,K_biogas_input,kg K,1162311.00000,1162311.00000,1162311.00000,const,animal,,2020
taken from Nährstoffreport,export_manure_P_kg,kg export / FM dt,1142341.20000,1269268.00000,1396194.80000,posnorm,crop,,2020
amount of waste water remaining in channel,wastewater_remain_canal,m3,990900.00000,1101000.00000,1211100.00000,posnorm,consumption,,unchanged
,n_slaughter_poultry,individuals,827415.90000,919351.00000,1011286.10000,posnorm,animal,no,2020
,n_slaughter_pig,individuals,774240.30000,860267.00000,946293.70000,posnorm,animal,no,2020
calculated from total export - animal derived export,export_other_organic_P_kg,kg export / FM dt,440088.30000,488987.00000,537885.70000,posnorm,crop,,2020
,P_biogas_input,kg P,431385.30000,479317.00000,527248.70000,posnorm,animal,,2020
calculated on LLU units in Nährstoffreport,n_other_poultry_2016,individuals,370124.00000,435440.00000,500756.00000,posnorm,animal,,
,population,persons,313586.00000,313586.00000,313586.00000,const,consumption,,2020
,n_pig_2016,individuals,310630.80000,365448.00000,420265.20000,posnorm,animal,,
number of chicken in Kleve (assuming that the number of eggs in correct),n_chicken_2016,individuals,165704.10000,194946.00000,224187.90000,posnorm,animal,,2016
,n_slaughter_import_pig,individuals,160102.80000,177892.00000,195681.20000,posnorm,animal,no,2020
,n_chicken_2020,individuals,113278.50000,125865.00000,138451.50000,posnorm,animal,,2020
,LLU_cattle_2016,livestock units,91541.70000,101713.00000,111884.30000,posnorm,animal,no,2020
,LLU_cattle_2020,livestock units,78751.80000,87502.00000,96252.20000,posnorm,animal,no,2020
arable land in ha,arable_land,share of total agricultural area,49585.00000,49585.00000,49585.00000,const,crop,no,2020
taken IT.NRW for 2016,n_dairy_cow_2016,individuals,48274.90000,56794.00000,65313.10000,posnorm,animal,,
,LLU_pig_2016,livestock units,37026.90000,41141.00000,45255.10000,posnorm,animal,no,2020
,LLU_pig_2020,livestock units,34828.20000,38698.00000,42567.80000,posnorm,animal,no,2020
Regionalstatistik 2016,n_heifer_2016,individuals,34712.30000,40838.00000,46963.70000,posnorm,animal,,
fresh mass municipal organic waste,ofmsw_local,ton,27534.60000,30594.00000,33653.40000,posnorm,waste,,2020
,area_grassland,kg area / FM dt,21774.00000,21774.00000,21774.00000,const,crop,no,2020
fresh matter compost to export,compost_to_export,kg compost / FM dt,20864.70000,23183.00000,25501.30000,posnorm,waste,,2020
fresh mass of municipal organic waste imported,ofmsw_import,ton,20790.00000,23100.00000,25410.00000,posnorm,waste,,2020
Regionalstatistik 2016,n_calf_2016,individuals,20742.55000,24403.00000,28063.45000,posnorm,animal,,
