description,variable,unit,lower,median,upper,distribution
Dairy cattle 4,n_slaughter_dairy_cattle,,,254,,
Oxes,n_slaughter_oxes,,,94,,
Bulls,n_slaughter_bulls,,,573,,
Female cattle (before calving),n_slaughter_female_cattle,,,1404,,
Younstock ≤ 8 months,n_slaughter_younstock_youngage,,,177,,
Younstock ≥ 8 and ≤ 12 months 15,n_slaughter_younstock_midage,,,28,,
,n_slaughter_pig,,,723164,,
,n_slaughter_poultry,,,2101,,
,n_slaughter_lamb,,,0,,
,n_slaughter_sheep,,,2242,,
,n_slaughter_goat,,,18,,
,n_slaughter_horse,,,16,,
,n_slaughter_import_dairy_cattle,,,3,,
,n_slaughter_import_oxes,,,0,,
,n_slaughter_import_bulls,,,0,,
,n_slaughter_import_female_cattle,,,0,,
,n_slaughter_import_younstock_youngage,,,0,,
,n_slaughter_import_younstock_midage,,,0,,
,n_slaughter_import_pig,,,142865,,
,n_slaughter_import_poultry,,,0,,
,n_slaughter_import_lamb,,,0,,
,n_slaughter_import_sheep,,,0,,
,n_slaughter_import_goat,,,0,,
,n_slaughter_import_horse,,,0,,
Dairy cattle 4,slaughter_weight_dairy_cattle,,,290.894010606480,,
Oxes,slaughter_weight_oxes,,,340.160936356986,,
Bulls,slaughter_weight_bulls,,,401.147543640696,,
Female cattle (before calving),slaughter_weight_female_cattle,,,271.156353582481,,
Younstock ≤ 8 months,slaughter_weight_younstock_youngage,,,151.070697254711,,
Younstock ≥ 8 and ≤ 12 months 15,slaughter_weight_younstock_midage,,,176.448492816227,,
,slaughter_weight_pig,,,96.303174200810,,
,slaughter_weight_poultry,,,2,,
,slaughter_weight_lamb,,,18.002070393375,,
,slaughter_weight_sheep,,,29.992229992230,,
,slaughter_weight_goat,,,17.761989342806,,
,slaughter_weight_horse,,,264.048008728860,,
,slaughter_weight_fraction_cattle,,,0.58,,
,slaughter_weight_fraction_pig,,,0.75,,
,slaughter_weight_fraction_poultry,,,0.71,,
,slaughter_weight_fraction_others,,,0.62,,
,edible_fraction_cattle,,,0.52,,
,edible_fraction_pig,,,0.68,,
,edible_fraction_poultry,,,0.64,,
,edible_fraction_other,,,0.56,,
,N_content_female_cattle,,,2.50,,
,N_content_male_cattle,,,2.70,,
,N_content_pig,,,2.56,,
,N_content_poultry,,,3.25,,
,N_content_sheep,,,2.60,,
,N_content_horse,,,3.00,,
