comment,uncertainty.level,description,variable,unit,lower,median,upper,distribution,subsystem,ranges_from_excel,version
,1,total waste water,waste_water,m3,27083430,27357000,27630570,posnorm,waste,,unchanged
,1,direct discharge of wastewater to ground and surface water,wastewater_direct_discharge,m3,12727440,12856000,12984560,posnorm,consumption,,unchanged
,2,taken from Nährstoffreport,import_organic_N_kg,kg import / FM dt,6015400,6332000,6648600,posnorm,crop,no,2020
,2,taken from Nährstoffreport,export_manure_N_kg,kg export / FM dt,5367500,5650000,5932500,posnorm,crop,,2020
is this manure,3,,N_biogas_input,kg N,2560662,2845180,3129698,posnorm,animal,,2020
,5,calculated from total export - animal derived export,export_other_organic_N_kg,kg export / FM dt,1632360.75,2176481,2720601.25,posnorm,crop,,2020
,2,taken from Nährstoffreport,import_organic_P_kg,kg P import,1310072.8,1379024,1447975.2,posnorm,crop,no,2020
,3,,K_biogas_input,kg K,1046079.9,1162311,1278542.1,posnorm,animal,,2020
,2,"taken from Nährstoffreport 2020, p.130, converted to P",export_manure_P_kg,kg export,1205550,1269000,1332450,posnorm,crop,,2020
,2,amount of waste water remaining in channel,wastewater_remain_canal,m3,1045950,1101000,1156050,posnorm,consumption,,unchanged
,3,,n_slaughter_poultry,individuals,827415.9,919351,1011286.1,posnorm,animal,no,2020
,3,,n_slaughter_pig,individuals,774240.3,860267,946293.7,posnorm,animal,no,2020
,5,calculated from total export - animal derived export,export_other_organic_P_kg,kg export / FM dt,366740.25,488987,611233.75,posnorm,crop,,2020
,3,,P_biogas_input,kg P,431385.3,479317,527248.7,posnorm,animal,,2020
,3,calculated on LLU units in Nährstoffreport,n_other_poultry_2016,individuals,391896,435440,478984,posnorm,animal,,
,1,,population,persons,313586,313586,313586,const,consumption,,2020
,3,,n_pig_2016,individuals,328903.2,365448,401992.8,posnorm,animal,,
,3,number of chicken in Kleve (assuming that the number of eggs in correct),n_chicken_2016,individuals,175451.4,194946,214440.6,posnorm,animal,,2016
,3,,n_slaughter_import_pig,individuals,160102.8,177892,195681.2,posnorm,animal,no,2020
,3,,n_chicken_2020,individuals,113278.5,125865,138451.5,posnorm,animal,,2020
,2,,LLU_cattle_2016,livestock units,96627.35,101713,106798.65,posnorm,animal,no,2020
,2,,LLU_cattle_2020,livestock units,83126.9,87502,91877.1,posnorm,animal,no,2020
