"scenario","variable","nutrient","quan_25","median","quan_75","share_neg","share_zero"
"Ref","animal_balance","K",0,0,0,0,0.9999
"Ref","animal_balance","N",0,0,0,0,1
"Ref","animal_balance","P",0,0,0,0,1
"Ref","animal_housing_and_storage_losses","K",0,0,0,0,1
"Ref","animal_housing_and_storage_losses","N",2108.24925,2287.428,2479.3875,0,0
"Ref","animal_housing_and_storage_losses","P",0,0,0,0,1
"Ref","compost_to_consumption","K",39.963,43.414,46.88225,0,0
"Ref","compost_to_consumption","N",78.035,84.948,91.74125,0,0
"Ref","compost_to_consumption","P",13.62575,14.832,16.02,0,0
"Ref","crop_cultivation_losses","K",1108.04225,1854.9405,2647.69175,0,0.0386
"Ref","crop_cultivation_losses","N",1979.46025,2721.243,3458.15625,0,0.0051
"Ref","crop_cultivation_losses","P",344.7755,510.4425,681.7005,0,0.0137
"Ref","digestate","K",955.362,1026.901,1101.45625,0,0
"Ref","digestate","N",1254.81675,1352.0385,1450.8915,0,0
"Ref","digestate","P",417.991,448.8755,481.9665,0,0
"Ref","egg_and_dairy","K",555.15275,584.1655,613.5975,0,0
"Ref","egg_and_dairy","N",1887.687,1983.132,2080.90525,0,0
"Ref","egg_and_dairy","P",329.22475,346.268,363.308,0,0
"Ref","export_dairy_egg","K",495.9825,525.1085,554.139,0,0
"Ref","export_dairy_egg","N",1342.28925,1440.5595,1536.98975,0,0
"Ref","export_dairy_egg","P",249.15625,266.386,283.329,0,0
"Ref","export_meat","K",80.08925,95.5745,112.7445,0,0
"Ref","export_meat","N",1214.0005,1413.7255,1632.1085,0,0
"Ref","export_meat","P",391.642,432.9135,476.9465,0,0
"Ref","export_vegetable","K",59.362,81.6525,102.96275,0,0.0084
"Ref","export_vegetable","N",536.62625,552.324,567.319,0,0
"Ref","export_vegetable","P",151.799,156.4245,161.15325,0,0
"Ref","feed_crops","K",625.34475,652.328,679.34975,0,0
"Ref","feed_crops","N",4430.73425,4458.596,4487.89825,0,0
"Ref","feed_crops","P",374.25975,390.318,406.29575,0,0
"Ref","feed_from_processed_crops","K",118.175,120.797,123.38725,0,0
"Ref","feed_from_processed_crops","N",459.29,461.2865,463.34,0,0
"Ref","feed_from_processed_crops","P",92.498,94.343,96.111,0,0
"Ref","food_and_feed_crops","K",347.02325,353.8895,360.7215,0,0
"Ref","food_and_feed_crops","N",1354.517,1359.7985,1365.03125,0,0
"Ref","food_and_feed_crops","P",275.89975,281.085,286.014,0,0
"Ref","fresh_compost_crop","K",43.5625,46.961,50.6235,0,0
"Ref","fresh_compost_crop","N",73.79,79.5175,85.6615,0,0
"Ref","fresh_compost_crop","P",11.80075,12.7415,13.711,0,0
