"scenario","variable","nutrient","quan_25","median","quan_75","share_neg","share_zero"
"Ref","Total Input","K",7620.82975,8348.7665,9110.2155,0,0
"Ref","Total Input","N",18572.362,19411.6485,20309.00425,0,0
"Ref","Total Input","P",3044.17175,3209.4475,3382.8225,0,0
"Ref","Losses","K",1960.11825,2707.2315,3499.18875,0,0
"Ref","Losses","N",5640.68075,6476.01,7310.39875,0,0
"Ref","Losses","P",365.74675,530.7665,702.36775,0,0
"Ref","Recycling Rate","K",0.027,0.032,0.037,1e-04,0
"Ref","Recycling Rate","N",0.027,0.03,0.033,0,0
"Ref","Recycling Rate","P",0.024,0.028,0.031,0,0
"Ref","Reuse to Total Input","K",0.05,0.051,0.052,0,0
"Ref","Reuse to Total Input","N",0.044,0.045,0.046,0,0
"Ref","Reuse to Total Input","P",0.041,0.042,0.043,0,0
"Ref","Use Efficiency","K",0.032,0.035,0.038,0,0
"Ref","Use Efficiency","N",0.044,0.045,0.047,0,0
"Ref","Use Efficiency","P",0.042,0.044,0.047,0,0
"PS","Total Input","K",1931.4425,2605.8405,3314.98675,0.0097,0
"PS","Total Input","N",7696.91025,8765.3215,9862.37825,0,0
"PS","Total Input","P",948.01525,1079.678,1215.11,4e-04,0
"PS","Losses","K",1839.07275,2555.472,3299.53975,0,0
"PS","Losses","N",5039.3085,5890.4115,6780.1805,0,0
"PS","Losses","P",232.304,393.299,556.57425,0,0
"PS","Recycling Rate","K",0.051,0.06,0.07,3e-04,0
"PS","Recycling Rate","N",0.046,0.053,0.058,0,0
"PS","Recycling Rate","P",0.046,0.052,0.057,3e-04,0
"PS","Reuse to Total Input","K",0.075,0.081,0.086,1e-04,0
"PS","Reuse to Total Input","N",0.063,0.067,0.071,0,0
"PS","Reuse to Total Input","P",0.066,0.07,0.074,0,0
"PS","Use Efficiency","K",0.045,0.048,0.05,0,0
"PS","Use Efficiency","N",0.052,0.054,0.057,0,0
"PS","Use Efficiency","P",0.058,0.061,0.065,0,0
"LBS","Total Input","K",2405.70725,3095.942,3781.9175,0.0032,0
"LBS","Total Input","N",9188.82675,10038.4905,10862.11725,0,0
"LBS","Total Input","P",991.26425,1130.9695,1273.195,3e-04,0
"LBS","Losses","K",1691.97175,2366.746,3060.773,0,0
"LBS","Losses","N",4479.4935,5164.085,5855.374,0,0
"LBS","Losses","P",199.4055,355.4925,510.38675,0,0
"LBS","Recycling Rate","K",0.048,0.054,0.061,3e-04,0
"LBS","Recycling Rate","N",0.043,0.049,0.054,0,0
"LBS","Recycling Rate","P",0.043,0.049,0.054,2e-04,0
"LBS","Reuse to Total Input","K",0.071,0.077,0.082,1e-04,0
"LBS","Reuse to Total Input","N",0.058,0.062,0.065,0,0
"LBS","Reuse to Total Input","P",0.064,0.068,0.072,0,0
"LBS","Use Efficiency","K",0.045,0.047,0.05,0,0
"LBS","Use Efficiency","N",0.05,0.052,0.054,0,0
"LBS","Use Efficiency","P",0.055,0.058,0.061,0,0
"CBS","Total Input","K",1824.09325,2483.2385,3169.05225,0.0116,0
"CBS","Total Input","N",8418.1725,9317.0705,10263.961,0,0
"CBS","Total Input","P",686.34275,813.1875,944.5775,0.002,0
"CBS","Losses","K",2339.51675,3066.63,3826.51775,0,0
"CBS","Losses","N",4930.97875,5813.4475,6696.70975,0,0
"CBS","Losses","P",276.297,437.257,602.4335,0,0
"CBS","Recycling Rate","K",0.052,0.061,0.071,3e-04,0
"CBS","Recycling Rate","N",0.045,0.051,0.057,0,0
"CBS","Recycling Rate","P",0.052,0.058,0.062,1e-04,0
"CBS","Reuse to Total Input","K",0.076,0.082,0.087,1e-04,0
"CBS","Reuse to Total Input","N",0.064,0.068,0.071,0,0
"CBS","Reuse to Total Input","P",0.074,0.078,0.081,0,0
"CBS","Use Efficiency","K",0.04,0.042,0.045,0,0
"CBS","Use Efficiency","N",0.051,0.053,0.055,0,0
"CBS","Use Efficiency","P",0.048,0.051,0.055,0,0
