"variable","measurement","Ref","PS","LBS","CBS","CBS_percent_change","LBS_percent_change","PS_percent_change"
"vegetal_biogas_substrate_N","median",1763422.54661686,1196181.62570413,1196181.62570413,0,-100,-32.2,-32
"feed_crops_N","median",4457648.32423409,4398854.30795627,4398854.30795627,4398854.30795627,-1.3,-1.3,-1
"manure_as_biogas_substrate_N","median",1078722.78896445,3351636.62974866,2418755.53795332,3351636.62974866,210.7,124.2,211
"manure_to_crop_N","median",3027236.62402464,4549391.87474931,3336972.54215077,4549391.87474931,50.3,10.2,50
"manure_export_N","median",5645444.48281083,1834415.78799305,1351618.60806372,1834415.78799305,-67.5,-76.1,-68
"local_vegetal_products_consumed_N","median",524812.905804954,524812.905804954,524812.905804954,179197.342513083,-65.9,0,0
"export_vegetable_N","median",551924.512728931,1438032.62905978,1438032.62905978,0,-100,160.5,161
"feed_from_processed_crops_N","median",461382.54550415,41832.4932231972,41832.4932231972,3076580.1604694,566.8,-90.9,-91
"current_share_cattle","median",0.633583959320309,0.638721789653823,0.638721789653823,0.638721789653823,0.8,0.8,1
"current_share_pig","median",0.279961459801701,0.234138945861841,0.234138945861841,0.234138945861841,-16.4,-16.4,-16
"current_share_poultry","median",0.044196337566868,0.0659613562771182,0.0659613562771182,0.0659613562771182,49.2,49.2,49
"current_share_others","median",0.0422427370678621,0.0600245266405829,0.0600245266405829,0.0600245266405829,42.1,42.1,42
"reduction_LLU","median",0,0.289590022339755,0.491534200274771,0.289590022339755,Inf,Inf,Inf
"stakeholder_allocate_crop_feed_corrected","median",0.624496992115956,0.624496992115956,0.624496992115956,0.624496992115956,0,0,0
"stakeholder_allocate_crop_food_corrected","median",0.195987692658989,0.195987692658989,0.195987692658989,0.195987692658989,0,0,0
"stakeholder_allocate_manure_biogas_corrected","median",0.334568024001707,0.334568024001707,0.334568024001707,0.334568024001707,0,0,0
"stakeholder_allocate_manure_crop_corrected","median",0.468611190680704,0.468611190680704,0.468611190680704,0.468611190680704,0,0,0
"stakeholder_allocate_manure_export_corrected","median",0.1887309076881,0.1887309076881,0.1887309076881,0.1887309076881,0,0,0
"LLU_total_adjusted","median",138136.628048101,97984.6273100504,70259.4427227852,97984.6273100504,-29.1,-49.1,-29
