"name","vip","indicator","scenario"
"n_slaughter_pig",2.26516637633125,"total_input_N","PS"
"LLU_cattle_2016",2.89678571848038,"total_input_N","PS"
"LLU_cattle_2020",2.5852486243015,"total_input_N","PS"
"n_dairy_cow_2016",4.08566850905536,"total_input_N","PS"
"N_excretion_dairy",4.98226557308175,"total_input_N","PS"
"slaughter_weight_pig",2.54495919693044,"total_input_N","PS"
"N_excretion_pig",3.41221588222582,"total_input_N","PS"
"N_content_pig",2.76582812371684,"total_input_N","PS"
"slaughter_weight_fraction_pig",2.34778251020676,"total_input_N","PS"
"share_grazing",2.09178947181911,"total_input_N","PS"
"scenario_allocate_crop_biogas_a",2.49424045805343,"total_input_N","PS"
"scenario_overall_livestock_reduction_a",13.7082447326634,"total_input_N","PS"
"scenario_allocate_manure_export_a",9.26831861546777,"total_input_N","PS"
"scenario_allocate_manure_crop_a",10.9260295071616,"total_input_N","PS"
"export_manure_N_kg",2.84795516118273,"total_input_N","LBS"
"n_slaughter_pig",3.45429564212891,"total_input_N","LBS"
"LLU_cattle_2016",2.26386867966017,"total_input_N","LBS"
"LLU_cattle_2020",2.30046713600555,"total_input_N","LBS"
"n_dairy_cow_2016",3.45504308394525,"total_input_N","LBS"
"N_excretion_dairy",3.70425824622258,"total_input_N","LBS"
"slaughter_weight_pig",3.56837978974919,"total_input_N","LBS"
"N_excretion_pig",2.9624947369359,"total_input_N","LBS"
"N_content_pig",4.23575897041781,"total_input_N","LBS"
"slaughter_weight_fraction_pig",3.7243593383358,"total_input_N","LBS"
"scenario_allocate_crop_feed_a",4.80240769103689,"total_input_N","LBS"
"scenario_allocate_crop_food_a",7.85980685808965,"total_input_N","LBS"
"scenario_allocate_manure_export_a",11.4449299796593,"total_input_N","LBS"
"scenario_allocate_manure_crop_a",13.2849501580857,"total_input_N","LBS"
"export_manure_N_kg",2.0293038311738,"total_input_N","CBS"
"n_slaughter_pig",2.44881307057209,"total_input_N","CBS"
"LLU_cattle_2016",2.83320892436472,"total_input_N","CBS"
"LLU_cattle_2020",2.57894889522812,"total_input_N","CBS"
"n_dairy_cow_2016",4.17055253524218,"total_input_N","CBS"
"N_excretion_dairy",4.94784636810078,"total_input_N","CBS"
"slaughter_weight_pig",2.80239265095826,"total_input_N","CBS"
"N_excretion_pig",3.44038497425118,"total_input_N","CBS"
"N_content_pig",2.95049855698547,"total_input_N","CBS"
"slaughter_weight_fraction_pig",2.69444543145506,"total_input_N","CBS"
"share_grazing",2.03336872335652,"total_input_N","CBS"
