"","item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"scenario*1","1","local_feed",1,10000,1,0,1,1,0,1,1,0,NA,NA,0
"scenario*2","2","normal",1,10000,1,0,1,1,0,1,1,0,NA,NA,0
"sewage_N1","3","local_feed",2,10000,1901377.80751202,165343.406154255,1898982.79770772,1899688.88772546,166649.683327367,1311451.08745572,2727700.75171589,1416249.66426017,0.096801224002199,-0.011231231550233,1653.43406154255
"sewage_N2","4","normal",2,10000,1901377.80751202,165343.406154255,1898982.79770772,1899688.88772546,166649.683327367,1311451.08745572,2727700.75171589,1416249.66426017,0.096801224002199,-0.011231231550233,1653.43406154255
"ofmsw_residual_waste_N1","5","local_feed",3,10000,34.5523783456213,4.2663744397497,34.4004067583483,34.4713544959335,4.2962050310991,20.3167837717462,53.5173405971753,33.2005568254291,0.216852201873992,0.037772211236427,0.042663744397497
"ofmsw_residual_waste_N2","6","normal",3,10000,34.5523783456213,4.2663744397497,34.4004067583483,34.4713544959335,4.2962050310991,20.3167837717462,53.5173405971753,33.2005568254291,0.216852201873992,0.037772211236427,0.042663744397497
"ofmsw_N1","7","local_feed",4,10000,280.87022888087,34.6877285003186,279.876641285875,280.203171007001,35.0657531090894,153.154478573241,441.436160859503,288.281682286262,0.198856461026094,0.055722321979297,0.346877285003186
"ofmsw_N2","8","normal",4,10000,280.87022888087,34.6877285003186,279.876641285875,280.203171007001,35.0657531090894,153.154478573241,441.436160859503,288.281682286262,0.198856461026094,0.055722321979297,0.346877285003186
"wastewater_direct_discharge_N1","9","local_feed",5,10000,970881.976797441,80204.0995667898,970144.012880061,969901.256998517,77684.5533160461,697979.783223722,1282611.80115408,584632.017930358,0.134985526842157,0.086579876128509,802.040995667898
"wastewater_direct_discharge_N2","10","normal",5,10000,970881.976797441,80204.0995667898,970144.012880061,969901.256998517,77684.5533160461,697979.783223722,1282611.80115408,584632.017930358,0.134985526842157,0.086579876128509,802.040995667898
